
Segment Center Intensity Mean Ch=1 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
164.529,,Segment,1,2,Image 1,2,1,100000004,510000001302,
175.556,,Segment,1,3,Image 1,4,1,100000004,510000001319,
149.718,,Segment,1,1,Image 1,1,1,100000005,510000001337,
173.786,,Segment,1,1,Image 1,1,1,100000005,510000001375,
194.25,,Segment,1,2,Image 1,1,1,100000005,510000001403,
152.188,,Segment,1,1,Image 1,1,1,100000005,510000001419,
224.719,,Segment,1,1,Image 1,1,1,100000005,510000001434,
235.667,,Segment,1,1,Image 1,1,1,100000005,510000001466,
226,,Segment,1,2,Image 1,1,1,100000005,510000001468,
166.696,,Segment,1,3,Image 1,1,1,100000005,510000001470,
167.333,,Segment,1,2,Image 1,2,1,100000005,510000001515,
150.828,,Segment,1,3,Image 1,2,1,100000005,510000001517,
121.316,,Segment,1,3,Image 1,3,1,100000005,510000001545,
163.63,,Segment,1,3,Image 1,2,1,100000005,510000001563,
187.091,,Segment,1,2,Image 1,2,1,100000005,510000001589,
210.462,,Segment,1,3,Image 1,2,1,100000005,510000001599,
148.571,,Segment,1,3,Image 1,3,1,100000005,510000001611,
174.125,,Segment,1,2,Image 1,1,1,100000006,510000001633,
181.303,,Segment,1,2,Image 1,2,1,100000006,510000001648,
132.556,,Segment,1,2,Image 1,2,1,100000006,510000001680,
187.75,,Segment,1,2,Image 1,1,1,100000006,510000001689,
183.209,,Segment,1,3,Image 1,1,1,100000006,510000001692,
194.545,,Segment,1,2,Image 1,2,1,100000006,510000001734,
157,,Segment,1,3,Image 1,2,1,100000006,510000001744,
152.5,,Segment,1,3,Image 1,3,1,100000006,510000001753,
81.4,,Segment,1,1,Image 1,1,1,100000006,510000001759,
95.25,,Segment,1,3,Image 1,2,1,100000006,510000001769,
145.263,,Segment,1,3,Image 1,2,1,100000006,510000001778,
184.833,,Segment,1,3,Image 1,3,1,100000006,510000001796,
172,,Segment,1,2,Image 1,1,1,100000007,510000001816,
199.765,,Segment,1,3,Image 1,1,1,100000007,510000001818,
229.071,,Segment,1,1,Image 1,1,1,100000007,510000001834,
195,,Segment,1,2,Image 1,2,1,100000007,510000001847,
184.733,,Segment,1,3,Image 1,2,1,100000007,510000001850,
185.7,,Segment,1,2,Image 1,1,1,100000007,510000001866,
177.375,,Segment,1,1,Image 1,1,1,100000007,510000001885,
138.333,,Segment,1,2,Image 1,1,1,100000007,510000001892,
143.25,,Segment,1,2,Image 1,2,1,100000007,510000001903,
175.333,,Segment,1,2,Image 1,2,1,100000007,510000001915,
147.444,,Segment,1,1,Image 1,1,1,100000007,510000001923,
159,,Segment,1,1,Image 1,1,1,100000007,510000001931,
216,,Segment,1,3,Image 1,3,1,100000007,510000001949,
152.286,,Segment,1,3,Image 1,2,1,100000007,510000001953,
112,,Segment,1,0,Image 1,1,1,100000008,510000001968,
230.667,,Segment,1,2,Image 1,1,1,100000008,510000001975,
164.25,,Segment,1,3,Image 1,1,1,100000008,510000001977,
100.5,,Segment,1,4,Image 1,1,1,100000008,510000001980,
166.444,,Segment,1,1,Image 1,2,1,100000008,510000001997,
102.667,,Segment,1,4,Image 1,2,1,100000008,510000002005,
152,,Segment,1,2,Image 1,2,1,100000008,510000002022,
223.2,,Segment,1,1,Image 1,2,1,100000008,510000002027,
164,,Segment,1,2,Image 1,2,1,100000008,510000002031,
208.8,,Segment,1,2,Image 1,2,1,100000008,510000002036,
173.667,,Segment,1,3,Image 1,2,1,100000008,510000002040,
119.25,,Segment,1,3,Image 1,3,1,100000008,510000002045,
113.81,,Segment,1,3,Image 1,2,1,100000008,510000002056,
150.556,,Segment,1,2,Image 1,2,1,100000008,510000002076,
152.75,,Segment,1,2,Image 1,3,1,100000008,510000002093,
194.2,,Segment,1,1,Image 1,2,1,100000009,510000002102,
96.4375,,Segment,1,1,Image 1,2,1,100000009,510000002111,
224,,Segment,1,1,Image 1,1,1,100000009,510000002126,
103.4,,Segment,1,3,Image 1,1,1,100000009,510000002129,
148,,Segment,1,3,Image 1,2,1,100000009,510000002143,
162.75,,Segment,1,2,Image 1,2,1,100000009,510000002148,
129.4,,Segment,1,3,Image 1,2,1,100000009,510000002151,
96.5,,Segment,1,2,Image 1,2,1,100000009,510000002156,
118.857,,Segment,1,3,Image 1,3,1,100000009,510000002165,
116.167,,Segment,1,1,Image 1,2,1,100000009,510000002171,
147.6,,Segment,1,2,Image 1,2,1,100000009,510000002176,
122.846,,Segment,1,2,Image 1,3,1,100000009,510000002180,
164.667,,Segment,1,1,Image 1,1,1,100000010,510000002194,
169.571,,Segment,1,2,Image 1,1,1,100000010,510000002196,
115.353,,Segment,1,3,Image 1,1,1,100000010,510000002202,
162.111,,Segment,1,2,Image 1,2,1,100000010,510000002218,
178.19,,Segment,1,3,Image 1,2,1,100000010,510000002226,
166.667,,Segment,1,1,Image 1,2,1,100000010,510000002246,
128.062,,Segment,1,2,Image 1,3,1,100000010,510000002248,
112,,Segment,1,3,Image 1,3,1,100000010,510000002263,
180,,Segment,1,2,Image 1,2,1,100000010,510000002278,
160.5,,Segment,1,3,Image 1,2,1,100000010,510000002281,
129.462,,Segment,1,4,Image 1,2,1,100000010,510000002290,
153.533,,Segment,1,3,Image 1,3,1,100000010,510000002302,
121.909,,Segment,1,4,Image 1,3,1,100000010,510000002331,
173.647,,Segment,1,1,Image 1,1,1,100000010,510000002342,
163.667,,Segment,1,2,Image 1,1,1,100000010,510000002358,
195.667,,Segment,1,3,Image 1,1,1,100000010,510000002363,
107.25,,Segment,1,3,Image 1,2,1,100000010,510000002365,
118.467,,Segment,1,1,Image 1,2,1,100000010,510000002368,
167.214,,Segment,1,3,Image 1,2,1,100000010,510000002382,
157,,Segment,1,1,Image 1,2,1,100000010,510000002396,
106.667,,Segment,1,2,Image 1,2,1,100000010,510000002399,
168,,Segment,1,2,Image 1,3,1,100000010,510000002407,
162.333,,Segment,1,3,Image 1,3,1,100000010,510000002412,
121.667,,Segment,1,4,Image 1,3,1,100000010,510000002417,
205.5,,Segment,1,4,Image 1,4,1,100000010,510000002428,
196.727,,Segment,1,1,Image 1,2,1,100000010,510000002431,
171.5,,Segment,1,2,Image 1,2,1,100000010,510000002441,
164,,Segment,1,3,Image 1,2,1,100000010,510000002444,
185,,Segment,1,4,Image 1,2,1,100000010,510000002447,
164.333,,Segment,1,4,Image 1,3,1,100000010,510000002454,
186.75,,Segment,1,5,Image 1,3,1,100000010,510000002456,
223.667,,Segment,1,5,Image 1,4,1,100000010,510000002459,
171,,Segment,1,3,Image 1,3,1,100000010,510000002461,
147.929,,Segment,1,2,Image 1,3,1,100000010,510000002466,
136.444,,Segment,1,2,Image 1,2,1,100000010,510000002479,
134.533,,Segment,1,3,Image 1,4,1,100000010,510000002488,
232.636,,Segment,1,2,Image 1,1,1,100000011,510000002505,
154.538,,Segment,1,3,Image 1,1,1,100000011,510000002515,
192.136,,Segment,1,2,Image 1,2,1,100000011,510000002528,
241.385,,Segment,1,2,Image 1,3,1,100000011,510000002550,
165.143,,Segment,1,4,Image 1,2,1,100000011,510000002565,
155.429,,Segment,1,4,Image 1,3,1,100000011,510000002578,
191.727,,Segment,1,3,Image 1,3,1,100000011,510000002584,
192.417,,Segment,1,2,Image 1,3,1,100000011,510000002606,
168.786,,Segment,1,1,Image 1,1,1,100000011,510000002630,
109.556,,Segment,1,1,Image 1,2,1,100000011,510000002643,
246.5,,Segment,1,3,Image 1,2,1,100000011,510000002661,
116.75,,Segment,1,3,Image 1,3,1,100000011,510000002664,
143.731,,Segment,1,3,Image 1,2,1,100000011,510000002675,
168.5,,Segment,1,2,Image 1,1,1,100000012,510000002702,
175.739,,Segment,1,3,Image 1,1,1,100000012,510000002709,
93.3,,Segment,1,4,Image 1,1,1,100000012,510000002731,
96.1429,,Segment,1,4,Image 1,2,1,100000012,510000002740,
173.429,,Segment,1,2,Image 1,2,1,100000012,510000002746,
197.222,,Segment,1,3,Image 1,2,1,100000012,510000002752,
200.294,,Segment,1,4,Image 1,2,1,100000012,510000002760,
220.667,,Segment,1,5,Image 1,2,1,100000012,510000002776,
