
Segment Intensity Max Ch=3 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
229,,Segment,3,1,Image 1,1,1,100000005,510000001434,
208,,Segment,3,1,Image 1,1,1,100000005,510000001466,
199,,Segment,3,2,Image 1,1,1,100000005,510000001468,
231,,Segment,3,3,Image 1,1,1,100000005,510000001470,
207,,Segment,3,2,Image 1,2,1,100000005,510000001515,
219,,Segment,3,3,Image 1,2,1,100000005,510000001517,
218,,Segment,3,3,Image 1,3,1,100000005,510000001545,
226,,Segment,3,3,Image 1,2,1,100000005,510000001563,
225,,Segment,3,2,Image 1,2,1,100000005,510000001589,
218,,Segment,3,3,Image 1,2,1,100000005,510000001599,
218,,Segment,3,3,Image 1,3,1,100000005,510000001611,
225,,Segment,3,2,Image 1,1,1,100000006,510000001633,
223,,Segment,3,2,Image 1,2,1,100000006,510000001648,
227,,Segment,3,2,Image 1,2,1,100000006,510000001680,
200,,Segment,3,2,Image 1,1,1,100000006,510000001689,
204,,Segment,3,3,Image 1,1,1,100000006,510000001692,
189,,Segment,3,2,Image 1,2,1,100000006,510000001734,
217,,Segment,3,3,Image 1,2,1,100000006,510000001744,
194,,Segment,3,3,Image 1,3,1,100000006,510000001753,
218,,Segment,3,1,Image 1,1,1,100000006,510000001759,
208,,Segment,3,3,Image 1,2,1,100000006,510000001769,
213,,Segment,3,3,Image 1,2,1,100000006,510000001778,
206,,Segment,3,3,Image 1,3,1,100000006,510000001796,
184,,Segment,3,2,Image 1,1,1,100000007,510000001816,
206,,Segment,3,3,Image 1,1,1,100000007,510000001818,
194,,Segment,3,1,Image 1,1,1,100000007,510000001834,
181,,Segment,3,2,Image 1,2,1,100000007,510000001847,
200,,Segment,3,3,Image 1,2,1,100000007,510000001850,
206,,Segment,3,2,Image 1,1,1,100000007,510000001866,
191,,Segment,3,1,Image 1,1,1,100000007,510000001885,
198,,Segment,3,2,Image 1,1,1,100000007,510000001892,
