
Segment Center Intensity Sum Ch=3 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
3999,,Segment,3,1,Image 1,1,1,100000005,510000001375,
2345,,Segment,3,2,Image 1,1,1,100000005,510000001403,
2262,,Segment,3,1,Image 1,1,1,100000005,510000001419,
3709,,Segment,3,1,Image 1,1,1,100000005,510000001434,
251,,Segment,3,1,Image 1,1,1,100000005,510000001466,
370,,Segment,3,2,Image 1,1,1,100000005,510000001468,
7326,,Segment,3,3,Image 1,1,1,100000005,510000001470,
450,,Segment,3,2,Image 1,2,1,100000005,510000001515,
4560,,Segment,3,3,Image 1,2,1,100000005,510000001517,
3377,,Segment,3,3,Image 1,3,1,100000005,510000001545,
4373,,Segment,3,3,Image 1,2,1,100000005,510000001563,
1525,,Segment,3,2,Image 1,2,1,100000005,510000001589,
1753,,Segment,3,3,Image 1,2,1,100000005,510000001599,
3671,,Segment,3,3,Image 1,3,1,100000005,510000001611,
2479,,Segment,3,2,Image 1,1,1,100000006,510000001633,
4772,,Segment,3,2,Image 1,2,1,100000006,510000001648,
1594,,Segment,3,2,Image 1,2,1,100000006,510000001680,
523,,Segment,3,2,Image 1,1,1,100000006,510000001689,
6263,,Segment,3,3,Image 1,1,1,100000006,510000001692,
1475,,Segment,3,2,Image 1,2,1,100000006,510000001734,
1555,,Segment,3,3,Image 1,2,1,100000006,510000001744,
978,,Segment,3,3,Image 1,3,1,100000006,510000001753,
1967,,Segment,3,1,Image 1,1,1,100000006,510000001759,
1445,,Segment,3,3,Image 1,2,1,100000006,510000001769,
3026,,Segment,3,3,Image 1,2,1,100000006,510000001778,
2352,,Segment,3,3,Image 1,3,1,100000006,510000001796,
392,,Segment,3,2,Image 1,1,1,100000007,510000001816,
2276,,Segment,3,3,Image 1,1,1,100000007,510000001818,
1373,,Segment,3,1,Image 1,1,1,100000007,510000001834,
500,,Segment,3,2,Image 1,2,1,100000007,510000001847,
2197,,Segment,3,3,Image 1,2,1,100000007,510000001850,
2837,,Segment,3,2,Image 1,1,1,100000007,510000001866,
1046,,Segment,3,1,Image 1,1,1,100000007,510000001885,
2008,,Segment,3,2,Image 1,1,1,100000007,510000001892,
1986,,Segment,3,2,Image 1,2,1,100000007,510000001903,
1198,,Segment,3,2,Image 1,2,1,100000007,510000001915,
1305,,Segment,3,1,Image 1,1,1,100000007,510000001923,
2865,,Segment,3,1,Image 1,1,1,100000007,510000001931,
524,,Segment,3,3,Image 1,3,1,100000007,510000001949,
2181,,Segment,3,3,Image 1,2,1,100000007,510000001953,
682,,Segment,3,0,Image 1,1,1,100000008,510000001968,
258,,Segment,3,2,Image 1,1,1,100000008,510000001975,
466,,Segment,3,3,Image 1,1,1,100000008,510000001977,
3125,,Segment,3,4,Image 1,1,1,100000008,510000001980,
1241,,Segment,3,1,Image 1,2,1,100000008,510000001997,
3187,,Segment,3,4,Image 1,2,1,100000008,510000002005,
856,,Segment,3,2,Image 1,2,1,100000008,510000002022,
465,,Segment,3,1,Image 1,2,1,100000008,510000002027,
899,,Segment,3,2,Image 1,2,1,100000008,510000002031,
556,,Segment,3,2,Image 1,2,1,100000008,510000002036,
921,,Segment,3,3,Image 1,2,1,100000008,510000002040,
2151,,Segment,3,3,Image 1,3,1,100000008,510000002045,
3491,,Segment,3,3,Image 1,2,1,100000008,510000002056,
2940,,Segment,3,2,Image 1,2,1,100000008,510000002076,
1241,,Segment,3,2,Image 1,3,1,100000008,510000002093,
1473,,Segment,3,1,Image 1,2,1,100000009,510000002102,
2946,,Segment,3,1,Image 1,2,1,100000009,510000002111,
228,,Segment,3,1,Image 1,1,1,100000009,510000002126,
2605,,Segment,3,3,Image 1,1,1,100000009,510000002129,
804,,Segment,3,3,Image 1,2,1,100000009,510000002143,
568,,Segment,3,2,Image 1,2,1,100000009,510000002148,
867,,Segment,3,3,Image 1,2,1,100000009,510000002151,
1822,,Segment,3,2,Image 1,2,1,100000009,510000002156,
1299,,Segment,3,3,Image 1,3,1,100000009,510000002165,
1051,,Segment,3,1,Image 1,2,1,100000009,510000002171,
845,,Segment,3,2,Image 1,2,1,100000009,510000002176,
2305,,Segment,3,2,Image 1,3,1,100000009,510000002180,
336,,Segment,3,1,Image 1,1,1,100000010,510000002194,
882,,Segment,3,2,Image 1,1,1,100000010,510000002196,
3039,,Segment,3,3,Image 1,1,1,100000010,510000002202,
1114,,Segment,3,2,Image 1,2,1,100000010,510000002218,
3098,,Segment,3,3,Image 1,2,1,100000010,510000002226,
320,,Segment,3,1,Image 1,2,1,100000010,510000002246,
2492,,Segment,3,2,Image 1,3,1,100000010,510000002248,
2809,,Segment,3,3,Image 1,3,1,100000010,510000002263,
391,,Segment,3,2,Image 1,2,1,100000010,510000002278,
1357,,Segment,3,3,Image 1,2,1,100000010,510000002281,
2315,,Segment,3,4,Image 1,2,1,100000010,510000002290,
4261,,Segment,3,3,Image 1,3,1,100000010,510000002302,
1977,,Segment,3,4,Image 1,3,1,100000010,510000002331,
2106,,Segment,3,1,Image 1,1,1,100000010,510000002342,
947,,Segment,3,2,Image 1,1,1,100000010,510000002358,
469,,Segment,3,3,Image 1,1,1,100000010,510000002363,
733,,Segment,3,3,Image 1,2,1,100000010,510000002365,
2482,,Segment,3,1,Image 1,2,1,100000010,510000002368,
2092,,Segment,3,3,Image 1,2,1,100000010,510000002382,
483,,Segment,3,1,Image 1,2,1,100000010,510000002396,
1537,,Segment,3,2,Image 1,2,1,100000010,510000002399,
710,,Segment,3,2,Image 1,3,1,100000010,510000002407,
775,,Segment,3,3,Image 1,3,1,100000010,510000002412,
1839,,Segment,3,4,Image 1,3,1,100000010,510000002417,
463,,Segment,3,4,Image 1,4,1,100000010,510000002428,
1050,,Segment,3,1,Image 1,2,1,100000010,510000002431,
543,,Segment,3,2,Image 1,2,1,100000010,510000002441,
567,,Segment,3,3,Image 1,2,1,100000010,510000002444,
1047,,Segment,3,4,Image 1,2,1,100000010,510000002447,
410,,Segment,3,4,Image 1,3,1,100000010,510000002454,
581,,Segment,3,5,Image 1,3,1,100000010,510000002456,
263,,Segment,3,5,Image 1,4,1,100000010,510000002459,
901,,Segment,3,3,Image 1,3,1,100000010,510000002461,
2170,,Segment,3,2,Image 1,3,1,100000010,510000002466,
1449,,Segment,3,2,Image 1,2,1,100000010,510000002479,
2561,,Segment,3,3,Image 1,4,1,100000010,510000002488,
1131,,Segment,3,2,Image 1,1,1,100000011,510000002505,
2043,,Segment,3,3,Image 1,1,1,100000011,510000002515,
2930,,Segment,3,2,Image 1,2,1,100000011,510000002528,
1167,,Segment,3,2,Image 1,3,1,100000011,510000002550,
2191,,Segment,3,4,Image 1,2,1,100000011,510000002565,
1018,,Segment,3,4,Image 1,3,1,100000011,510000002578,
2286,,Segment,3,3,Image 1,3,1,100000011,510000002584,
3315,,Segment,3,2,Image 1,3,1,100000011,510000002606,
2008,,Segment,3,1,Image 1,1,1,100000011,510000002630,
2735,,Segment,3,1,Image 1,2,1,100000011,510000002643,
382,,Segment,3,3,Image 1,2,1,100000011,510000002661,
2112,,Segment,3,3,Image 1,3,1,100000011,510000002664,
3866,,Segment,3,3,Image 1,2,1,100000011,510000002675,
1249,,Segment,3,2,Image 1,1,1,100000012,510000002702,
3263,,Segment,3,3,Image 1,1,1,100000012,510000002709,
1882,,Segment,3,4,Image 1,1,1,100000012,510000002731,
1296,,Segment,3,4,Image 1,2,1,100000012,510000002740,
989,,Segment,3,2,Image 1,2,1,100000012,510000002746,
1195,,Segment,3,3,Image 1,2,1,100000012,510000002752,
2377,,Segment,3,4,Image 1,2,1,100000012,510000002760,
1243,,Segment,3,5,Image 1,2,1,100000012,510000002776,
1365,,Segment,3,5,Image 1,3,1,100000012,510000002784,
3297,,Segment,3,4,Image 1,3,1,100000012,510000002791,
1028,,Segment,3,1,Image 1,1,1,100000012,510000002813,
1655,,Segment,3,2,Image 1,1,1,100000012,510000002820,
547,,Segment,3,2,Image 1,2,1,100000012,510000002832,
4402,,Segment,3,3,Image 1,2,1,100000012,510000002836,
394,,Segment,3,2,Image 1,1,1,100000012,510000002867,
4586,,Segment,3,3,Image 1,1,1,100000012,510000002869,
4219,,Segment,3,3,Image 1,2,1,100000012,510000002897,
1411,,Segment,3,2,Image 1,2,1,100000012,510000002921,
2704,,Segment,3,3,Image 1,2,1,100000012,510000002930,
3510,,Segment,3,3,Image 1,3,1,100000012,510000002947,
2438,,Segment,3,2,Image 1,2,1,100000012,510000002966,
348,,Segment,3,3,Image 1,3,1,100000012,510000002982,
2716,,Segment,3,4,Image 1,3,1,100000012,510000002984,
2518,,Segment,3,4,Image 1,4,1,100000012,510000002999,
1082,,Segment,3,3,Image 1,2,1,100000012,510000003014,
2486,,Segment,3,3,Image 1,3,1,100000012,510000003020,
2129,,Segment,3,3,Image 1,1,1,100000013,510000003039,
711,,Segment,3,3,Image 1,2,1,100000013,510000003056,
2506,,Segment,3,4,Image 1,2,1,100000013,510000003061,
1261,,Segment,3,4,Image 1,3,1,100000013,510000003074,
159,,Segment,3,3,Image 1,2,1,100000013,510000003081,
1249,,Segment,3,4,Image 1,2,1,100000013,510000003083,
467,,Segment,3,4,Image 1,3,1,100000013,510000003090,
2381,,Segment,3,5,Image 1,3,1,100000013,510000003093,
750,,Segment,3,5,Image 1,4,1,100000013,510000003106,
2015,,Segment,3,4,Image 1,3,1,100000013,510000003111,
3915,,Segment,3,4,Image 1,4,1,100000013,510000003122,
