
Segment Branching Angle
 ==================== 
Segment Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
6.22781,°,Segment,2,1,1,100000006,510000001689,
0.965503,°,Segment,3,1,1,100000006,510000001692,
104.323,°,Segment,2,2,1,100000006,510000001734,
9.65606,°,Segment,3,2,1,100000006,510000001744,
33.9371,°,Segment,3,3,1,100000006,510000001753,
0,°,Segment,1,1,1,100000006,510000001759,
80.6996,°,Segment,3,2,1,100000006,510000001769,
12.1741,°,Segment,3,2,1,100000006,510000001778,
15.6121,°,Segment,3,3,1,100000006,510000001796,
13.705,°,Segment,2,1,1,100000007,510000001816,
12.2989,°,Segment,3,1,1,100000007,510000001818,
0,°,Segment,1,1,1,100000007,510000001834,
59.0894,°,Segment,2,2,1,100000007,510000001847,
14.2429,°,Segment,3,2,1,100000007,510000001850,
8.37576,°,Segment,2,1,1,100000007,510000001866,
0,°,Segment,1,1,1,100000007,510000001885,
7.10531,°,Segment,2,1,1,100000007,510000001892,
62.2598,°,Segment,2,2,1,100000007,510000001903,
95.9915,°,Segment,2,2,1,100000007,510000001915,
0,°,Segment,1,1,1,100000007,510000001923,
0,°,Segment,1,1,1,100000007,510000001931,
27.342,°,Segment,3,3,1,100000007,510000001949,
18.2969,°,Segment,3,2,1,100000007,510000001953,
0,°,Segment,0,1,1,100000008,510000001968,
18.936,°,Segment,2,1,1,100000008,510000001975,
2.53018,°,Segment,3,1,1,100000008,510000001977,
3.83665,°,Segment,4,1,1,100000008,510000001980,
41.799,°,Segment,1,2,1,100000008,510000001997,
70.0311,°,Segment,4,2,1,100000008,510000002005,
69.2393,°,Segment,2,2,1,100000008,510000002022,
133.061,°,Segment,1,2,1,100000008,510000002027,
6.50572,°,Segment,2,2,1,100000008,510000002031,
130.672,°,Segment,2,2,1,100000008,510000002036,
6.66076,°,Segment,3,2,1,100000008,510000002040,
63.7697,°,Segment,3,3,1,100000008,510000002045,
121.445,°,Segment,3,2,1,100000008,510000002056,
110.902,°,Segment,2,2,1,100000008,510000002076,
39.3358,°,Segment,2,3,1,100000008,510000002093,
5.77197,°,Segment,1,2,1,100000009,510000002102,
84.9823,°,Segment,1,2,1,100000009,510000002111,
167.384,°,Segment,1,1,1,100000009,510000002126,
1.08119,°,Segment,3,1,1,100000009,510000002129,
24.0026,°,Segment,3,2,1,100000009,510000002143,
47.0776,°,Segment,2,2,1,100000009,510000002148,
9.53201,°,Segment,3,2,1,100000009,510000002151,
105.305,°,Segment,2,2,1,100000009,510000002156,
76.0095,°,Segment,3,3,1,100000009,510000002165,
57.7946,°,Segment,1,2,1,100000009,510000002171,
2.17457,°,Segment,2,2,1,100000009,510000002176,
98.8065,°,Segment,2,3,1,100000009,510000002180,
12.0326,°,Segment,1,1,1,100000010,510000002194,
5.03808,°,Segment,2,1,1,100000010,510000002196,
7.53859,°,Segment,3,1,1,100000010,510000002202,
76.2748,°,Segment,2,2,1,100000010,510000002218,
2.23213,°,Segment,3,2,1,100000010,510000002226,
90.7242,°,Segment,1,2,1,100000010,510000002246,
19.48,°,Segment,2,3,1,100000010,510000002248,
21.9231,°,Segment,3,3,1,100000010,510000002263,
102.293,°,Segment,2,2,1,100000010,510000002278,
1.27534,°,Segment,3,2,1,100000010,510000002281,
7.28163,°,Segment,4,2,1,100000010,510000002290,
121.842,°,Segment,3,3,1,100000010,510000002302,
9.66678,°,Segment,4,3,1,100000010,510000002331,
8.16998,°,Segment,1,1,1,100000010,510000002342,
5.77638,°,Segment,2,1,1,100000010,510000002358,
14.2056,°,Segment,3,1,1,100000010,510000002363,
