
Segment Intensity Min Ch=3 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,3,1,Image 1,1,1,100000000,510000000001,
42,,Segment,3,2,Image 1,2,1,100000000,510000000007,
0,,Segment,3,1,Image 1,1,1,100000000,510000000045,
15,,Segment,3,2,Image 1,1,1,100000000,510000000051,
15,,Segment,3,3,Image 1,1,1,100000000,510000000053,
16,,Segment,3,2,Image 1,2,1,100000000,510000000095,
0,,Segment,3,1,Image 1,1,1,100000000,510000000138,
8,,Segment,3,2,Image 1,1,1,100000000,510000000141,
0,,Segment,3,2,Image 1,2,1,100000000,510000000158,
11,,Segment,3,2,Image 1,2,1,100000000,510000000189,
71,,Segment,3,3,Image 1,2,1,100000000,510000000204,
4,,Segment,3,3,Image 1,3,1,100000000,510000000217,
33,,Segment,3,3,Image 1,1,1,100000000,510000000232,
33,,Segment,3,3,Image 1,2,1,100000000,510000000259,
15,,Segment,3,3,Image 1,2,1,100000000,510000000294,
0,,Segment,3,3,Image 1,2,1,100000000,510000000330,
0,,Segment,3,3,Image 1,1,1,100000000,510000000372,
11,,Segment,3,3,Image 1,2,1,100000000,510000000414,
41,,Segment,3,3,Image 1,1,1,100000001,510000000431,
50,,Segment,3,4,Image 1,1,1,100000001,510000000447,
0,,Segment,3,1,Image 1,1,1,100000001,510000000450,
0,,Segment,3,2,Image 1,1,1,100000001,510000000454,
1,,Segment,3,3,Image 1,1,1,100000001,510000000457,
0,,Segment,3,1,Image 1,1,1,100000001,510000000474,
42,,Segment,3,2,Image 1,1,1,100000001,510000000481,
7,,Segment,3,3,Image 1,2,1,100000001,510000000495,
0,,Segment,3,1,Image 1,1,1,100000001,510000000505,
31,,Segment,3,3,Image 1,2,1,100000001,510000000517,
51,,Segment,3,4,Image 1,2,1,100000001,510000000524,
18,,Segment,3,2,Image 1,2,1,100000001,510000000529,
0,,Segment,3,1,Image 1,1,1,100000001,510000000540,
28,,Segment,3,2,Image 1,1,1,100000001,510000000543,
0,,Segment,3,1,Image 1,1,1,100000001,510000000562,
0,,Segment,3,2,Image 1,2,1,100000001,510000000570,
0,,Segment,3,1,Image 1,1,1,100000001,510000000573,
35,,Segment,3,2,Image 1,2,1,100000001,510000000580,
66,,Segment,3,2,Image 1,2,1,100000001,510000000594,
26,,Segment,3,4,Image 1,3,1,100000001,510000000599,
50,,Segment,3,4,Image 1,2,1,100000001,510000000610,
26,,Segment,3,2,Image 1,1,1,100000002,510000000616,
4,,Segment,3,3,Image 1,1,1,100000002,510000000635,
1,,Segment,3,3,Image 1,2,1,100000002,510000000663,
3,,Segment,3,1,Image 1,1,1,100000002,510000000685,
0,,Segment,3,2,Image 1,1,1,100000002,510000000709,
0,,Segment,3,3,Image 1,1,1,100000002,510000000711,
0,,Segment,3,4,Image 1,1,1,100000002,510000000716,
0,,Segment,3,2,Image 1,2,1,100000002,510000000726,
56,,Segment,3,4,Image 1,2,1,100000002,510000000743,
0,,Segment,3,3,Image 1,2,1,100000002,510000000755,
1,,Segment,3,1,Image 1,1,1,100000002,510000000760,
3,,Segment,3,3,Image 1,1,1,100000002,510000000765,
45,,Segment,3,3,Image 1,2,1,100000002,510000000773,
30,,Segment,3,2,Image 1,2,1,100000002,510000000783,
0,,Segment,3,2,Image 1,2,1,100000002,510000000798,
3,,Segment,3,1,Image 1,1,1,100000002,510000000824,
0,,Segment,3,2,Image 1,2,1,100000002,510000000832,
68,,Segment,3,2,Image 1,1,1,100000003,510000000846,
0,,Segment,3,0,Image 1,1,1,100000003,510000000855,
35,,Segment,3,1,Image 1,1,1,100000003,510000000857,
0,,Segment,3,3,Image 1,2,1,100000003,510000000884,
1,,Segment,3,4,Image 1,2,1,100000003,510000000886,
0,,Segment,3,3,Image 1,3,1,100000003,510000000893,
57,,Segment,3,4,Image 1,3,1,100000003,510000000899,
60,,Segment,3,4,Image 1,4,1,100000003,510000000907,
4,,Segment,3,2,Image 1,3,1,100000003,510000000910,
4,,Segment,3,3,Image 1,3,1,100000003,510000000912,
4,,Segment,3,3,Image 1,4,1,100000003,510000000934,
84,,Segment,3,8,Image 1,4,1,100000003,510000000951,
45,,Segment,3,8,Image 1,5,1,100000003,510000000961,
11,,Segment,3,8,Image 1,5,1,100000003,510000000979,
30,,Segment,3,9,Image 1,5,1,100000003,510000000986,
20,,Segment,3,8,Image 1,6,1,100000003,510000000995,
78,,Segment,3,9,Image 1,6,1,100000003,510000000997,
0,,Segment,3,6,Image 1,5,1,100000003,510000001012,
1,,Segment,3,5,Image 1,4,1,100000003,510000001037,
36,,Segment,3,4,Image 1,4,1,100000003,510000001057,
134,,Segment,3,5,Image 1,5,1,100000003,510000001060,
1,,Segment,3,6,Image 1,5,1,100000003,510000001062,
14,,Segment,3,9,Image 1,7,1,100000003,510000001072,
0,,Segment,3,9,Image 1,6,1,100000003,510000001077,
0,,Segment,3,7,Image 1,5,1,100000003,510000001085,
0,,Segment,3,2,Image 1,3,1,100000003,510000001099,
51,,Segment,3,2,Image 1,2,1,100000003,510000001118,
17,,Segment,3,1,Image 1,2,1,100000003,510000001127,
29,,Segment,3,4,Image 1,3,1,100000003,510000001138,
7,,Segment,3,1,Image 1,2,1,100000003,510000001158,
3,,Segment,3,1,Image 1,1,1,100000004,510000001175,
27,,Segment,3,2,Image 1,2,1,100000004,510000001196,
1,,Segment,3,3,Image 1,2,1,100000004,510000001204,
31,,Segment,3,3,Image 1,3,1,100000004,510000001211,
8,,Segment,3,1,Image 1,2,1,100000004,510000001218,
83,,Segment,3,1,Image 1,1,1,100000004,510000001242,
21,,Segment,3,2,Image 1,1,1,100000004,510000001244,
14,,Segment,3,2,Image 1,3,1,100000004,510000001259,
3,,Segment,3,2,Image 1,3,1,100000004,510000001270,
13,,Segment,3,3,Image 1,3,1,100000004,510000001272,
0,,Segment,3,4,Image 1,3,1,100000004,510000001275,
13,,Segment,3,4,Image 1,4,1,100000004,510000001293,
67,,Segment,3,2,Image 1,2,1,100000004,510000001302,
6,,Segment,3,3,Image 1,4,1,100000004,510000001319,
0,,Segment,3,1,Image 1,1,1,100000005,510000001337,
0,,Segment,3,1,Image 1,1,1,100000005,510000001375,
0,,Segment,3,2,Image 1,1,1,100000005,510000001403,
0,,Segment,3,1,Image 1,1,1,100000005,510000001419,
0,,Segment,3,1,Image 1,1,1,100000005,510000001434,
0,,Segment,3,1,Image 1,1,1,100000005,510000001466,
10,,Segment,3,2,Image 1,1,1,100000005,510000001468,
0,,Segment,3,3,Image 1,1,1,100000005,510000001470,
3,,Segment,3,2,Image 1,2,1,100000005,510000001515,
0,,Segment,3,3,Image 1,2,1,100000005,510000001517,
0,,Segment,3,3,Image 1,3,1,100000005,510000001545,
0,,Segment,3,3,Image 1,2,1,100000005,510000001563,
0,,Segment,3,2,Image 1,2,1,100000005,510000001589,
0,,Segment,3,3,Image 1,2,1,100000005,510000001599,
0,,Segment,3,3,Image 1,3,1,100000005,510000001611,
0,,Segment,3,2,Image 1,1,1,100000006,510000001633,
1,,Segment,3,2,Image 1,2,1,100000006,510000001648,
6,,Segment,3,2,Image 1,2,1,100000006,510000001680,
71,,Segment,3,2,Image 1,1,1,100000006,510000001689,
0,,Segment,3,3,Image 1,1,1,100000006,510000001692,
71,,Segment,3,2,Image 1,2,1,100000006,510000001734,
15,,Segment,3,3,Image 1,2,1,100000006,510000001744,
62,,Segment,3,3,Image 1,3,1,100000006,510000001753,
9,,Segment,3,1,Image 1,1,1,100000006,510000001759,
74,,Segment,3,3,Image 1,2,1,100000006,510000001769,
23,,Segment,3,3,Image 1,2,1,100000006,510000001778,
9,,Segment,3,3,Image 1,3,1,100000006,510000001796,
50,,Segment,3,2,Image 1,1,1,100000007,510000001816,
0,,Segment,3,3,Image 1,1,1,100000007,510000001818,
0,,Segment,3,1,Image 1,1,1,100000007,510000001834,
41,,Segment,3,2,Image 1,2,1,100000007,510000001847,
69,,Segment,3,3,Image 1,2,1,100000007,510000001850,
5,,Segment,3,2,Image 1,1,1,100000007,510000001866,
0,,Segment,3,1,Image 1,1,1,100000007,510000001885,
100,,Segment,3,2,Image 1,1,1,100000007,510000001892,
83,,Segment,3,2,Image 1,2,1,100000007,510000001903,
6,,Segment,3,2,Image 1,2,1,100000007,510000001915,
0,,Segment,3,1,Image 1,1,1,100000007,510000001923,
0,,Segment,3,1,Image 1,1,1,100000007,510000001931,
69,,Segment,3,3,Image 1,3,1,100000007,510000001949,
45,,Segment,3,3,Image 1,2,1,100000007,510000001953,
0,,Segment,3,0,Image 1,1,1,100000008,510000001968,
2,,Segment,3,2,Image 1,1,1,100000008,510000001975,
41,,Segment,3,3,Image 1,1,1,100000008,510000001977,
67,,Segment,3,4,Image 1,1,1,100000008,510000001980,
0,,Segment,3,1,Image 1,2,1,100000008,510000001997,
19,,Segment,3,4,Image 1,2,1,100000008,510000002005,
2,,Segment,3,2,Image 1,2,1,100000008,510000002022,
0,,Segment,3,1,Image 1,2,1,100000008,510000002027,
100,,Segment,3,2,Image 1,2,1,100000008,510000002031,
0,,Segment,3,2,Image 1,2,1,100000008,510000002036,
9,,Segment,3,3,Image 1,2,1,100000008,510000002040,
8,,Segment,3,3,Image 1,3,1,100000008,510000002045,
0,,Segment,3,3,Image 1,2,1,100000008,510000002056,
0,,Segment,3,2,Image 1,2,1,100000008,510000002076,
66,,Segment,3,2,Image 1,3,1,100000008,510000002093,
3,,Segment,3,1,Image 1,2,1,100000009,510000002102,
56,,Segment,3,1,Image 1,2,1,100000009,510000002111,
0,,Segment,3,1,Image 1,1,1,100000009,510000002126,
27,,Segment,3,3,Image 1,1,1,100000009,510000002129,
27,,Segment,3,3,Image 1,2,1,100000009,510000002143,
69,,Segment,3,2,Image 1,2,1,100000009,510000002148,
117,,Segment,3,3,Image 1,2,1,100000009,510000002151,
1,,Segment,3,2,Image 1,2,1,100000009,510000002156,
43,,Segment,3,3,Image 1,3,1,100000009,510000002165,
10,,Segment,3,1,Image 1,2,1,100000009,510000002171,
10,,Segment,3,2,Image 1,2,1,100000009,510000002176,
10,,Segment,3,2,Image 1,3,1,100000009,510000002180,
88,,Segment,3,1,Image 1,1,1,100000010,510000002194,
92,,Segment,3,2,Image 1,1,1,100000010,510000002196,
4,,Segment,3,3,Image 1,1,1,100000010,510000002202,
85,,Segment,3,2,Image 1,2,1,100000010,510000002218,
6,,Segment,3,3,Image 1,2,1,100000010,510000002226,
81,,Segment,3,1,Image 1,2,1,100000010,510000002246,
102,,Segment,3,2,Image 1,3,1,100000010,510000002248,
75,,Segment,3,3,Image 1,3,1,100000010,510000002263,
77,,Segment,3,2,Image 1,2,1,100000010,510000002278,
16,,Segment,3,3,Image 1,2,1,100000010,510000002281,
124,,Segment,3,4,Image 1,2,1,100000010,510000002290,
0,,Segment,3,3,Image 1,3,1,100000010,510000002302,
6,,Segment,3,4,Image 1,3,1,100000010,510000002331,
0,,Segment,3,1,Image 1,1,1,100000010,510000002342,
82,,Segment,3,2,Image 1,1,1,100000010,510000002358,
107,,Segment,3,3,Image 1,1,1,100000010,510000002363,
68,,Segment,3,3,Image 1,2,1,100000010,510000002365,
94,,Segment,3,1,Image 1,2,1,100000010,510000002368,
50,,Segment,3,3,Image 1,2,1,100000010,510000002382,
88,,Segment,3,1,Image 1,2,1,100000010,510000002396,
121,,Segment,3,2,Image 1,2,1,100000010,510000002399,
94,,Segment,3,2,Image 1,3,1,100000010,510000002407,
95,,Segment,3,3,Image 1,3,1,100000010,510000002412,
86,,Segment,3,4,Image 1,3,1,100000010,510000002417,
11,,Segment,3,4,Image 1,4,1,100000010,510000002428,
61,,Segment,3,1,Image 1,2,1,100000010,510000002431,
63,,Segment,3,2,Image 1,2,1,100000010,510000002441,
117,,Segment,3,3,Image 1,2,1,100000010,510000002444,
51,,Segment,3,4,Image 1,2,1,100000010,510000002447,
102,,Segment,3,4,Image 1,3,1,100000010,510000002454,
58,,Segment,3,5,Image 1,3,1,100000010,510000002456,
6,,Segment,3,5,Image 1,4,1,100000010,510000002459,
13,,Segment,3,3,Image 1,3,1,100000010,510000002461,
0,,Segment,3,2,Image 1,3,1,100000010,510000002466,
14,,Segment,3,2,Image 1,2,1,100000010,510000002479,
1,,Segment,3,3,Image 1,4,1,100000010,510000002488,
8,,Segment,3,2,Image 1,1,1,100000011,510000002505,
70,,Segment,3,3,Image 1,1,1,100000011,510000002515,
8,,Segment,3,2,Image 1,2,1,100000011,510000002528,
12,,Segment,3,2,Image 1,3,1,100000011,510000002550,
12,,Segment,3,4,Image 1,2,1,100000011,510000002565,
52,,Segment,3,4,Image 1,3,1,100000011,510000002578,
0,,Segment,3,3,Image 1,3,1,100000011,510000002584,
2,,Segment,3,2,Image 1,3,1,100000011,510000002606,
28,,Segment,3,1,Image 1,1,1,100000011,510000002630,
4,,Segment,3,1,Image 1,2,1,100000011,510000002643,
59,,Segment,3,3,Image 1,2,1,100000011,510000002661,
59,,Segment,3,3,Image 1,3,1,100000011,510000002664,
0,,Segment,3,3,Image 1,2,1,100000011,510000002675,
37,,Segment,3,2,Image 1,1,1,100000012,510000002702,
6,,Segment,3,3,Image 1,1,1,100000012,510000002709,
173,,Segment,3,4,Image 1,1,1,100000012,510000002731,
173,,Segment,3,4,Image 1,2,1,100000012,510000002740,
0,,Segment,3,2,Image 1,2,1,100000012,510000002746,
43,,Segment,3,3,Image 1,2,1,100000012,510000002752,
1,,Segment,3,4,Image 1,2,1,100000012,510000002760,
1,,Segment,3,5,Image 1,2,1,100000012,510000002776,
1,,Segment,3,5,Image 1,3,1,100000012,510000002784,
0,,Segment,3,4,Image 1,3,1,100000012,510000002791,
6,,Segment,3,1,Image 1,1,1,100000012,510000002813,
0,,Segment,3,2,Image 1,1,1,100000012,510000002820,
7,,Segment,3,2,Image 1,2,1,100000012,510000002832,
3,,Segment,3,3,Image 1,2,1,100000012,510000002836,
0,,Segment,3,2,Image 1,1,1,100000012,510000002867,
0,,Segment,3,3,Image 1,1,1,100000012,510000002869,
0,,Segment,3,3,Image 1,2,1,100000012,510000002897,
0,,Segment,3,2,Image 1,2,1,100000012,510000002921,
0,,Segment,3,3,Image 1,2,1,100000012,510000002930,
0,,Segment,3,3,Image 1,3,1,100000012,510000002947,
2,,Segment,3,2,Image 1,2,1,100000012,510000002966,
8,,Segment,3,3,Image 1,3,1,100000012,510000002982,
26,,Segment,3,4,Image 1,3,1,100000012,510000002984,
18,,Segment,3,4,Image 1,4,1,100000012,510000002999,
50,,Segment,3,3,Image 1,2,1,100000012,510000003014,
18,,Segment,3,3,Image 1,3,1,100000012,510000003020,
21,,Segment,3,3,Image 1,1,1,100000013,510000003039,
15,,Segment,3,3,Image 1,2,1,100000013,510000003056,
27,,Segment,3,4,Image 1,2,1,100000013,510000003061,
27,,Segment,3,4,Image 1,3,1,100000013,510000003074,
13,,Segment,3,3,Image 1,2,1,100000013,510000003081,
15,,Segment,3,4,Image 1,2,1,100000013,510000003083,
15,,Segment,3,4,Image 1,3,1,100000013,510000003090,
134,,Segment,3,5,Image 1,3,1,100000013,510000003093,
7,,Segment,3,5,Image 1,4,1,100000013,510000003106,
28,,Segment,3,4,Image 1,3,1,100000013,510000003111,
63,,Segment,3,4,Image 1,4,1,100000013,510000003122,
8,,Segment,3,1,Image 1,1,1,100000013,510000003143,
8,,Segment,3,1,Image 1,1,1,100000013,510000003156,
8,,Segment,3,2,Image 1,1,1,100000013,510000003160,
83,,Segment,3,2,Image 1,2,1,100000013,510000003185,
53,,Segment,3,3,Image 1,2,1,100000013,510000003188,
53,,Segment,3,4,Image 1,2,1,100000013,510000003191,
53,,Segment,3,4,Image 1,3,1,100000013,510000003206,
8,,Segment,3,1,Image 1,1,1,100000013,510000003211,
24,,Segment,3,4,Image 1,1,1,100000013,510000003215,
41,,Segment,3,4,Image 1,2,1,100000013,510000003235,
56,,Segment,3,3,Image 1,2,1,100000013,510000003244,
77,,Segment,3,2,Image 1,2,1,100000013,510000003251,
69,,Segment,3,3,Image 1,2,1,100000013,510000003253,
4,,Segment,3,3,Image 1,3,1,100000013,510000003269,
8,,Segment,3,3,Image 1,3,1,100000013,510000003292,
26,,Segment,3,2,Image 1,1,1,100000000,510000003309,
0,,Segment,3,1,Image 1,1,1,100000000,510000003310,
11,,Segment,3,2,Image 1,1,1,100000000,510000003311,
0,,Segment,3,1,Image 1,1,1,100000001,510000003312,
33,,Segment,3,2,Image 1,1,1,100000001,510000003313,
3,,Segment,3,1,Image 1,1,1,100000002,510000003314,
3,,Segment,3,1,Image 1,1,1,100000002,510000003315,
4,,Segment,3,2,Image 1,1,1,100000002,510000003316,
0,,Segment,3,0,Image 1,1,1,100000003,510000003317,
17,,Segment,3,1,Image 1,1,1,100000003,510000003318,
8,,Segment,3,1,Image 1,2,1,100000003,510000003319,
0,,Segment,3,2,Image 1,2,1,100000003,510000003320,
0,,Segment,3,6,Image 1,4,1,100000003,510000003321,
0,,Segment,3,7,Image 1,4,1,100000003,510000003322,
0,,Segment,3,7,Image 1,5,1,100000003,510000003323,
70,,Segment,3,4,Image 1,5,1,100000003,510000003324,
2,,Segment,3,0,Image 1,1,1,100000004,510000003325,
2,,Segment,3,1,Image 1,2,1,100000004,510000003326,
3,,Segment,3,0,Image 1,1,1,100000004,510000003327,
0,,Segment,3,1,Image 1,1,1,100000005,510000003328,
23,,Segment,3,1,Image 1,1,1,100000006,510000003329,
48,,Segment,3,2,Image 1,2,1,100000006,510000003330,
46,,Segment,3,1,Image 1,1,1,100000006,510000003331,
0,,Segment,3,1,Image 1,1,1,100000007,510000003332,
0,,Segment,3,1,Image 1,1,1,100000007,510000003333,
0,,Segment,3,0,Image 1,1,1,100000008,510000003334,
0,,Segment,3,1,Image 1,1,1,100000008,510000003335,
0,,Segment,3,0,Image 1,1,1,100000009,510000003336,
27,,Segment,3,2,Image 1,1,1,100000009,510000003337,
56,,Segment,3,0,Image 1,1,1,100000010,510000003338,
56,,Segment,3,0,Image 1,1,1,100000010,510000003339,
0,,Segment,3,0,Image 1,1,1,100000011,510000003340,
2,,Segment,3,1,Image 1,1,1,100000011,510000003341,
2,,Segment,3,1,Image 1,2,1,100000011,510000003342,
10,,Segment,3,2,Image 1,2,1,100000011,510000003343,
38,,Segment,3,3,Image 1,2,1,100000011,510000003344,
0,,Segment,3,1,Image 1,2,1,100000011,510000003345,
6,,Segment,3,2,Image 1,2,1,100000011,510000003346,
0,,Segment,3,0,Image 1,1,1,100000011,510000003347,
6,,Segment,3,1,Image 1,1,1,100000012,510000003348,
0,,Segment,3,1,Image 1,1,1,100000012,510000003349,
8,,Segment,3,1,Image 1,1,1,100000013,510000003350,
23,,Segment,3,2,Image 1,1,1,100000013,510000003351,
23,,Segment,3,2,Image 1,2,1,100000013,510000003352,
23,,Segment,3,3,Image 1,3,1,100000013,510000003353,
65,,Segment,3,2,Image 1,1,1,100000013,510000003354,
65,,Segment,3,3,Image 1,1,1,100000013,510000003355,
