
Segment Center Intensity Median Ch=2 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
158.531,,Segment,2,4,Image 1,4,1,100000004,510000001293,
168.062,,Segment,2,2,Image 1,2,1,100000004,510000001302,
146.562,,Segment,2,3,Image 1,4,1,100000004,510000001319,
185.125,,Segment,2,1,Image 1,1,1,100000005,510000001337,
142.625,,Segment,2,1,Image 1,1,1,100000005,510000001375,
149.562,,Segment,2,2,Image 1,1,1,100000005,510000001403,
175.625,,Segment,2,1,Image 1,1,1,100000005,510000001419,
111.625,,Segment,2,1,Image 1,1,1,100000005,510000001434,
77.0625,,Segment,2,1,Image 1,1,1,100000005,510000001466,
108.062,,Segment,2,2,Image 1,1,1,100000005,510000001468,
149.562,,Segment,2,3,Image 1,1,1,100000005,510000001470,
166.062,,Segment,2,2,Image 1,2,1,100000005,510000001515,
168.125,,Segment,2,3,Image 1,2,1,100000005,510000001517,
180.062,,Segment,2,3,Image 1,3,1,100000005,510000001545,
167.125,,Segment,2,3,Image 1,2,1,100000005,510000001563,
151.125,,Segment,2,2,Image 1,2,1,100000005,510000001589,
133.125,,Segment,2,3,Image 1,2,1,100000005,510000001599,
182.062,,Segment,2,3,Image 1,3,1,100000005,510000001611,
158.562,,Segment,2,2,Image 1,1,1,100000006,510000001633,
143.062,,Segment,2,2,Image 1,2,1,100000006,510000001648,
190.062,,Segment,2,2,Image 1,2,1,100000006,510000001680,
135.562,,Segment,2,2,Image 1,1,1,100000006,510000001689,
147.062,,Segment,2,3,Image 1,1,1,100000006,510000001692,
135.062,,Segment,2,2,Image 1,2,1,100000006,510000001734,
155.062,,Segment,2,3,Image 1,2,1,100000006,510000001744,
159.531,,Segment,2,3,Image 1,3,1,100000006,510000001753,
195.516,,Segment,2,1,Image 1,1,1,100000006,510000001759,
185.531,,Segment,2,3,Image 1,2,1,100000006,510000001769,
170.125,,Segment,2,3,Image 1,2,1,100000006,510000001778,
131.625,,Segment,2,3,Image 1,3,1,100000006,510000001796,
124.031,,Segment,2,2,Image 1,1,1,100000007,510000001816,
127.125,,Segment,2,3,Image 1,1,1,100000007,510000001818,
83.5625,,Segment,2,1,Image 1,1,1,100000007,510000001834,
122.531,,Segment,2,2,Image 1,2,1,100000007,510000001847,
143.062,,Segment,2,3,Image 1,2,1,100000007,510000001850,
135.062,,Segment,2,2,Image 1,1,1,100000007,510000001866,
132.625,,Segment,2,1,Image 1,1,1,100000007,510000001885,
166.031,,Segment,2,2,Image 1,1,1,100000007,510000001892,
163.531,,Segment,2,2,Image 1,2,1,100000007,510000001903,
139.125,,Segment,2,2,Image 1,2,1,100000007,510000001915,
157.125,,Segment,2,1,Image 1,1,1,100000007,510000001923,
158.125,,Segment,2,1,Image 1,1,1,100000007,510000001931,
137.031,,Segment,2,3,Image 1,3,1,100000007,510000001949,
170.062,,Segment,2,3,Image 1,2,1,100000007,510000001953,
172.562,,Segment,2,0,Image 1,1,1,100000008,510000001968,
75.0156,,Segment,2,2,Image 1,1,1,100000008,510000001975,
114.531,,Segment,2,3,Image 1,1,1,100000008,510000001977,
174.562,,Segment,2,4,Image 1,1,1,100000008,510000001980,
147.125,,Segment,2,1,Image 1,2,1,100000008,510000001997,
184.062,,Segment,2,4,Image 1,2,1,100000008,510000002005,
158.562,,Segment,2,2,Image 1,2,1,100000008,510000002022,
77.0625,,Segment,2,1,Image 1,2,1,100000008,510000002027,
141.031,,Segment,2,2,Image 1,2,1,100000008,510000002031,
109.062,,Segment,2,2,Image 1,2,1,100000008,510000002036,
152.062,,Segment,2,3,Image 1,2,1,100000008,510000002040,
187.062,,Segment,2,3,Image 1,3,1,100000008,510000002045,
179.125,,Segment,2,3,Image 1,2,1,100000008,510000002056,
175.625,,Segment,2,2,Image 1,2,1,100000008,510000002076,
147.531,,Segment,2,2,Image 1,3,1,100000008,510000002093,
135.062,,Segment,2,1,Image 1,2,1,100000009,510000002102,
187.062,,Segment,2,1,Image 1,2,1,100000009,510000002111,
87.0625,,Segment,2,1,Image 1,1,1,100000009,510000002126,
173.062,,Segment,2,3,Image 1,1,1,100000009,510000002129,
177.062,,Segment,2,3,Image 1,2,1,100000009,510000002143,
142.562,,Segment,2,2,Image 1,2,1,100000009,510000002148,
176.016,,Segment,2,3,Image 1,2,1,100000009,510000002151,
189.062,,Segment,2,2,Image 1,2,1,100000009,510000002156,
177.016,,Segment,2,3,Image 1,3,1,100000009,510000002165,
179.062,,Segment,2,1,Image 1,2,1,100000009,510000002171,
171.062,,Segment,2,2,Image 1,2,1,100000009,510000002176,
179.125,,Segment,2,2,Image 1,3,1,100000009,510000002180,
109.008,,Segment,2,1,Image 1,1,1,100000010,510000002194,
123.008,,Segment,2,2,Image 1,1,1,100000010,510000002196,
183.062,,Segment,2,3,Image 1,1,1,100000010,510000002202,
121.031,,Segment,2,2,Image 1,2,1,100000010,510000002218,
161.062,,Segment,2,3,Image 1,2,1,100000010,510000002226,
104.016,,Segment,2,1,Image 1,2,1,100000010,510000002246,
152.562,,Segment,2,2,Image 1,3,1,100000010,510000002248,
178.062,,Segment,2,3,Image 1,3,1,100000010,510000002263,
88.0312,,Segment,2,2,Image 1,2,1,100000010,510000002278,
133.562,,Segment,2,3,Image 1,2,1,100000010,510000002281,
180.031,,Segment,2,4,Image 1,2,1,100000010,510000002290,
153.062,,Segment,2,3,Image 1,3,1,100000010,510000002302,
182.062,,Segment,2,4,Image 1,3,1,100000010,510000002331,
118.062,,Segment,2,1,Image 1,1,1,100000010,510000002342,
159.031,,Segment,2,2,Image 1,1,1,100000010,510000002358,
140.031,,Segment,2,3,Image 1,1,1,100000010,510000002363,
180.531,,Segment,2,3,Image 1,2,1,100000010,510000002365,
171.062,,Segment,2,1,Image 1,2,1,100000010,510000002368,
148.031,,Segment,2,3,Image 1,2,1,100000010,510000002382,
114.516,,Segment,2,1,Image 1,2,1,100000010,510000002396,
174.031,,Segment,2,2,Image 1,2,1,100000010,510000002399,
110.531,,Segment,2,2,Image 1,3,1,100000010,510000002407,
121.016,,Segment,2,3,Image 1,3,1,100000010,510000002412,
154.062,,Segment,2,4,Image 1,3,1,100000010,510000002417,
104.062,,Segment,2,4,Image 1,4,1,100000010,510000002428,
84.0312,,Segment,2,1,Image 1,2,1,100000010,510000002431,
131.016,,Segment,2,2,Image 1,2,1,100000010,510000002441,
137.508,,Segment,2,3,Image 1,2,1,100000010,510000002444,
131.562,,Segment,2,4,Image 1,2,1,100000010,510000002447,
132.016,,Segment,2,4,Image 1,3,1,100000010,510000002454,
137.016,,Segment,2,5,Image 1,3,1,100000010,510000002456,
90.125,,Segment,2,5,Image 1,4,1,100000010,510000002459,
143.531,,Segment,2,3,Image 1,3,1,100000010,510000002461,
156.562,,Segment,2,2,Image 1,3,1,100000010,510000002466,
166.062,,Segment,2,2,Image 1,2,1,100000010,510000002479,
186.062,,Segment,2,3,Image 1,4,1,100000010,510000002488,
95.0625,,Segment,2,2,Image 1,1,1,100000011,510000002505,
159.062,,Segment,2,3,Image 1,1,1,100000011,510000002515,
137.625,,Segment,2,2,Image 1,2,1,100000011,510000002528,
82.0625,,Segment,2,2,Image 1,3,1,100000011,510000002550,
