
Segment Mean Diameter
 ==================== 
Segment Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
7.92375,µm,Segment,2,2,1,100000005,510000001589,
7.40409,µm,Segment,3,2,1,100000005,510000001599,
7.32108,µm,Segment,3,3,1,100000005,510000001611,
10.2484,µm,Segment,2,1,1,100000006,510000001633,
9.86773,µm,Segment,2,2,1,100000006,510000001648,
6.97712,µm,Segment,2,2,1,100000006,510000001680,
7.98747,µm,Segment,2,1,1,100000006,510000001689,
6.65803,µm,Segment,3,1,1,100000006,510000001692,
4.7243,µm,Segment,2,2,1,100000006,510000001734,
3.90179,µm,Segment,3,2,1,100000006,510000001744,
3.81098,µm,Segment,3,3,1,100000006,510000001753,
5.70032,µm,Segment,1,1,1,100000006,510000001759,
4.49475,µm,Segment,3,2,1,100000006,510000001769,
4.27413,µm,Segment,3,2,1,100000006,510000001778,
3.98738,µm,Segment,3,3,1,100000006,510000001796,
6.54527,µm,Segment,2,1,1,100000007,510000001816,
5.49366,µm,Segment,3,1,1,100000007,510000001818,
6.17372,µm,Segment,1,1,1,100000007,510000001834,
5.03005,µm,Segment,2,2,1,100000007,510000001847,
3.96688,µm,Segment,3,2,1,100000007,510000001850,
4.53023,µm,Segment,2,1,1,100000007,510000001866,
6.03404,µm,Segment,1,1,1,100000007,510000001885,
4.06177,µm,Segment,2,1,1,100000007,510000001892,
3.86372,µm,Segment,2,2,1,100000007,510000001903,
4.1759,µm,Segment,2,2,1,100000007,510000001915,
5.44282,µm,Segment,1,1,1,100000007,510000001923,
4.91044,µm,Segment,1,1,1,100000007,510000001931,
3.88762,µm,Segment,3,3,1,100000007,510000001949,
4.11176,µm,Segment,3,2,1,100000007,510000001953,
13.6659,µm,Segment,0,1,1,100000008,510000001968,
9.16864,µm,Segment,2,1,1,100000008,510000001975,
8.67538,µm,Segment,3,1,1,100000008,510000001977,
7.14373,µm,Segment,4,1,1,100000008,510000001980,
6.80822,µm,Segment,1,2,1,100000008,510000001997,
6.33288,µm,Segment,4,2,1,100000008,510000002005,
6.83717,µm,Segment,2,2,1,100000008,510000002022,
7.35193,µm,Segment,1,2,1,100000008,510000002027,
6.17253,µm,Segment,2,2,1,100000008,510000002031,
7.08189,µm,Segment,2,2,1,100000008,510000002036,
6.14182,µm,Segment,3,2,1,100000008,510000002040,
