
Segment Intensity StdDev Ch=3 Img=1
 ==================== 
Segment Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
40.8419,,Segment,3,1,Image 1,1,1,100000000,510000000001,
29.7932,,Segment,3,2,Image 1,2,1,100000000,510000000007,
21.6173,,Segment,3,1,Image 1,1,1,100000000,510000000045,
32.43,,Segment,3,2,Image 1,1,1,100000000,510000000051,
36.0687,,Segment,3,3,Image 1,1,1,100000000,510000000053,
40.7602,,Segment,3,2,Image 1,2,1,100000000,510000000095,
37.0614,,Segment,3,1,Image 1,1,1,100000000,510000000138,
31.8666,,Segment,3,2,Image 1,1,1,100000000,510000000141,
45.663,,Segment,3,2,Image 1,2,1,100000000,510000000158,
39.1631,,Segment,3,2,Image 1,2,1,100000000,510000000189,
26.6206,,Segment,3,3,Image 1,2,1,100000000,510000000204,
29.264,,Segment,3,3,Image 1,3,1,100000000,510000000217,
28.7497,,Segment,3,3,Image 1,1,1,100000000,510000000232,
31.7847,,Segment,3,3,Image 1,2,1,100000000,510000000259,
37.0673,,Segment,3,3,Image 1,2,1,100000000,510000000294,
43.8778,,Segment,3,3,Image 1,2,1,100000000,510000000330,
35.9566,,Segment,3,3,Image 1,1,1,100000000,510000000372,
43.9786,,Segment,3,3,Image 1,2,1,100000000,510000000414,
31.2543,,Segment,3,3,Image 1,1,1,100000001,510000000431,
27.4614,,Segment,3,4,Image 1,1,1,100000001,510000000447,
42.2973,,Segment,3,1,Image 1,1,1,100000001,510000000450,
53.788,,Segment,3,2,Image 1,1,1,100000001,510000000454,
37.4875,,Segment,3,3,Image 1,1,1,100000001,510000000457,
52.8944,,Segment,3,1,Image 1,1,1,100000001,510000000474,
24.8088,,Segment,3,2,Image 1,1,1,100000001,510000000481,
25.0728,,Segment,3,3,Image 1,2,1,100000001,510000000495,
66.0717,,Segment,3,1,Image 1,1,1,100000001,510000000505,
28.8179,,Segment,3,3,Image 1,2,1,100000001,510000000517,
26.7804,,Segment,3,4,Image 1,2,1,100000001,510000000524,
37.1264,,Segment,3,2,Image 1,2,1,100000001,510000000529,
57.2679,,Segment,3,1,Image 1,1,1,100000001,510000000540,
33.2568,,Segment,3,2,Image 1,1,1,100000001,510000000543,
56.1399,,Segment,3,1,Image 1,1,1,100000001,510000000562,
57.655,,Segment,3,2,Image 1,2,1,100000001,510000000570,
62.9916,,Segment,3,1,Image 1,1,1,100000001,510000000573,
33.4964,,Segment,3,2,Image 1,2,1,100000001,510000000580,
