
Segment Orientation Angle
 ==================== 
Segment Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
-56.692,°,Segment,2,2,1,100000006,510000001648,
-127.795,°,Segment,2,2,1,100000006,510000001680,
124.074,°,Segment,2,1,1,100000006,510000001689,
110.584,°,Segment,3,1,1,100000006,510000001692,
72.0575,°,Segment,2,2,1,100000006,510000001734,
130.539,°,Segment,3,2,1,100000006,510000001744,
76.0145,°,Segment,3,3,1,100000006,510000001753,
-165.775,°,Segment,1,1,1,100000006,510000001759,
179.324,°,Segment,3,2,1,100000006,510000001769,
-3.72192,°,Segment,3,2,1,100000006,510000001778,
33.2461,°,Segment,3,3,1,100000006,510000001796,
-8.94423,°,Segment,2,1,1,100000007,510000001816,
-25.3807,°,Segment,3,1,1,100000007,510000001818,
111.909,°,Segment,1,1,1,100000007,510000001834,
74.5997,°,Segment,2,2,1,100000007,510000001847,
72.8918,°,Segment,3,2,1,100000007,510000001850,
-98.9101,°,Segment,2,1,1,100000007,510000001866,
-55.5987,°,Segment,1,1,1,100000007,510000001885,
-64.4649,°,Segment,2,1,1,100000007,510000001892,
-14.9115,°,Segment,2,2,1,100000007,510000001903,
-175.117,°,Segment,2,2,1,100000007,510000001915,
-132.428,°,Segment,1,1,1,100000007,510000001923,
150.676,°,Segment,1,1,1,100000007,510000001931,
34.6625,°,Segment,3,3,1,100000007,510000001949,
16.1101,°,Segment,3,2,1,100000007,510000001953,
-17.5435,°,Segment,0,1,1,100000008,510000001968,
51.2751,°,Segment,2,1,1,100000008,510000001975,
55.2183,°,Segment,3,1,1,100000008,510000001977,
56.4047,°,Segment,4,1,1,100000008,510000001980,
128.967,°,Segment,1,2,1,100000008,510000001997,
107.824,°,Segment,4,2,1,100000008,510000002005,
28.4079,°,Segment,2,2,1,100000008,510000002022,
-115.439,°,Segment,1,2,1,100000008,510000002027,
-102.096,°,Segment,2,2,1,100000008,510000002031,
-79.2334,°,Segment,2,2,1,100000008,510000002036,
-66.974,°,Segment,3,2,1,100000008,510000002040,
-30.741,°,Segment,3,3,1,100000008,510000002045,
-159.752,°,Segment,3,2,1,100000008,510000002056,
-179.149,°,Segment,2,2,1,100000008,510000002076,
-129.043,°,Segment,2,3,1,100000008,510000002093,
99.5037,°,Segment,1,2,1,100000009,510000002102,
35.2663,°,Segment,1,2,1,100000009,510000002111,
-84.3161,°,Segment,1,1,1,100000009,510000002126,
-84.1155,°,Segment,3,1,1,100000009,510000002129,
-56.5778,°,Segment,3,2,1,100000009,510000002143,
-121.609,°,Segment,2,2,1,100000009,510000002148,
-104.5,°,Segment,3,2,1,100000009,510000002151,
172.694,°,Segment,2,2,1,100000009,510000002156,
-164.888,°,Segment,3,3,1,100000009,510000002165,
152.628,°,Segment,1,2,1,100000009,510000002171,
156.427,°,Segment,2,2,1,100000009,510000002176,
88.4426,°,Segment,2,3,1,100000009,510000002180,
22.9997,°,Segment,1,1,1,100000010,510000002194,
20.5493,°,Segment,2,1,1,100000010,510000002196,
5.36341,°,Segment,3,1,1,100000010,510000002202,
83.7089,°,Segment,2,2,1,100000010,510000002218,
31.623,°,Segment,3,2,1,100000010,510000002226,
97.4052,°,Segment,1,2,1,100000010,510000002246,
53.2217,°,Segment,2,3,1,100000010,510000002248,
43.9974,°,Segment,3,3,1,100000010,510000002263,
177.465,°,Segment,2,2,1,100000010,510000002278,
108.403,°,Segment,3,2,1,100000010,510000002281,
120.401,°,Segment,4,2,1,100000010,510000002290,
70.2151,°,Segment,3,3,1,100000010,510000002302,
92.6366,°,Segment,4,3,1,100000010,510000002331,
-106.362,°,Segment,1,1,1,100000010,510000002342,
-116.517,°,Segment,2,1,1,100000010,510000002358,
-136.793,°,Segment,3,1,1,100000010,510000002363,
-63.6877,°,Segment,3,2,1,100000010,510000002365,
-49.8143,°,Segment,1,2,1,100000010,510000002368,
-52.0411,°,Segment,3,2,1,100000010,510000002382,
-174.537,°,Segment,1,2,1,100000010,510000002396,
-134.673,°,Segment,2,2,1,100000010,510000002399,
