
Segment Center Intensity StdDev Ch=2 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
31.8469,,Segment,2,2,Image 1,3,1,100000004,510000001270,
11.6055,,Segment,2,3,Image 1,3,1,100000004,510000001272,
31.5683,,Segment,2,4,Image 1,3,1,100000004,510000001275,
13.8308,,Segment,2,4,Image 1,4,1,100000004,510000001293,
31.269,,Segment,2,2,Image 1,2,1,100000004,510000001302,
16.9306,,Segment,2,3,Image 1,4,1,100000004,510000001319,
52.5778,,Segment,2,1,Image 1,1,1,100000005,510000001337,
53.0643,,Segment,2,1,Image 1,1,1,100000005,510000001375,
34.9002,,Segment,2,2,Image 1,1,1,100000005,510000001403,
67.5296,,Segment,2,1,Image 1,1,1,100000005,510000001419,
39.8914,,Segment,2,1,Image 1,1,1,100000005,510000001434,
45.7845,,Segment,2,1,Image 1,1,1,100000005,510000001466,
29.4882,,Segment,2,2,Image 1,1,1,100000005,510000001468,
34.816,,Segment,2,3,Image 1,1,1,100000005,510000001470,
45.6143,,Segment,2,2,Image 1,2,1,100000005,510000001515,
50.0452,,Segment,2,3,Image 1,2,1,100000005,510000001517,
26.3204,,Segment,2,3,Image 1,3,1,100000005,510000001545,
33.6641,,Segment,2,3,Image 1,2,1,100000005,510000001563,
63.0804,,Segment,2,2,Image 1,2,1,100000005,510000001589,
42.7306,,Segment,2,3,Image 1,2,1,100000005,510000001599,
29.7487,,Segment,2,3,Image 1,3,1,100000005,510000001611,
29.5206,,Segment,2,2,Image 1,1,1,100000006,510000001633,
27.0901,,Segment,2,2,Image 1,2,1,100000006,510000001648,
37.0708,,Segment,2,2,Image 1,2,1,100000006,510000001680,
26.8002,,Segment,2,2,Image 1,1,1,100000006,510000001689,
31.8905,,Segment,2,3,Image 1,1,1,100000006,510000001692,
26.1515,,Segment,2,2,Image 1,2,1,100000006,510000001734,
32.2628,,Segment,2,3,Image 1,2,1,100000006,510000001744,
11.1006,,Segment,2,3,Image 1,3,1,100000006,510000001753,
7.63937,,Segment,2,1,Image 1,1,1,100000006,510000001759,
20.3066,,Segment,2,3,Image 1,2,1,100000006,510000001769,
36.2666,,Segment,2,3,Image 1,2,1,100000006,510000001778,
38.391,,Segment,2,3,Image 1,3,1,100000006,510000001796,
16.4992,,Segment,2,2,Image 1,1,1,100000007,510000001816,
37.8092,,Segment,2,3,Image 1,1,1,100000007,510000001818,
36.5122,,Segment,2,1,Image 1,1,1,100000007,510000001834,
27.7883,,Segment,2,2,Image 1,2,1,100000007,510000001847,
16.3299,,Segment,2,3,Image 1,2,1,100000007,510000001850,
30.6217,,Segment,2,2,Image 1,1,1,100000007,510000001866,
42.0706,,Segment,2,1,Image 1,1,1,100000007,510000001885,
15.5624,,Segment,2,2,Image 1,1,1,100000007,510000001892,
19.649,,Segment,2,2,Image 1,2,1,100000007,510000001903,
42.3425,,Segment,2,2,Image 1,2,1,100000007,510000001915,
39.9141,,Segment,2,1,Image 1,1,1,100000007,510000001923,
32.5278,,Segment,2,1,Image 1,1,1,100000007,510000001931,
19.8037,,Segment,2,3,Image 1,3,1,100000007,510000001949,
37.6693,,Segment,2,3,Image 1,2,1,100000007,510000001953,
24.5802,,Segment,2,0,Image 1,1,1,100000008,510000001968,
8.65384,,Segment,2,2,Image 1,1,1,100000008,510000001975,
15.9844,,Segment,2,3,Image 1,1,1,100000008,510000001977,
18.2703,,Segment,2,4,Image 1,1,1,100000008,510000001980,
48.3347,,Segment,2,1,Image 1,2,1,100000008,510000001997,
23.8035,,Segment,2,4,Image 1,2,1,100000008,510000002005,
46.6324,,Segment,2,2,Image 1,2,1,100000008,510000002022,
32.9764,,Segment,2,1,Image 1,2,1,100000008,510000002027,
20.2292,,Segment,2,2,Image 1,2,1,100000008,510000002031,
25.943,,Segment,2,2,Image 1,2,1,100000008,510000002036,
23.4379,,Segment,2,3,Image 1,2,1,100000008,510000002040,
27.9348,,Segment,2,3,Image 1,3,1,100000008,510000002045,
40.6377,,Segment,2,3,Image 1,2,1,100000008,510000002056,
39.9716,,Segment,2,2,Image 1,2,1,100000008,510000002076,
16.2322,,Segment,2,2,Image 1,3,1,100000008,510000002093,
35.872,,Segment,2,1,Image 1,2,1,100000009,510000002102,
21.4541,,Segment,2,1,Image 1,2,1,100000009,510000002111,
34.9889,,Segment,2,1,Image 1,1,1,100000009,510000002126,
23.222,,Segment,2,3,Image 1,1,1,100000009,510000002129,
39.7462,,Segment,2,3,Image 1,2,1,100000009,510000002143,
37.399,,Segment,2,2,Image 1,2,1,100000009,510000002148,
10.3846,,Segment,2,3,Image 1,2,1,100000009,510000002151,
32.6558,,Segment,2,2,Image 1,2,1,100000009,510000002156,
7.52953,,Segment,2,3,Image 1,3,1,100000009,510000002165,
27.7994,,Segment,2,1,Image 1,2,1,100000009,510000002171,
31.1256,,Segment,2,2,Image 1,2,1,100000009,510000002176,
31.7499,,Segment,2,2,Image 1,3,1,100000009,510000002180,
4.49691,,Segment,2,1,Image 1,1,1,100000010,510000002194,
4.83609,,Segment,2,2,Image 1,1,1,100000010,510000002196,
23.1185,,Segment,2,3,Image 1,1,1,100000010,510000002202,
10.0995,,Segment,2,2,Image 1,2,1,100000010,510000002218,
39.7986,,Segment,2,3,Image 1,2,1,100000010,510000002226,
10.3387,,Segment,2,1,Image 1,2,1,100000010,510000002246,
28.3833,,Segment,2,2,Image 1,3,1,100000010,510000002248,
25.3352,,Segment,2,3,Image 1,3,1,100000010,510000002263,
15.5463,,Segment,2,2,Image 1,2,1,100000010,510000002278,
24.7637,,Segment,2,3,Image 1,2,1,100000010,510000002281,
14.096,,Segment,2,4,Image 1,2,1,100000010,510000002290,
41.8431,,Segment,2,3,Image 1,3,1,100000010,510000002302,
25.3631,,Segment,2,4,Image 1,3,1,100000010,510000002331,
20.1754,,Segment,2,1,Image 1,1,1,100000010,510000002342,
14.9108,,Segment,2,2,Image 1,1,1,100000010,510000002358,
16.0485,,Segment,2,3,Image 1,1,1,100000010,510000002363,
12.617,,Segment,2,3,Image 1,2,1,100000010,510000002365,
19.6179,,Segment,2,1,Image 1,2,1,100000010,510000002368,
17.6583,,Segment,2,3,Image 1,2,1,100000010,510000002382,
9.33742,,Segment,2,1,Image 1,2,1,100000010,510000002396,
19.1105,,Segment,2,2,Image 1,2,1,100000010,510000002399,
11.7898,,Segment,2,2,Image 1,3,1,100000010,510000002407,
9.37046,,Segment,2,3,Image 1,3,1,100000010,510000002412,
28.0162,,Segment,2,4,Image 1,3,1,100000010,510000002417,
25.7718,,Segment,2,4,Image 1,4,1,100000010,510000002428,
13.5647,,Segment,2,1,Image 1,2,1,100000010,510000002431,
9.14809,,Segment,2,2,Image 1,2,1,100000010,510000002441,
4.38748,,Segment,2,3,Image 1,2,1,100000010,510000002444,
26.0372,,Segment,2,4,Image 1,2,1,100000010,510000002447,
6.97615,,Segment,2,4,Image 1,3,1,100000010,510000002454,
9.03811,,Segment,2,5,Image 1,3,1,100000010,510000002456,
54.6158,,Segment,2,5,Image 1,4,1,100000010,510000002459,
24.5402,,Segment,2,3,Image 1,3,1,100000010,510000002461,
19.1828,,Segment,2,2,Image 1,3,1,100000010,510000002466,
34.2554,,Segment,2,2,Image 1,2,1,100000010,510000002479,
40.7164,,Segment,2,3,Image 1,4,1,100000010,510000002488,
32.144,,Segment,2,2,Image 1,1,1,100000011,510000002505,
18.7042,,Segment,2,3,Image 1,1,1,100000011,510000002515,
47.5748,,Segment,2,2,Image 1,2,1,100000011,510000002528,
31.1807,,Segment,2,2,Image 1,3,1,100000011,510000002550,
36.6637,,Segment,2,4,Image 1,2,1,100000011,510000002565,
23.7693,,Segment,2,4,Image 1,3,1,100000011,510000002578,
50.6204,,Segment,2,3,Image 1,3,1,100000011,510000002584,
49.6151,,Segment,2,2,Image 1,3,1,100000011,510000002606,
37.6328,,Segment,2,1,Image 1,1,1,100000011,510000002630,
33.7721,,Segment,2,1,Image 1,2,1,100000011,510000002643,
11.6913,,Segment,2,3,Image 1,2,1,100000011,510000002661,
37.3678,,Segment,2,3,Image 1,3,1,100000011,510000002664,
43.275,,Segment,2,3,Image 1,2,1,100000011,510000002675,
13.5554,,Segment,2,2,Image 1,1,1,100000012,510000002702,
45.538,,Segment,2,3,Image 1,1,1,100000012,510000002709,
4.996,,Segment,2,4,Image 1,1,1,100000012,510000002731,
2.6573,,Segment,2,4,Image 1,2,1,100000012,510000002740,
35.1231,,Segment,2,2,Image 1,2,1,100000012,510000002746,
33.3526,,Segment,2,3,Image 1,2,1,100000012,510000002752,
28.2344,,Segment,2,4,Image 1,2,1,100000012,510000002760,
31.7587,,Segment,2,5,Image 1,2,1,100000012,510000002776,
32.664,,Segment,2,5,Image 1,3,1,100000012,510000002784,
42.3078,,Segment,2,4,Image 1,3,1,100000012,510000002791,
47.1485,,Segment,2,1,Image 1,1,1,100000012,510000002813,
65.6384,,Segment,2,2,Image 1,1,1,100000012,510000002820,
39.9179,,Segment,2,2,Image 1,2,1,100000012,510000002832,
45.5853,,Segment,2,3,Image 1,2,1,100000012,510000002836,
41.7692,,Segment,2,2,Image 1,1,1,100000012,510000002867,
