
Segment Volume
 ==================== 
Segment Volume,Unit,Category,Depth,Level,Time,FilamentID,ID,
11202.3,µm^3,Segment,3,1,1,100000005,510000001470,
1057.88,µm^3,Segment,2,2,1,100000005,510000001515,
5795.66,µm^3,Segment,3,2,1,100000005,510000001517,
4109.5,µm^3,Segment,3,3,1,100000005,510000001545,
5741.26,µm^3,Segment,3,2,1,100000005,510000001563,
3237.63,µm^3,Segment,2,2,1,100000005,510000001589,
2689.52,µm^3,Segment,3,2,1,100000005,510000001599,
4039.64,µm^3,Segment,3,3,1,100000005,510000001611,
5939.23,µm^3,Segment,2,1,1,100000006,510000001633,
12804.8,µm^3,Segment,2,2,1,100000006,510000001648,
1920.21,µm^3,Segment,2,2,1,100000006,510000001680,
928.358,µm^3,Segment,2,1,1,100000006,510000001689,
6876.25,µm^3,Segment,3,1,1,100000006,510000001692,
1005.74,µm^3,Segment,2,2,1,100000006,510000001734,
490.535,µm^3,Segment,3,2,1,100000006,510000001744,
465.755,µm^3,Segment,3,3,1,100000006,510000001753,
2219.89,µm^3,Segment,1,1,1,100000006,510000001759,
810.791,µm^3,Segment,3,2,1,100000006,510000001769,
1168.19,µm^3,Segment,3,2,1,100000006,510000001778,
1158.54,µm^3,Segment,3,3,1,100000006,510000001796,
348.535,µm^3,Segment,2,1,1,100000007,510000001816,
1640.47,µm^3,Segment,3,1,1,100000007,510000001818,
2332.5,µm^3,Segment,1,1,1,100000007,510000001834,
450.571,µm^3,Segment,2,2,1,100000007,510000001847,
990.295,µm^3,Segment,3,2,1,100000007,510000001850,
1549.21,µm^3,Segment,2,1,1,100000007,510000001866,
1621.67,µm^3,Segment,1,1,1,100000007,510000001885,
579.629,µm^3,Segment,2,1,1,100000007,510000001892,
812.379,µm^3,Segment,2,2,1,100000007,510000001903,
679.315,µm^3,Segment,2,2,1,100000007,510000001915,
1689.14,µm^3,Segment,1,1,1,100000007,510000001923,
2209.24,µm^3,Segment,1,1,1,100000007,510000001931,
344.865,µm^3,Segment,3,3,1,100000007,510000001949,
1025.55,µm^3,Segment,3,2,1,100000007,510000001953,
8933.07,µm^3,Segment,0,1,1,100000008,510000001968,
336.684,µm^3,Segment,2,1,1,100000008,510000001975,
452.756,µm^3,Segment,3,1,1,100000008,510000001977,
2832.79,µm^3,Segment,4,1,1,100000008,510000001980,
3120.73,µm^3,Segment,1,2,1,100000008,510000001997,
2356.28,µm^3,Segment,4,2,1,100000008,510000002005,
2020.62,µm^3,Segment,2,2,1,100000008,510000002022,
2560.16,µm^3,Segment,1,2,1,100000008,510000002027,
1173.08,µm^3,Segment,2,2,1,100000008,510000002031,
1939,µm^3,Segment,2,2,1,100000008,510000002036,
763,µm^3,Segment,3,2,1,100000008,510000002040,
2225.8,µm^3,Segment,3,3,1,100000008,510000002045,
3134.92,µm^3,Segment,3,2,1,100000008,510000002056,
5778.15,µm^3,Segment,2,2,1,100000008,510000002076,
2300.24,µm^3,Segment,2,3,1,100000008,510000002093,
2931.32,µm^3,Segment,1,2,1,100000009,510000002102,
1713.12,µm^3,Segment,1,2,1,100000009,510000002111,
1327.39,µm^3,Segment,1,1,1,100000009,510000002126,
992.232,µm^3,Segment,3,1,1,100000009,510000002129,
1049.57,µm^3,Segment,3,2,1,100000009,510000002143,
904.176,µm^3,Segment,2,2,1,100000009,510000002148,
482.299,µm^3,Segment,3,2,1,100000009,510000002151,
1068.8,µm^3,Segment,2,2,1,100000009,510000002156,
543.707,µm^3,Segment,3,3,1,100000009,510000002165,
2032.02,µm^3,Segment,1,2,1,100000009,510000002171,
611.698,µm^3,Segment,2,2,1,100000009,510000002176,
1579.73,µm^3,Segment,2,3,1,100000009,510000002180,
690.16,µm^3,Segment,1,1,1,100000010,510000002194,
1543.53,µm^3,Segment,2,1,1,100000010,510000002196,
