
Segment Intensity Min Ch=2 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,2,1,Image 1,1,1,100000005,510000001434,
0,,Segment,2,1,Image 1,1,1,100000005,510000001466,
0,,Segment,2,2,Image 1,1,1,100000005,510000001468,
0,,Segment,2,3,Image 1,1,1,100000005,510000001470,
0,,Segment,2,2,Image 1,2,1,100000005,510000001515,
0,,Segment,2,3,Image 1,2,1,100000005,510000001517,
0,,Segment,2,3,Image 1,3,1,100000005,510000001545,
0,,Segment,2,3,Image 1,2,1,100000005,510000001563,
0,,Segment,2,2,Image 1,2,1,100000005,510000001589,
0,,Segment,2,3,Image 1,2,1,100000005,510000001599,
0,,Segment,2,3,Image 1,3,1,100000005,510000001611,
0,,Segment,2,2,Image 1,1,1,100000006,510000001633,
0,,Segment,2,2,Image 1,2,1,100000006,510000001648,
0,,Segment,2,2,Image 1,2,1,100000006,510000001680,
68,,Segment,2,2,Image 1,1,1,100000006,510000001689,
0,,Segment,2,3,Image 1,1,1,100000006,510000001692,
68,,Segment,2,2,Image 1,2,1,100000006,510000001734,
0,,Segment,2,3,Image 1,2,1,100000006,510000001744,
51,,Segment,2,3,Image 1,3,1,100000006,510000001753,
0,,Segment,2,1,Image 1,1,1,100000006,510000001759,
69,,Segment,2,3,Image 1,2,1,100000006,510000001769,
7,,Segment,2,3,Image 1,2,1,100000006,510000001778,
5,,Segment,2,3,Image 1,3,1,100000006,510000001796,
49,,Segment,2,2,Image 1,1,1,100000007,510000001816,
0,,Segment,2,3,Image 1,1,1,100000007,510000001818,
0,,Segment,2,1,Image 1,1,1,100000007,510000001834,
34,,Segment,2,2,Image 1,2,1,100000007,510000001847,
69,,Segment,2,3,Image 1,2,1,100000007,510000001850,
0,,Segment,2,2,Image 1,1,1,100000007,510000001866,
0,,Segment,2,1,Image 1,1,1,100000007,510000001885,
87,,Segment,2,2,Image 1,1,1,100000007,510000001892,
