
Segment Center Intensity Min Ch=3 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
97,,Segment,3,1,Image 1,2,1,100000004,510000001218,
135,,Segment,3,1,Image 1,1,1,100000004,510000001242,
115,,Segment,3,2,Image 1,1,1,100000004,510000001244,
61,,Segment,3,2,Image 1,3,1,100000004,510000001259,
67,,Segment,3,2,Image 1,3,1,100000004,510000001270,
144,,Segment,3,3,Image 1,3,1,100000004,510000001272,
85,,Segment,3,4,Image 1,3,1,100000004,510000001275,
141,,Segment,3,4,Image 1,4,1,100000004,510000001293,
110,,Segment,3,2,Image 1,2,1,100000004,510000001302,
113,,Segment,3,3,Image 1,4,1,100000004,510000001319,
21,,Segment,3,1,Image 1,1,1,100000005,510000001337,
21,,Segment,3,1,Image 1,1,1,100000005,510000001375,
84,,Segment,3,2,Image 1,1,1,100000005,510000001403,
1,,Segment,3,1,Image 1,1,1,100000005,510000001419,
21,,Segment,3,1,Image 1,1,1,100000005,510000001434,
21,,Segment,3,1,Image 1,1,1,100000005,510000001466,
99,,Segment,3,2,Image 1,1,1,100000005,510000001468,
94,,Segment,3,3,Image 1,1,1,100000005,510000001470,
99,,Segment,3,2,Image 1,2,1,100000005,510000001515,
19,,Segment,3,3,Image 1,2,1,100000005,510000001517,
118,,Segment,3,3,Image 1,3,1,100000005,510000001545,
76,,Segment,3,3,Image 1,2,1,100000005,510000001563,
46,,Segment,3,2,Image 1,2,1,100000005,510000001589,
66,,Segment,3,3,Image 1,2,1,100000005,510000001599,
90,,Segment,3,3,Image 1,3,1,100000005,510000001611,
106,,Segment,3,2,Image 1,1,1,100000006,510000001633,
89,,Segment,3,2,Image 1,2,1,100000006,510000001648,
106,,Segment,3,2,Image 1,2,1,100000006,510000001680,
89,,Segment,3,2,Image 1,1,1,100000006,510000001689,
76,,Segment,3,3,Image 1,1,1,100000006,510000001692,
89,,Segment,3,2,Image 1,2,1,100000006,510000001734,
84,,Segment,3,3,Image 1,2,1,100000006,510000001744,
145,,Segment,3,3,Image 1,3,1,100000006,510000001753,
185,,Segment,3,1,Image 1,1,1,100000006,510000001759,
140,,Segment,3,3,Image 1,2,1,100000006,510000001769,
66,,Segment,3,3,Image 1,2,1,100000006,510000001778,
75,,Segment,3,3,Image 1,3,1,100000006,510000001796,
108,,Segment,3,2,Image 1,1,1,100000007,510000001816,
57,,Segment,3,3,Image 1,1,1,100000007,510000001818,
41,,Segment,3,1,Image 1,1,1,100000007,510000001834,
94,,Segment,3,2,Image 1,2,1,100000007,510000001847,
94,,Segment,3,3,Image 1,2,1,100000007,510000001850,
92,,Segment,3,2,Image 1,1,1,100000007,510000001866,
41,,Segment,3,1,Image 1,1,1,100000007,510000001885,
144,,Segment,3,2,Image 1,1,1,100000007,510000001892,
132,,Segment,3,2,Image 1,2,1,100000007,510000001903,
49,,Segment,3,2,Image 1,2,1,100000007,510000001915,
41,,Segment,3,1,Image 1,1,1,100000007,510000001923,
41,,Segment,3,1,Image 1,1,1,100000007,510000001931,
94,,Segment,3,3,Image 1,3,1,100000007,510000001949,
73,,Segment,3,3,Image 1,2,1,100000007,510000001953,
136,,Segment,3,0,Image 1,1,1,100000008,510000001968,
75,,Segment,3,2,Image 1,1,1,100000008,510000001975,
96,,Segment,3,3,Image 1,1,1,100000008,510000001977,
120,,Segment,3,4,Image 1,1,1,100000008,510000001980,
49,,Segment,3,1,Image 1,2,1,100000008,510000001997,
120,,Segment,3,4,Image 1,2,1,100000008,510000002005,
75,,Segment,3,2,Image 1,2,1,100000008,510000002022,
49,,Segment,3,1,Image 1,2,1,100000008,510000002027,
123,,Segment,3,2,Image 1,2,1,100000008,510000002031,
