
Segment No. Spines
 ==================== 
Segment No. Spines,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,,Segment,2,2,1,100000007,510000001915,
0,,Segment,1,1,1,100000007,510000001923,
0,,Segment,1,1,1,100000007,510000001931,
0,,Segment,3,3,1,100000007,510000001949,
0,,Segment,3,2,1,100000007,510000001953,
0,,Segment,0,1,1,100000008,510000001968,
0,,Segment,2,1,1,100000008,510000001975,
0,,Segment,3,1,1,100000008,510000001977,
0,,Segment,4,1,1,100000008,510000001980,
0,,Segment,1,2,1,100000008,510000001997,
0,,Segment,4,2,1,100000008,510000002005,
0,,Segment,2,2,1,100000008,510000002022,
0,,Segment,1,2,1,100000008,510000002027,
0,,Segment,2,2,1,100000008,510000002031,
0,,Segment,2,2,1,100000008,510000002036,
0,,Segment,3,2,1,100000008,510000002040,
0,,Segment,3,3,1,100000008,510000002045,
0,,Segment,3,2,1,100000008,510000002056,
0,,Segment,2,2,1,100000008,510000002076,
0,,Segment,2,3,1,100000008,510000002093,
0,,Segment,1,2,1,100000009,510000002102,
0,,Segment,1,2,1,100000009,510000002111,
0,,Segment,1,1,1,100000009,510000002126,
0,,Segment,3,1,1,100000009,510000002129,
0,,Segment,3,2,1,100000009,510000002143,
0,,Segment,2,2,1,100000009,510000002148,
0,,Segment,3,2,1,100000009,510000002151,
0,,Segment,2,2,1,100000009,510000002156,
0,,Segment,3,3,1,100000009,510000002165,
0,,Segment,1,2,1,100000009,510000002171,
0,,Segment,2,2,1,100000009,510000002176,
0,,Segment,2,3,1,100000009,510000002180,
0,,Segment,1,1,1,100000010,510000002194,
0,,Segment,2,1,1,100000010,510000002196,
0,,Segment,3,1,1,100000010,510000002202,
0,,Segment,2,2,1,100000010,510000002218,
0,,Segment,3,2,1,100000010,510000002226,
0,,Segment,1,2,1,100000010,510000002246,
0,,Segment,2,3,1,100000010,510000002248,
0,,Segment,3,3,1,100000010,510000002263,
0,,Segment,2,2,1,100000010,510000002278,
