
Segment Length
 ==================== 
Segment Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
62.4515,µm,Segment,3,2,1,100000005,510000001599,
95.8294,µm,Segment,3,3,1,100000005,510000001611,
72.5426,µm,Segment,2,1,1,100000006,510000001633,
167.002,µm,Segment,2,2,1,100000006,510000001648,
45.3033,µm,Segment,2,2,1,100000006,510000001680,
18.5193,µm,Segment,2,1,1,100000006,510000001689,
193.016,µm,Segment,3,1,1,100000006,510000001692,
55.6626,µm,Segment,2,2,1,100000006,510000001734,
41.2159,µm,Segment,3,2,1,100000006,510000001744,
40.6294,µm,Segment,3,3,1,100000006,510000001753,
61.5464,µm,Segment,1,1,1,100000006,510000001759,
47.9422,µm,Segment,3,2,1,100000006,510000001769,
76.9439,µm,Segment,3,2,1,100000006,510000001778,
92.7984,µm,Segment,3,3,1,100000006,510000001796,
10.3725,µm,Segment,2,1,1,100000007,510000001816,
68.3981,µm,Segment,3,1,1,100000007,510000001818,
73.4205,µm,Segment,1,1,1,100000007,510000001834,
21.6728,µm,Segment,2,2,1,100000007,510000001847,
80.1527,µm,Segment,3,2,1,100000007,510000001850,
95.2909,µm,Segment,2,1,1,100000007,510000001866,
46.3476,µm,Segment,1,1,1,100000007,510000001885,
43.6337,µm,Segment,2,1,1,100000007,510000001892,
68.9001,µm,Segment,2,2,1,100000007,510000001903,
47.5,µm,Segment,2,2,1,100000007,510000001915,
52.5946,µm,Segment,1,1,1,100000007,510000001923,
95.1317,µm,Segment,1,1,1,100000007,510000001931,
28.783,µm,Segment,3,3,1,100000007,510000001949,
77.3858,µm,Segment,3,2,1,100000007,510000001953,
59.3141,µm,Segment,0,1,1,100000008,510000001968,
5.10541,µm,Segment,2,1,1,100000008,510000001975,
7.66372,µm,Segment,3,1,1,100000008,510000001977,
71.4916,µm,Segment,4,1,1,100000008,510000001980,
81.7994,µm,Segment,1,2,1,100000008,510000001997,
69.2692,µm,Segment,4,2,1,100000008,510000002005,
52.587,µm,Segment,2,2,1,100000008,510000002022,
57.5867,µm,Segment,1,2,1,100000008,510000002027,
39.0731,µm,Segment,2,2,1,100000008,510000002031,
46.9007,µm,Segment,2,2,1,100000008,510000002036,
25.7613,µm,Segment,3,2,1,100000008,510000002040,
76.872,µm,Segment,3,3,1,100000008,510000002045,
90.941,µm,Segment,3,2,1,100000008,510000002056,
170.458,µm,Segment,2,2,1,100000008,510000002076,
78.5596,µm,Segment,2,3,1,100000008,510000002093,
74.6004,µm,Segment,1,2,1,100000009,510000002102,
68.5936,µm,Segment,1,2,1,100000009,510000002111,
32.6472,µm,Segment,1,1,1,100000009,510000002126,
54.2859,µm,Segment,3,1,1,100000009,510000002129,
60.7091,µm,Segment,3,2,1,100000009,510000002143,
48.7906,µm,Segment,2,2,1,100000009,510000002148,
29.5362,µm,Segment,3,2,1,100000009,510000002151,
60.7504,µm,Segment,2,2,1,100000009,510000002156,
33.4306,µm,Segment,3,3,1,100000009,510000002165,
66.0932,µm,Segment,1,2,1,100000009,510000002171,
35.4048,µm,Segment,2,2,1,100000009,510000002176,
95.5857,µm,Segment,2,3,1,100000009,510000002180,
7.91816,µm,Segment,1,1,1,100000010,510000002194,
22.5148,µm,Segment,2,1,1,100000010,510000002196,
76.734,µm,Segment,3,1,1,100000010,510000002202,
50.3531,µm,Segment,2,2,1,100000010,510000002218,
136.295,µm,Segment,3,2,1,100000010,510000002226,
28.5088,µm,Segment,1,2,1,100000010,510000002246,
118.2,µm,Segment,2,3,1,100000010,510000002248,
121.844,µm,Segment,3,3,1,100000010,510000002263,
22.563,µm,Segment,2,2,1,100000010,510000002278,
56.4769,µm,Segment,3,2,1,100000010,510000002281,
49.2032,µm,Segment,4,2,1,100000010,510000002290,
193.414,µm,Segment,3,3,1,100000010,510000002302,
100.69,µm,Segment,4,3,1,100000010,510000002331,
58.6068,µm,Segment,1,1,1,100000010,510000002342,
39.9353,µm,Segment,2,1,1,100000010,510000002358,
13.7968,µm,Segment,3,1,1,100000010,510000002363,
25.7578,µm,Segment,3,2,1,100000010,510000002365,
130.976,µm,Segment,1,2,1,100000010,510000002368,
75.2859,µm,Segment,3,2,1,100000010,510000002382,
36.3221,µm,Segment,1,2,1,100000010,510000002396,
60.6505,µm,Segment,2,2,1,100000010,510000002399,
24.0839,µm,Segment,2,3,1,100000010,510000002407,
17.5268,µm,Segment,3,3,1,100000010,510000002412,
60.8563,µm,Segment,4,3,1,100000010,510000002417,
41.9676,µm,Segment,4,4,1,100000010,510000002428,
65.9653,µm,Segment,1,2,1,100000010,510000002431,
19.4987,µm,Segment,2,2,1,100000010,510000002441,
11.4257,µm,Segment,3,2,1,100000010,510000002444,
21.6744,µm,Segment,4,2,1,100000010,510000002447,
42.8907,µm,Segment,4,3,1,100000010,510000002454,
17.2022,µm,Segment,5,3,1,100000010,510000002456,
16.5825,µm,Segment,5,4,1,100000010,510000002459,
40.9677,µm,Segment,3,3,1,100000010,510000002461,
126.252,µm,Segment,2,3,1,100000010,510000002466,
84.3734,µm,Segment,2,2,1,100000010,510000002479,
79.2894,µm,Segment,3,4,1,100000010,510000002488,
51.9399,µm,Segment,2,1,1,100000011,510000002505,
64.4866,µm,Segment,3,1,1,100000011,510000002515,
114.643,µm,Segment,2,2,1,100000011,510000002528,
70.8087,µm,Segment,2,3,1,100000011,510000002550,
59.8188,µm,Segment,4,2,1,100000011,510000002565,
36.0103,µm,Segment,4,3,1,100000011,510000002578,
58.5991,µm,Segment,3,3,1,100000011,510000002584,
76.2063,µm,Segment,2,3,1,100000011,510000002606,
72.2586,µm,Segment,1,1,1,100000011,510000002630,
83.5956,µm,Segment,1,2,1,100000011,510000002643,
17.6061,µm,Segment,3,2,1,100000011,510000002661,
58.9814,µm,Segment,3,3,1,100000011,510000002664,
136.058,µm,Segment,3,2,1,100000011,510000002675,
38.444,µm,Segment,2,1,1,100000012,510000002702,
95.4021,µm,Segment,3,1,1,100000012,510000002709,
25.5078,µm,Segment,4,1,1,100000012,510000002731,
30.5597,µm,Segment,4,2,1,100000012,510000002740,
30.5738,µm,Segment,2,2,1,100000012,510000002746,
40.5603,µm,Segment,3,2,1,100000012,510000002752,
81.912,µm,Segment,4,2,1,100000012,510000002760,
30.0053,µm,Segment,5,2,1,100000012,510000002776,
31.8267,µm,Segment,5,3,1,100000012,510000002784,
104.209,µm,Segment,4,3,1,100000012,510000002791,
44.6714,µm,Segment,1,1,1,100000012,510000002813,
48.2653,µm,Segment,2,1,1,100000012,510000002820,
26.3972,µm,Segment,2,2,1,100000012,510000002832,
144.102,µm,Segment,3,2,1,100000012,510000002836,
9.63701,µm,Segment,2,1,1,100000012,510000002867,
120.638,µm,Segment,3,1,1,100000012,510000002869,
113.954,µm,Segment,3,2,1,100000012,510000002897,
51.5352,µm,Segment,2,2,1,100000012,510000002921,
87.4454,µm,Segment,3,2,1,100000012,510000002930,
91.3399,µm,Segment,3,3,1,100000012,510000002947,
91.6606,µm,Segment,2,2,1,100000012,510000002966,
23.1654,µm,Segment,3,3,1,100000012,510000002982,
74.1017,µm,Segment,4,3,1,100000012,510000002984,
63.994,µm,Segment,4,4,1,100000012,510000002999,
33.7147,µm,Segment,3,2,1,100000012,510000003014,
94.0564,µm,Segment,3,3,1,100000012,510000003020,
87.9487,µm,Segment,3,1,1,100000013,510000003039,
19.4826,µm,Segment,3,2,1,100000013,510000003056,
47.0656,µm,Segment,4,2,1,100000013,510000003061,
36.3567,µm,Segment,4,3,1,100000013,510000003074,
