
Segment Branch Depth
 ==================== 
Segment Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
3,,Segment,3,2,1,100000007,510000001583,
2,,Segment,2,2,1,100000007,510000001620,
3,,Segment,3,2,1,100000007,510000001624,
4,,Segment,4,2,1,100000007,510000001626,
4,,Segment,4,3,1,100000007,510000001628,
3,,Segment,3,3,1,100000007,510000001630,
1,,Segment,1,1,1,100000007,510000001632,
2,,Segment,2,1,1,100000007,510000001634,
2,,Segment,2,1,1,100000007,510000001639,
2,,Segment,2,2,1,100000007,510000001655,
3,,Segment,3,2,1,100000007,510000001659,
3,,Segment,3,3,1,100000007,510000001680,
2,,Segment,2,2,1,100000007,510000001689,
5,,Segment,5,2,1,100000007,510000001704,
4,,Segment,4,2,1,100000007,510000001717,
2,,Segment,2,2,1,100000007,510000001731,
1,,Segment,1,1,1,100000008,510000001749,
1,,Segment,1,1,1,100000008,510000001766,
2,,Segment,2,1,1,100000008,510000001768,
4,,Segment,4,1,1,100000008,510000001772,
4,,Segment,4,2,1,100000008,510000001788,
2,,Segment,2,2,1,100000008,510000001800,
3,,Segment,3,2,1,100000008,510000001831,
3,,Segment,3,3,1,100000008,510000001850,
3,,Segment,3,2,1,100000008,510000001867,
4,,Segment,4,2,1,100000008,510000001875,
1,,Segment,1,1,1,100000008,510000001928,
1,,Segment,1,1,1,100000008,510000001966,
2,,Segment,2,1,1,100000008,510000001969,
3,,Segment,3,1,1,100000008,510000001975,
4,,Segment,4,1,1,100000008,510000001981,
1,,Segment,1,1,1,100000008,510000001996,
3,,Segment,3,2,1,100000008,510000002049,
4,,Segment,4,2,1,100000008,510000002070,
2,,Segment,2,2,1,100000008,510000002130,
1,,Segment,1,1,1,100000008,510000002155,
4,,Segment,4,3,1,100000008,510000002180,
5,,Segment,5,3,1,100000008,510000002187,
5,,Segment,5,4,1,100000008,510000002191,
2,,Segment,2,1,1,100000009,510000002212,
3,,Segment,3,1,1,100000009,510000002215,
4,,Segment,4,1,1,100000009,510000002235,
4,,Segment,4,2,1,100000009,510000002237,
2,,Segment,2,2,1,100000009,510000002248,
2,,Segment,2,1,1,100000009,510000002271,
2,,Segment,2,2,1,100000009,510000002296,
2,,Segment,2,2,1,100000009,510000002305,
3,,Segment,3,2,1,100000009,510000002310,
4,,Segment,4,2,1,100000009,510000002314,
4,,Segment,4,3,1,100000009,510000002320,
3,,Segment,3,3,1,100000009,510000002333,
2,,Segment,2,1,1,100000009,510000002352,
2,,Segment,2,2,1,100000009,510000002376,
3,,Segment,3,3,1,100000009,510000002388,
3,,Segment,3,2,1,100000009,510000002396,
4,,Segment,4,2,1,100000009,510000002398,
4,,Segment,4,3,1,100000009,510000002403,
3,,Segment,3,2,1,100000009,510000002417,
1,,Segment,1,1,1,100000010,510000002436,
2,,Segment,2,1,1,100000010,510000002463,
2,,Segment,2,2,1,100000010,510000002487,
2,,Segment,2,1,1,100000010,510000002501,
3,,Segment,3,1,1,100000010,510000002510,
3,,Segment,3,2,1,100000010,510000002538,
4,,Segment,4,2,1,100000010,510000002548,
4,,Segment,4,3,1,100000010,510000002565,
1,,Segment,1,1,1,100000010,510000002584,
2,,Segment,2,1,1,100000010,510000002588,
2,,Segment,2,2,1,100000010,510000002597,
3,,Segment,3,2,1,100000010,510000002602,
4,,Segment,4,3,1,100000010,510000002608,
1,,Segment,1,1,1,100000010,510000002612,
2,,Segment,2,1,1,100000010,510000002624,
2,,Segment,2,2,1,100000010,510000002635,
3,,Segment,3,3,1,100000010,510000002672,
4,,Segment,4,3,1,100000010,510000002680,
4,,Segment,4,4,1,100000010,510000002707,
2,,Segment,2,2,1,100000010,510000002726,
1,,Segment,1,1,1,100000010,510000002748,
3,,Segment,3,1,1,100000011,510000002766,
3,,Segment,3,2,1,100000011,510000002785,
4,,Segment,4,2,1,100000011,510000002792,
4,,Segment,4,3,1,100000011,510000002809,
2,,Segment,2,2,1,100000011,510000002827,
3,,Segment,3,1,1,100000011,510000002847,
3,,Segment,3,1,1,100000011,510000002860,
2,,Segment,2,2,1,100000011,510000002874,
1,,Segment,1,1,1,100000011,510000002880,
3,,Segment,3,3,1,100000011,510000002898,
3,,Segment,3,2,1,100000011,510000002902,
3,,Segment,3,2,1,100000011,510000002917,
3,,Segment,3,3,1,100000011,510000002938,
3,,Segment,3,2,1,100000011,510000002946,
1,,Segment,1,1,1,100000012,510000002958,
2,,Segment,2,1,1,100000012,510000002963,
3,,Segment,3,1,1,100000012,510000002974,
3,,Segment,3,2,1,100000012,510000003000,
2,,Segment,2,1,1,100000012,510000003014,
2,,Segment,2,2,1,100000012,510000003040,
1,,Segment,1,1,1,100000012,510000003065,
2,,Segment,2,1,1,100000012,510000003067,
2,,Segment,2,2,1,100000012,510000003086,
2,,Segment,2,2,1,100000012,510000003109,
2,,Segment,2,1,1,100000012,510000003121,
3,,Segment,3,1,1,100000012,510000003124,
4,,Segment,4,1,1,100000012,510000003130,
4,,Segment,4,2,1,100000012,510000003147,
5,,Segment,5,2,1,100000012,510000003157,
5,,Segment,5,3,1,100000012,510000003175,
5,,Segment,5,2,1,100000012,510000003190,
2,,Segment,2,2,1,100000012,510000003198,
2,,Segment,2,2,1,100000012,510000003232,
3,,Segment,3,2,1,100000012,510000003243,
4,,Segment,4,1,1,100000013,510000003271,
3,,Segment,3,2,1,100000013,510000003294,
4,,Segment,4,2,1,100000013,510000003296,
4,,Segment,4,2,1,100000013,510000003319,
3,,Segment,3,2,1,100000013,510000003334,
4,,Segment,4,2,1,100000013,510000003336,
4,,Segment,4,3,1,100000013,510000003352,
2,,Segment,2,1,1,100000013,510000003369,
3,,Segment,3,1,1,100000013,510000003372,
2,,Segment,2,2,1,100000013,510000003375,
2,,Segment,2,2,1,100000013,510000003389,
1,,Segment,1,1,1,100000013,510000003402,
2,,Segment,2,1,1,100000013,510000003405,
2,,Segment,2,2,1,100000013,510000003429,
3,,Segment,3,3,1,100000013,510000003442,
4,,Segment,4,3,1,100000013,510000003451,
3,,Segment,3,2,1,100000013,510000003473,
1,,Segment,1,1,1,100000014,510000003491,
4,,Segment,4,1,1,100000014,510000003501,
3,,Segment,3,2,1,100000014,510000003507,
1,,Segment,1,1,1,100000014,510000003515,
3,,Segment,3,2,1,100000014,510000003518,
1,,Segment,1,1,1,100000014,510000003527,
2,,Segment,2,2,1,100000014,510000003529,
2,,Segment,2,1,1,100000014,510000003552,
3,,Segment,3,1,1,100000014,510000003554,
3,,Segment,3,2,1,100000014,510000003570,
4,,Segment,4,2,1,100000014,510000003582,
2,,Segment,2,2,1,100000014,510000003592,
4,,Segment,4,1,1,100000014,510000003609,
4,,Segment,4,2,1,100000014,510000003635,
2,,Segment,2,2,1,100000014,510000003640,
3,,Segment,3,2,1,100000014,510000003647,
3,,Segment,3,3,1,100000014,510000003656,
0,,Segment,0,1,1,100000000,510000003676,
1,,Segment,1,1,1,100000000,510000003677,
1,,Segment,1,2,1,100000000,510000003678,
2,,Segment,2,2,1,100000000,510000003679,
1,,Segment,1,1,1,100000001,510000003680,
1,,Segment,1,1,1,100000001,510000003681,
2,,Segment,2,1,1,100000001,510000003682,
4,,Segment,4,2,1,100000001,510000003683,
4,,Segment,4,1,1,100000002,510000003684,
1,,Segment,1,1,1,100000003,510000003685,
1,,Segment,1,1,1,100000004,510000003686,
2,,Segment,2,1,1,100000004,510000003687,
2,,Segment,2,2,1,100000004,510000003688,
3,,Segment,3,3,1,100000004,510000003689,
0,,Segment,0,1,1,100000005,510000003690,
1,,Segment,1,2,1,100000005,510000003691,
2,,Segment,2,2,1,100000005,510000003692,
3,,Segment,3,2,1,100000005,510000003693,
6,,Segment,6,2,1,100000005,510000003694,
3,,Segment,3,2,1,100000006,510000003695,
1,,Segment,1,1,1,100000006,510000003696,
1,,Segment,1,1,1,100000006,510000003697,
2,,Segment,2,1,1,100000006,510000003698,
1,,Segment,1,1,1,100000007,510000003699,
1,,Segment,1,1,1,100000007,510000003700,
3,,Segment,3,1,1,100000008,510000003701,
1,,Segment,1,1,1,100000009,510000003702,
1,,Segment,1,1,1,100000009,510000003703,
1,,Segment,1,1,1,100000009,510000003704,
1,,Segment,1,1,1,100000010,510000003705,
4,,Segment,4,2,1,100000010,510000003706,
1,,Segment,1,1,1,100000011,510000003707,
2,,Segment,2,1,1,100000011,510000003708,
3,,Segment,3,2,1,100000011,510000003709,
1,,Segment,1,1,1,100000011,510000003710,
2,,Segment,2,1,1,100000011,510000003711,
1,,Segment,1,1,1,100000011,510000003712,
2,,Segment,2,1,1,100000011,510000003713,
2,,Segment,2,2,1,100000011,510000003714,
1,,Segment,1,1,1,100000012,510000003715,
1,,Segment,1,1,1,100000012,510000003716,
5,,Segment,5,1,1,100000012,510000003717,
1,,Segment,1,1,1,100000013,510000003718,
2,,Segment,2,1,1,100000013,510000003719,
3,,Segment,3,1,1,100000013,510000003720,
2,,Segment,2,2,1,100000013,510000003721,
1,,Segment,1,1,1,100000013,510000003722,
1,,Segment,1,1,1,100000014,510000003723,
2,,Segment,2,1,1,100000014,510000003724,
3,,Segment,3,1,1,100000014,510000003725,
2,,Segment,2,1,1,100000014,510000003726,
3,,Segment,3,1,1,100000014,510000003727,
