
Segment Intensity Min Ch=3 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
39,,Segment,3,2,Image 1,1,1,100000000,510000000003,
41,,Segment,3,2,Image 1,2,1,100000000,510000000023,
57,,Segment,3,3,Image 1,2,1,100000000,510000000028,
57,,Segment,3,3,Image 1,3,1,100000000,510000000050,
4,,Segment,3,1,Image 1,2,1,100000000,510000000064,
78,,Segment,3,2,Image 1,2,1,100000000,510000000068,
0,,Segment,3,1,Image 1,2,1,100000000,510000000073,
73,,Segment,3,2,Image 1,2,1,100000000,510000000075,
75,,Segment,3,2,Image 1,3,1,100000000,510000000083,
15,,Segment,3,2,Image 1,3,1,100000000,510000000086,
44,,Segment,3,3,Image 1,3,1,100000000,510000000093,
30,,Segment,3,4,Image 1,3,1,100000000,510000000096,
21,,Segment,3,4,Image 1,4,1,100000000,510000000103,
28,,Segment,3,3,Image 1,4,1,100000000,510000000110,
28,,Segment,3,3,Image 1,2,1,100000000,510000000117,
97,,Segment,3,4,Image 1,2,1,100000000,510000000124,
17,,Segment,3,4,Image 1,3,1,100000000,510000000134,
5,,Segment,3,3,Image 1,3,1,100000000,510000000137,
0,,Segment,3,2,Image 1,3,1,100000000,510000000149,
85,,Segment,3,3,Image 1,3,1,100000000,510000000151,
16,,Segment,3,3,Image 1,4,1,100000000,510000000163,
49,,Segment,3,3,Image 1,4,1,100000000,510000000184,
67,,Segment,3,2,Image 1,3,1,100000000,510000000209,
0,,Segment,3,2,Image 1,1,1,100000001,510000000226,
0,,Segment,3,3,Image 1,1,1,100000001,510000000230,
0,,Segment,3,2,Image 1,2,1,100000001,510000000252,
0,,Segment,3,1,Image 1,1,1,100000001,510000000264,
0,,Segment,3,3,Image 1,1,1,100000001,510000000274,
0,,Segment,3,3,Image 1,2,1,100000001,510000000282,
1,,Segment,3,4,Image 1,3,1,100000001,510000000314,
0,,Segment,3,2,Image 1,2,1,100000001,510000000318,
0,,Segment,3,3,Image 1,2,1,100000001,510000000326,
0,,Segment,3,4,Image 1,2,1,100000001,510000000350,
0,,Segment,3,4,Image 1,3,1,100000001,510000000359,
0,,Segment,3,1,Image 1,1,1,100000001,510000000384,
11,,Segment,3,2,Image 1,1,1,100000001,510000000397,
0,,Segment,3,3,Image 1,2,1,100000001,510000000402,
0,,Segment,3,1,Image 1,1,1,100000001,510000000417,
