
Segment Center Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
55.6927,,Segment,1,4,Image 1,2,1,100000005,510000001076,
44.0754,,Segment,1,5,Image 1,2,1,100000005,510000001082,
45.6146,,Segment,1,6,Image 1,3,1,100000005,510000001086,
77.2136,,Segment,1,7,Image 1,2,1,100000005,510000001093,
37.4625,,Segment,1,7,Image 1,3,1,100000005,510000001101,
22.0875,,Segment,1,4,Image 1,3,1,100000005,510000001110,
8.04832,,Segment,1,5,Image 1,3,1,100000005,510000001117,
89.8896,,Segment,1,5,Image 1,4,1,100000005,510000001124,
93.7853,,Segment,1,5,Image 1,3,1,100000005,510000001129,
92.2317,,Segment,1,2,Image 1,3,1,100000005,510000001133,
58.6584,,Segment,1,3,Image 1,4,1,100000005,510000001136,
32.2364,,Segment,1,3,Image 1,3,1,100000005,510000001156,
20.2602,,Segment,1,4,Image 1,3,1,100000005,510000001159,
22.7569,,Segment,1,4,Image 1,4,1,100000005,510000001175,
59.9864,,Segment,1,3,Image 1,2,1,100000005,510000001191,
60.8856,,Segment,1,4,Image 1,2,1,100000005,510000001204,
18.99,,Segment,1,4,Image 1,3,1,100000005,510000001221,
71.6257,,Segment,1,3,Image 1,4,1,100000005,510000001236,
39.6674,,Segment,1,1,Image 1,1,1,100000006,510000001259,
74.2241,,Segment,1,2,Image 1,1,1,100000006,510000001262,
57.1081,,Segment,1,3,Image 1,1,1,100000006,510000001267,
35.5597,,Segment,1,2,Image 1,2,1,100000006,510000001272,
73.1261,,Segment,1,3,Image 1,3,1,100000006,510000001278,
44.9058,,Segment,1,2,Image 1,1,1,100000006,510000001285,
53.506,,Segment,1,1,Image 1,1,1,100000006,510000001329,
49.6459,,Segment,1,2,Image 1,1,1,100000006,510000001331,
65.5717,,Segment,1,2,Image 1,2,1,100000006,510000001353,
54.6201,,Segment,1,2,Image 1,2,1,100000006,510000001379,
57.3999,,Segment,1,4,Image 1,2,1,100000006,510000001399,
70.1681,,Segment,1,3,Image 1,1,1,100000006,510000001408,
72.8209,,Segment,1,2,Image 1,2,1,100000006,510000001416,
50.3029,,Segment,1,3,Image 1,2,1,100000006,510000001418,
43.391,,Segment,1,3,Image 1,3,1,100000006,510000001430,
57.2413,,Segment,1,3,Image 1,2,1,100000006,510000001448,
51.5274,,Segment,1,3,Image 1,2,1,100000006,510000001465,
72.9171,,Segment,1,4,Image 1,3,1,100000006,510000001486,
78.5094,,Segment,1,2,Image 1,1,1,100000007,510000001536,
19.3261,,Segment,1,3,Image 1,1,1,100000007,510000001546,
28.3941,,Segment,1,4,Image 1,1,1,100000007,510000001549,
51.5064,,Segment,1,5,Image 1,1,1,100000007,510000001551,
41.684,,Segment,1,6,Image 1,1,1,100000007,510000001573,
52.1067,,Segment,1,6,Image 1,2,1,100000007,510000001575,
64.4672,,Segment,1,3,Image 1,2,1,100000007,510000001583,
64.1062,,Segment,1,2,Image 1,2,1,100000007,510000001620,
73.7759,,Segment,1,3,Image 1,2,1,100000007,510000001624,
61.6441,,Segment,1,4,Image 1,2,1,100000007,510000001626,
73.0342,,Segment,1,4,Image 1,3,1,100000007,510000001628,
48.6096,,Segment,1,3,Image 1,3,1,100000007,510000001630,
11.5758,,Segment,1,1,Image 1,1,1,100000007,510000001632,
68.6539,,Segment,1,2,Image 1,1,1,100000007,510000001634,
64.3652,,Segment,1,2,Image 1,1,1,100000007,510000001639,
76.4026,,Segment,1,2,Image 1,2,1,100000007,510000001655,
47.0408,,Segment,1,3,Image 1,2,1,100000007,510000001659,
40.5704,,Segment,1,3,Image 1,3,1,100000007,510000001680,
68.9156,,Segment,1,2,Image 1,2,1,100000007,510000001689,
28.139,,Segment,1,5,Image 1,2,1,100000007,510000001704,
54.1021,,Segment,1,4,Image 1,2,1,100000007,510000001717,
83.0778,,Segment,1,2,Image 1,2,1,100000007,510000001731,
83.3604,,Segment,1,1,Image 1,1,1,100000008,510000001749,
