
Segment Center Number of Voxel Ch=3 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
17,,Segment,3,3,Image 1,1,1,100000005,510000000999,
16,,Segment,3,2,Image 1,2,1,100000005,510000001015,
24,,Segment,3,3,Image 1,3,1,100000005,510000001032,
21,,Segment,3,3,Image 1,3,1,100000005,510000001055,
7,,Segment,3,4,Image 1,2,1,100000005,510000001076,
5,,Segment,3,5,Image 1,2,1,100000005,510000001082,
7,,Segment,3,6,Image 1,3,1,100000005,510000001086,
8,,Segment,3,7,Image 1,2,1,100000005,510000001093,
10,,Segment,3,7,Image 1,3,1,100000005,510000001101,
8,,Segment,3,4,Image 1,3,1,100000005,510000001110,
7,,Segment,3,5,Image 1,3,1,100000005,510000001117,
6,,Segment,3,5,Image 1,4,1,100000005,510000001124,
4,,Segment,3,5,Image 1,3,1,100000005,510000001129,
4,,Segment,3,2,Image 1,3,1,100000005,510000001133,
21,,Segment,3,3,Image 1,4,1,100000005,510000001136,
4,,Segment,3,3,Image 1,3,1,100000005,510000001156,
17,,Segment,3,4,Image 1,3,1,100000005,510000001159,
17,,Segment,3,4,Image 1,4,1,100000005,510000001175,
14,,Segment,3,3,Image 1,2,1,100000005,510000001191,
18,,Segment,3,4,Image 1,2,1,100000005,510000001204,
16,,Segment,3,4,Image 1,3,1,100000005,510000001221,
23,,Segment,3,3,Image 1,4,1,100000005,510000001236,
4,,Segment,3,1,Image 1,1,1,100000006,510000001259,
6,,Segment,3,2,Image 1,1,1,100000006,510000001262,
6,,Segment,3,3,Image 1,1,1,100000006,510000001267,
7,,Segment,3,2,Image 1,2,1,100000006,510000001272,
7,,Segment,3,3,Image 1,3,1,100000006,510000001278,
45,,Segment,3,2,Image 1,1,1,100000006,510000001285,
3,,Segment,3,1,Image 1,1,1,100000006,510000001329,
22,,Segment,3,2,Image 1,1,1,100000006,510000001331,
27,,Segment,3,2,Image 1,2,1,100000006,510000001353,
20,,Segment,3,2,Image 1,2,1,100000006,510000001379,
8,,Segment,3,4,Image 1,2,1,100000006,510000001399,
9,,Segment,3,3,Image 1,1,1,100000006,510000001408,
3,,Segment,3,2,Image 1,2,1,100000006,510000001416,
13,,Segment,3,3,Image 1,2,1,100000006,510000001418,
19,,Segment,3,3,Image 1,3,1,100000006,510000001430,
18,,Segment,3,3,Image 1,2,1,100000006,510000001448,
21,,Segment,3,3,Image 1,2,1,100000006,510000001465,
49,,Segment,3,4,Image 1,3,1,100000006,510000001486,
11,,Segment,3,2,Image 1,1,1,100000007,510000001536,
4,,Segment,3,3,Image 1,1,1,100000007,510000001546,
3,,Segment,3,4,Image 1,1,1,100000007,510000001549,
23,,Segment,3,5,Image 1,1,1,100000007,510000001551,
3,,Segment,3,6,Image 1,1,1,100000007,510000001573,
9,,Segment,3,6,Image 1,2,1,100000007,510000001575,
38,,Segment,3,3,Image 1,2,1,100000007,510000001583,
5,,Segment,3,2,Image 1,2,1,100000007,510000001620,
3,,Segment,3,3,Image 1,2,1,100000007,510000001624,
3,,Segment,3,4,Image 1,2,1,100000007,510000001626,
3,,Segment,3,4,Image 1,3,1,100000007,510000001628,
3,,Segment,3,3,Image 1,3,1,100000007,510000001630,
3,,Segment,3,1,Image 1,1,1,100000007,510000001632,
5,,Segment,3,2,Image 1,1,1,100000007,510000001634,
17,,Segment,3,2,Image 1,1,1,100000007,510000001639,
5,,Segment,3,2,Image 1,2,1,100000007,510000001655,
22,,Segment,3,3,Image 1,2,1,100000007,510000001659,
10,,Segment,3,3,Image 1,3,1,100000007,510000001680,
16,,Segment,3,2,Image 1,2,1,100000007,510000001689,
14,,Segment,3,5,Image 1,2,1,100000007,510000001704,
15,,Segment,3,4,Image 1,2,1,100000007,510000001717,
18,,Segment,3,2,Image 1,2,1,100000007,510000001731,
18,,Segment,3,1,Image 1,1,1,100000008,510000001749,
3,,Segment,3,1,Image 1,1,1,100000008,510000001766,
4,,Segment,3,2,Image 1,1,1,100000008,510000001768,
17,,Segment,3,4,Image 1,1,1,100000008,510000001772,
13,,Segment,3,4,Image 1,2,1,100000008,510000001788,
32,,Segment,3,2,Image 1,2,1,100000008,510000001800,
20,,Segment,3,3,Image 1,2,1,100000008,510000001831,
18,,Segment,3,3,Image 1,3,1,100000008,510000001850,
9,,Segment,3,3,Image 1,2,1,100000008,510000001867,
54,,Segment,3,4,Image 1,2,1,100000008,510000001875,
39,,Segment,3,1,Image 1,1,1,100000008,510000001928,
4,,Segment,3,1,Image 1,1,1,100000008,510000001966,
7,,Segment,3,2,Image 1,1,1,100000008,510000001969,
7,,Segment,3,3,Image 1,1,1,100000008,510000001975,
16,,Segment,3,4,Image 1,1,1,100000008,510000001981,
54,,Segment,3,1,Image 1,1,1,100000008,510000001996,
22,,Segment,3,3,Image 1,2,1,100000008,510000002049,
61,,Segment,3,4,Image 1,2,1,100000008,510000002070,
26,,Segment,3,2,Image 1,2,1,100000008,510000002130,
26,,Segment,3,1,Image 1,1,1,100000008,510000002155,
8,,Segment,3,4,Image 1,3,1,100000008,510000002180,
5,,Segment,3,5,Image 1,3,1,100000008,510000002187,
20,,Segment,3,5,Image 1,4,1,100000008,510000002191,
4,,Segment,3,2,Image 1,1,1,100000009,510000002212,
21,,Segment,3,3,Image 1,1,1,100000009,510000002215,
3,,Segment,3,4,Image 1,1,1,100000009,510000002235,
12,,Segment,3,4,Image 1,2,1,100000009,510000002237,
23,,Segment,3,2,Image 1,2,1,100000009,510000002248,
26,,Segment,3,2,Image 1,1,1,100000009,510000002271,
10,,Segment,3,2,Image 1,2,1,100000009,510000002296,
6,,Segment,3,2,Image 1,2,1,100000009,510000002305,
5,,Segment,3,3,Image 1,2,1,100000009,510000002310,
7,,Segment,3,4,Image 1,2,1,100000009,510000002314,
14,,Segment,3,4,Image 1,3,1,100000009,510000002320,
19,,Segment,3,3,Image 1,3,1,100000009,510000002333,
25,,Segment,3,2,Image 1,1,1,100000009,510000002352,
13,,Segment,3,2,Image 1,2,1,100000009,510000002376,
9,,Segment,3,3,Image 1,3,1,100000009,510000002388,
3,,Segment,3,3,Image 1,2,1,100000009,510000002396,
6,,Segment,3,4,Image 1,2,1,100000009,510000002398,
15,,Segment,3,4,Image 1,3,1,100000009,510000002403,
19,,Segment,3,3,Image 1,2,1,100000009,510000002417,
28,,Segment,3,1,Image 1,1,1,100000010,510000002436,
25,,Segment,3,2,Image 1,1,1,100000010,510000002463,
14,,Segment,3,2,Image 1,2,1,100000010,510000002487,
10,,Segment,3,2,Image 1,1,1,100000010,510000002501,
29,,Segment,3,3,Image 1,1,1,100000010,510000002510,
11,,Segment,3,3,Image 1,2,1,100000010,510000002538,
18,,Segment,3,4,Image 1,2,1,100000010,510000002548,
20,,Segment,3,4,Image 1,3,1,100000010,510000002565,
5,,Segment,3,1,Image 1,1,1,100000010,510000002584,
10,,Segment,3,2,Image 1,1,1,100000010,510000002588,
6,,Segment,3,2,Image 1,2,1,100000010,510000002597,
6,,Segment,3,3,Image 1,2,1,100000010,510000002602,
5,,Segment,3,4,Image 1,3,1,100000010,510000002608,
13,,Segment,3,1,Image 1,1,1,100000010,510000002612,
12,,Segment,3,2,Image 1,1,1,100000010,510000002624,
38,,Segment,3,2,Image 1,2,1,100000010,510000002635,
9,,Segment,3,3,Image 1,3,1,100000010,510000002672,
28,,Segment,3,4,Image 1,3,1,100000010,510000002680,
20,,Segment,3,4,Image 1,4,1,100000010,510000002707,
23,,Segment,3,2,Image 1,2,1,100000010,510000002726,
16,,Segment,3,1,Image 1,1,1,100000010,510000002748,
20,,Segment,3,3,Image 1,1,1,100000011,510000002766,
8,,Segment,3,3,Image 1,2,1,100000011,510000002785,
18,,Segment,3,4,Image 1,2,1,100000011,510000002792,
18,,Segment,3,4,Image 1,3,1,100000011,510000002809,
20,,Segment,3,2,Image 1,2,1,100000011,510000002827,
12,,Segment,3,3,Image 1,1,1,100000011,510000002847,
15,,Segment,3,3,Image 1,1,1,100000011,510000002860,
6,,Segment,3,2,Image 1,2,1,100000011,510000002874,
19,,Segment,3,1,Image 1,1,1,100000011,510000002880,
4,,Segment,3,3,Image 1,3,1,100000011,510000002898,
16,,Segment,3,3,Image 1,2,1,100000011,510000002902,
22,,Segment,3,3,Image 1,2,1,100000011,510000002917,
9,,Segment,3,3,Image 1,3,1,100000011,510000002938,
12,,Segment,3,3,Image 1,2,1,100000011,510000002946,
6,,Segment,3,1,Image 1,1,1,100000012,510000002958,
12,,Segment,3,2,Image 1,1,1,100000012,510000002963,
27,,Segment,3,3,Image 1,1,1,100000012,510000002974,
14,,Segment,3,3,Image 1,2,1,100000012,510000003000,
27,,Segment,3,2,Image 1,1,1,100000012,510000003014,
26,,Segment,3,2,Image 1,2,1,100000012,510000003040,
3,,Segment,3,1,Image 1,1,1,100000012,510000003065,
20,,Segment,3,2,Image 1,1,1,100000012,510000003067,
23,,Segment,3,2,Image 1,2,1,100000012,510000003086,
13,,Segment,3,2,Image 1,2,1,100000012,510000003109,
4,,Segment,3,2,Image 1,1,1,100000012,510000003121,
7,,Segment,3,3,Image 1,1,1,100000012,510000003124,
17,,Segment,3,4,Image 1,1,1,100000012,510000003130,
11,,Segment,3,4,Image 1,2,1,100000012,510000003147,
19,,Segment,3,5,Image 1,2,1,100000012,510000003157,
16,,Segment,3,5,Image 1,3,1,100000012,510000003175,
9,,Segment,3,5,Image 1,2,1,100000012,510000003190,
34,,Segment,3,2,Image 1,2,1,100000012,510000003198,
12,,Segment,3,2,Image 1,2,1,100000012,510000003232,
25,,Segment,3,3,Image 1,2,1,100000012,510000003243,
23,,Segment,3,4,Image 1,1,1,100000013,510000003271,
3,,Segment,3,3,Image 1,2,1,100000013,510000003294,
24,,Segment,3,4,Image 1,2,1,100000013,510000003296,
15,,Segment,3,4,Image 1,2,1,100000013,510000003319,
3,,Segment,3,3,Image 1,2,1,100000013,510000003334,
17,,Segment,3,4,Image 1,2,1,100000013,510000003336,
17,,Segment,3,4,Image 1,3,1,100000013,510000003352,
4,,Segment,3,2,Image 1,1,1,100000013,510000003369,
4,,Segment,3,3,Image 1,1,1,100000013,510000003372,
15,,Segment,3,2,Image 1,2,1,100000013,510000003375,
14,,Segment,3,2,Image 1,2,1,100000013,510000003389,
3,,Segment,3,1,Image 1,1,1,100000013,510000003402,
25,,Segment,3,2,Image 1,1,1,100000013,510000003405,
14,,Segment,3,2,Image 1,2,1,100000013,510000003429,
10,,Segment,3,3,Image 1,3,1,100000013,510000003442,
23,,Segment,3,4,Image 1,3,1,100000013,510000003451,
18,,Segment,3,3,Image 1,2,1,100000013,510000003473,
8,,Segment,3,1,Image 1,1,1,100000014,510000003491,
7,,Segment,3,4,Image 1,1,1,100000014,510000003501,
9,,Segment,3,3,Image 1,2,1,100000014,510000003507,
3,,Segment,3,1,Image 1,1,1,100000014,510000003515,
10,,Segment,3,3,Image 1,2,1,100000014,510000003518,
