
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
107580,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000002,800000081,
107579,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000002,800000082,
107550,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000002,800000083,
108381,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000003,800000084,
108593,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000003,800000085,
108305,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000003,800000086,
108337,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000003,800000087,
108207,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000003,800000088,
108242,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000003,800000089,
108269,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000003,800000090,
108371,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000003,800000091,
108461,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000003,800000092,
108587,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000003,800000093,
109054,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000004,800000094,
109066,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000004,800000095,
109163,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000004,800000096,
109011,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000004,800000097,
109039,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000004,800000098,
109050,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000004,800000099,
109044,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000004,800000100,
108938,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000004,800000101,
109063,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000004,800000102,
109033,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000004,800000103,
109016,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000004,800000104,
109020,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000004,800000105,
109020,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000004,800000106,
108961,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000004,800000107,
108969,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000004,800000108,
108970,µm,Point,Pt Distance from Origin,5,1,Segment Terminal,100000004,800000109,
109022,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000004,800000110,
108995,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000004,800000111,
108858,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000005,800000112,
108956,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000005,800000113,
108882,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000005,800000114,
108868,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000005,800000115,
