
Segment Length
 ==================== 
Segment Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
52.6203,µm,Segment,3,1,1,100000006,510000001267,
66.0379,µm,Segment,2,2,1,100000006,510000001272,
48.7034,µm,Segment,3,3,1,100000006,510000001278,
395.35,µm,Segment,2,1,1,100000006,510000001285,
28.4001,µm,Segment,1,1,1,100000006,510000001329,
198.232,µm,Segment,2,1,1,100000006,510000001331,
254.138,µm,Segment,2,2,1,100000006,510000001353,
129.643,µm,Segment,2,2,1,100000006,510000001379,
66.9915,µm,Segment,4,2,1,100000006,510000001399,
77.4812,µm,Segment,3,1,1,100000006,510000001408,
29.1266,µm,Segment,2,2,1,100000006,510000001416,
120.128,µm,Segment,3,2,1,100000006,510000001418,
143.347,µm,Segment,3,3,1,100000006,510000001430,
138.849,µm,Segment,3,2,1,100000006,510000001448,
183.687,µm,Segment,3,2,1,100000006,510000001465,
434.725,µm,Segment,4,3,1,100000006,510000001486,
102.403,µm,Segment,2,1,1,100000007,510000001536,
22.616,µm,Segment,3,1,1,100000007,510000001546,
14.7968,µm,Segment,4,1,1,100000007,510000001549,
189.01,µm,Segment,5,1,1,100000007,510000001551,
21.0551,µm,Segment,6,1,1,100000007,510000001573,
80.5048,µm,Segment,6,2,1,100000007,510000001575,
289.845,µm,Segment,3,2,1,100000007,510000001583,
45.4194,µm,Segment,2,2,1,100000007,510000001620,
19.6169,µm,Segment,3,2,1,100000007,510000001624,
20.7214,µm,Segment,4,2,1,100000007,510000001626,
36.1578,µm,Segment,4,3,1,100000007,510000001628,
37.6757,µm,Segment,3,3,1,100000007,510000001630,
31.1798,µm,Segment,1,1,1,100000007,510000001632,
39.9669,µm,Segment,2,1,1,100000007,510000001634,
148.618,µm,Segment,2,1,1,100000007,510000001639,
38.2261,µm,Segment,2,2,1,100000007,510000001655,
199.512,µm,Segment,3,2,1,100000007,510000001659,
86.7421,µm,Segment,3,3,1,100000007,510000001680,
145.244,µm,Segment,2,2,1,100000007,510000001689,
132.483,µm,Segment,5,2,1,100000007,510000001704,
151.604,µm,Segment,4,2,1,100000007,510000001717,
157.314,µm,Segment,2,2,1,100000007,510000001731,
96.7269,µm,Segment,1,1,1,100000008,510000001749,
20.8365,µm,Segment,1,1,1,100000008,510000001766,
14.9763,µm,Segment,2,1,1,100000008,510000001768,
80.8743,µm,Segment,4,1,1,100000008,510000001772,
72.0153,µm,Segment,4,2,1,100000008,510000001788,
159.761,µm,Segment,2,2,1,100000008,510000001800,
100.428,µm,Segment,3,2,1,100000008,510000001831,
97.9937,µm,Segment,3,3,1,100000008,510000001850,
44.5386,µm,Segment,3,2,1,100000008,510000001867,
276.637,µm,Segment,4,2,1,100000008,510000001875,
196.435,µm,Segment,1,1,1,100000008,510000001928,
20.9039,µm,Segment,1,1,1,100000008,510000001966,
31.7985,µm,Segment,2,1,1,100000008,510000001969,
32.7525,µm,Segment,3,1,1,100000008,510000001975,
