
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
3.59047,µm,Segment,Segment Position,2,2,1,100000005,510000001015,
-2.92531,µm,Segment,Segment Position,3,3,1,100000005,510000001032,
5.54171,µm,Segment,Segment Position,3,3,1,100000005,510000001055,
18.0287,µm,Segment,Segment Position,4,2,1,100000005,510000001076,
15.3592,µm,Segment,Segment Position,5,2,1,100000005,510000001082,
12.5516,µm,Segment,Segment Position,6,3,1,100000005,510000001086,
12.4755,µm,Segment,Segment Position,7,2,1,100000005,510000001093,
3.24161,µm,Segment,Segment Position,7,3,1,100000005,510000001101,
12.2591,µm,Segment,Segment Position,4,3,1,100000005,510000001110,
13.5353,µm,Segment,Segment Position,5,3,1,100000005,510000001117,
6.10015,µm,Segment,Segment Position,5,4,1,100000005,510000001124,
18.1508,µm,Segment,Segment Position,5,3,1,100000005,510000001129,
17.3867,µm,Segment,Segment Position,2,3,1,100000005,510000001133,
1.2355,µm,Segment,Segment Position,3,4,1,100000005,510000001136,
12.5273,µm,Segment,Segment Position,3,3,1,100000005,510000001156,
-6.52526,µm,Segment,Segment Position,4,3,1,100000005,510000001159,
-6.44536,µm,Segment,Segment Position,4,4,1,100000005,510000001175,
14.8638,µm,Segment,Segment Position,3,2,1,100000005,510000001191,
-8.70891,µm,Segment,Segment Position,4,2,1,100000005,510000001204,
9.9627,µm,Segment,Segment Position,4,3,1,100000005,510000001221,
16.4024,µm,Segment,Segment Position,3,4,1,100000005,510000001236,
-2.5725,µm,Segment,Segment Position,1,1,1,100000006,510000001259,
-3.68506,µm,Segment,Segment Position,2,1,1,100000006,510000001262,
-2.38502,µm,Segment,Segment Position,3,1,1,100000006,510000001267,
-0.548753,µm,Segment,Segment Position,2,2,1,100000006,510000001272,
-2.97162,µm,Segment,Segment Position,3,3,1,100000006,510000001278,
3.72285,µm,Segment,Segment Position,2,1,1,100000006,510000001285,
-1.86006,µm,Segment,Segment Position,1,1,1,100000006,510000001329,
10.4498,µm,Segment,Segment Position,2,1,1,100000006,510000001331,
10.9392,µm,Segment,Segment Position,2,2,1,100000006,510000001353,
-9.52022,µm,Segment,Segment Position,2,2,1,100000006,510000001379,
4.4383,µm,Segment,Segment Position,4,2,1,100000006,510000001399,
-0.939265,µm,Segment,Segment Position,3,1,1,100000006,510000001408,
-0.563621,µm,Segment,Segment Position,2,2,1,100000006,510000001416,
2.03105,µm,Segment,Segment Position,3,2,1,100000006,510000001418,
0.847954,µm,Segment,Segment Position,3,3,1,100000006,510000001430,
7.66674,µm,Segment,Segment Position,3,2,1,100000006,510000001448,
9.41612,µm,Segment,Segment Position,3,2,1,100000006,510000001465,
9.33138,µm,Segment,Segment Position,4,3,1,100000006,510000001486,
2.81534,µm,Segment,Segment Position,2,1,1,100000007,510000001536,
0.233032,µm,Segment,Segment Position,3,1,1,100000007,510000001546,
3.85417,µm,Segment,Segment Position,4,1,1,100000007,510000001549,
13.1095,µm,Segment,Segment Position,5,1,1,100000007,510000001551,
7.84838,µm,Segment,Segment Position,6,1,1,100000007,510000001573,
8.19869,µm,Segment,Segment Position,6,2,1,100000007,510000001575,
1.15832,µm,Segment,Segment Position,3,2,1,100000007,510000001583,
8.20305,µm,Segment,Segment Position,2,2,1,100000007,510000001620,
9.21387,µm,Segment,Segment Position,3,2,1,100000007,510000001624,
10.5479,µm,Segment,Segment Position,4,2,1,100000007,510000001626,
10.398,µm,Segment,Segment Position,4,3,1,100000007,510000001628,
8.49542,µm,Segment,Segment Position,3,3,1,100000007,510000001630,
7.0793,µm,Segment,Segment Position,1,1,1,100000007,510000001632,
8.69096,µm,Segment,Segment Position,2,1,1,100000007,510000001634,
7.61645,µm,Segment,Segment Position,2,1,1,100000007,510000001639,
6.81641,µm,Segment,Segment Position,2,2,1,100000007,510000001655,
9.81943,µm,Segment,Segment Position,3,2,1,100000007,510000001659,
6.53856,µm,Segment,Segment Position,3,3,1,100000007,510000001680,
5.56659,µm,Segment,Segment Position,2,2,1,100000007,510000001689,
9.79326,µm,Segment,Segment Position,5,2,1,100000007,510000001704,
3.04538,µm,Segment,Segment Position,4,2,1,100000007,510000001717,
0.795646,µm,Segment,Segment Position,2,2,1,100000007,510000001731,
10.514,µm,Segment,Segment Position,1,1,1,100000008,510000001749,
10.5854,µm,Segment,Segment Position,1,1,1,100000008,510000001766,
8.34212,µm,Segment,Segment Position,2,1,1,100000008,510000001768,
4.1755,µm,Segment,Segment Position,4,1,1,100000008,510000001772,
7.88032,µm,Segment,Segment Position,4,2,1,100000008,510000001788,
11.5406,µm,Segment,Segment Position,2,2,1,100000008,510000001800,
9.88906,µm,Segment,Segment Position,3,2,1,100000008,510000001831,
6.51482,µm,Segment,Segment Position,3,3,1,100000008,510000001850,
8.85302,µm,Segment,Segment Position,3,2,1,100000008,510000001867,
10.3415,µm,Segment,Segment Position,4,2,1,100000008,510000001875,
15.5184,µm,Segment,Segment Position,1,1,1,100000008,510000001928,
12.7794,µm,Segment,Segment Position,1,1,1,100000008,510000001966,
17.296,µm,Segment,Segment Position,2,1,1,100000008,510000001969,
18.922,µm,Segment,Segment Position,3,1,1,100000008,510000001975,
16.5683,µm,Segment,Segment Position,4,1,1,100000008,510000001981,
6.657,µm,Segment,Segment Position,1,1,1,100000008,510000001996,
11.0677,µm,Segment,Segment Position,3,2,1,100000008,510000002049,
7.26731,µm,Segment,Segment Position,4,2,1,100000008,510000002070,
16.8618,µm,Segment,Segment Position,2,2,1,100000008,510000002130,
14.8073,µm,Segment,Segment Position,1,1,1,100000008,510000002155,
14.3217,µm,Segment,Segment Position,4,3,1,100000008,510000002180,
