
Segment Center Intensity Min Ch=1 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
5,,Segment,1,2,Image 1,1,1,100000000,510000000003,
4,,Segment,1,2,Image 1,2,1,100000000,510000000023,
38,,Segment,1,3,Image 1,2,1,100000000,510000000028,
99,,Segment,1,3,Image 1,3,1,100000000,510000000050,
138,,Segment,1,1,Image 1,2,1,100000000,510000000064,
80,,Segment,1,2,Image 1,2,1,100000000,510000000068,
132,,Segment,1,1,Image 1,2,1,100000000,510000000073,
77,,Segment,1,2,Image 1,2,1,100000000,510000000075,
122,,Segment,1,2,Image 1,3,1,100000000,510000000083,
114,,Segment,1,2,Image 1,3,1,100000000,510000000086,
181,,Segment,1,3,Image 1,3,1,100000000,510000000093,
14,,Segment,1,4,Image 1,3,1,100000000,510000000096,
79,,Segment,1,4,Image 1,4,1,100000000,510000000103,
63,,Segment,1,3,Image 1,4,1,100000000,510000000110,
83,,Segment,1,3,Image 1,2,1,100000000,510000000117,
77,,Segment,1,4,Image 1,2,1,100000000,510000000124,
70,,Segment,1,4,Image 1,3,1,100000000,510000000134,
152,,Segment,1,3,Image 1,3,1,100000000,510000000137,
71,,Segment,1,2,Image 1,3,1,100000000,510000000149,
37,,Segment,1,3,Image 1,3,1,100000000,510000000151,
67,,Segment,1,3,Image 1,4,1,100000000,510000000163,
54,,Segment,1,3,Image 1,4,1,100000000,510000000184,
55,,Segment,1,2,Image 1,3,1,100000000,510000000209,
226,,Segment,1,2,Image 1,1,1,100000001,510000000226,
60,,Segment,1,3,Image 1,1,1,100000001,510000000230,
67,,Segment,1,2,Image 1,2,1,100000001,510000000252,
49,,Segment,1,1,Image 1,1,1,100000001,510000000264,
0,,Segment,1,3,Image 1,1,1,100000001,510000000274,
43,,Segment,1,3,Image 1,2,1,100000001,510000000282,
190,,Segment,1,4,Image 1,3,1,100000001,510000000314,
2,,Segment,1,2,Image 1,2,1,100000001,510000000318,
47,,Segment,1,3,Image 1,2,1,100000001,510000000326,
33,,Segment,1,4,Image 1,2,1,100000001,510000000350,
61,,Segment,1,4,Image 1,3,1,100000001,510000000359,
110,,Segment,1,1,Image 1,1,1,100000001,510000000384,
105,,Segment,1,2,Image 1,1,1,100000001,510000000397,
92,,Segment,1,3,Image 1,2,1,100000001,510000000402,
25,,Segment,1,1,Image 1,1,1,100000001,510000000417,
26,,Segment,1,3,Image 1,3,1,100000001,510000000438,
72,,Segment,1,2,Image 1,2,1,100000001,510000000458,
37,,Segment,1,1,Image 1,1,1,100000002,510000000474,
141,,Segment,1,2,Image 1,1,1,100000002,510000000493,
68,,Segment,1,3,Image 1,1,1,100000002,510000000496,
41,,Segment,1,1,Image 1,1,1,100000002,510000000506,
34,,Segment,1,2,Image 1,1,1,100000002,510000000514,
63,,Segment,1,1,Image 1,1,1,100000002,510000000526,
74,,Segment,1,2,Image 1,1,1,100000002,510000000535,
255,,Segment,1,1,Image 1,1,1,100000002,510000000544,
54,,Segment,1,2,Image 1,1,1,100000002,510000000546,
48,,Segment,1,3,Image 1,1,1,100000002,510000000554,
57,,Segment,1,3,Image 1,2,1,100000002,510000000563,
56,,Segment,1,1,Image 1,1,1,100000002,510000000581,
45,,Segment,1,2,Image 1,2,1,100000002,510000000605,
0,,Segment,1,1,Image 1,1,1,100000002,510000000623,
27,,Segment,1,2,Image 1,1,1,100000002,510000000626,
75,,Segment,1,3,Image 1,2,1,100000002,510000000644,
93,,Segment,1,3,Image 1,2,1,100000002,510000000647,
63,,Segment,1,4,Image 1,2,1,100000002,510000000649,
97,,Segment,1,5,Image 1,2,1,100000002,510000000662,
38,,Segment,1,2,Image 1,2,1,100000002,510000000683,
83,,Segment,1,5,Image 1,3,1,100000002,510000000720,
27,,Segment,1,2,Image 1,2,1,100000002,510000000724,
41,,Segment,1,2,Image 1,2,1,100000002,510000000730,
89,,Segment,1,2,Image 1,2,1,100000002,510000000738,
70,,Segment,1,1,Image 1,1,1,100000002,510000000745,
74,,Segment,1,2,Image 1,1,1,100000002,510000000749,
49,,Segment,1,2,Image 1,2,1,100000002,510000000754,
56,,Segment,1,1,Image 1,1,1,100000003,510000000764,
36,,Segment,1,2,Image 1,1,1,100000003,510000000769,
20,,Segment,1,2,Image 1,1,1,100000003,510000000781,
42,,Segment,1,2,Image 1,2,1,100000003,510000000789,
41,,Segment,1,2,Image 1,2,1,100000003,510000000797,
78,,Segment,1,1,Image 1,1,1,100000003,510000000804,
