
Segment Orientation Angle
 ==================== 
Segment Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
-29.1444,°,Segment,2,2,1,100000006,510000001272,
-55.5032,°,Segment,3,3,1,100000006,510000001278,
40.285,°,Segment,2,1,1,100000006,510000001285,
83.9091,°,Segment,1,1,1,100000006,510000001329,
73.576,°,Segment,2,1,1,100000006,510000001331,
146.117,°,Segment,2,2,1,100000006,510000001353,
40.9342,°,Segment,2,2,1,100000006,510000001379,
-27.3923,°,Segment,4,2,1,100000006,510000001399,
-128.722,°,Segment,3,1,1,100000006,510000001408,
170.16,°,Segment,2,2,1,100000006,510000001416,
-158.879,°,Segment,3,2,1,100000006,510000001418,
-178.942,°,Segment,3,3,1,100000006,510000001430,
-49.0919,°,Segment,3,2,1,100000006,510000001448,
-84.3288,°,Segment,3,2,1,100000006,510000001465,
-33.7115,°,Segment,4,3,1,100000006,510000001486,
54.0843,°,Segment,2,1,1,100000007,510000001536,
48.127,°,Segment,3,1,1,100000007,510000001546,
47.151,°,Segment,4,1,1,100000007,510000001549,
38.9538,°,Segment,5,1,1,100000007,510000001551,
22.836,°,Segment,6,1,1,100000007,510000001573,
51.5032,°,Segment,6,2,1,100000007,510000001575,
33.6433,°,Segment,3,2,1,100000007,510000001583,
15.6809,°,Segment,2,2,1,100000007,510000001620,
23.4192,°,Segment,3,2,1,100000007,510000001624,
29.5639,°,Segment,4,2,1,100000007,510000001626,
-19.6354,°,Segment,4,3,1,100000007,510000001628,
-42.7317,°,Segment,3,3,1,100000007,510000001630,
-106.085,°,Segment,1,1,1,100000007,510000001632,
-81.9177,°,Segment,2,1,1,100000007,510000001634,
-162.107,°,Segment,2,1,1,100000007,510000001639,
160.551,°,Segment,2,2,1,100000007,510000001655,
160.515,°,Segment,3,2,1,100000007,510000001659,
117.509,°,Segment,3,3,1,100000007,510000001680,
100.347,°,Segment,2,2,1,100000007,510000001689,
93.5081,°,Segment,5,2,1,100000007,510000001704,
65.5351,°,Segment,4,2,1,100000007,510000001717,
-153.629,°,Segment,2,2,1,100000007,510000001731,
-58.2164,°,Segment,1,1,1,100000008,510000001749,
-130.929,°,Segment,1,1,1,100000008,510000001766,
-142.503,°,Segment,2,1,1,100000008,510000001768,
-104.697,°,Segment,4,1,1,100000008,510000001772,
-84.1295,°,Segment,4,2,1,100000008,510000001788,
-137.746,°,Segment,2,2,1,100000008,510000001800,
