
Segment Center Intensity Max Ch=2 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
209,,Segment,2,2,Image 1,1,1,100000000,510000000003,
171,,Segment,2,2,Image 1,2,1,100000000,510000000023,
195,,Segment,2,3,Image 1,2,1,100000000,510000000028,
178,,Segment,2,3,Image 1,3,1,100000000,510000000050,
168,,Segment,2,1,Image 1,2,1,100000000,510000000064,
188,,Segment,2,2,Image 1,2,1,100000000,510000000068,
131,,Segment,2,1,Image 1,2,1,100000000,510000000073,
198,,Segment,2,2,Image 1,2,1,100000000,510000000075,
183,,Segment,2,2,Image 1,3,1,100000000,510000000083,
138,,Segment,2,2,Image 1,3,1,100000000,510000000086,
147,,Segment,2,3,Image 1,3,1,100000000,510000000093,
187,,Segment,2,4,Image 1,3,1,100000000,510000000096,
200,,Segment,2,4,Image 1,4,1,100000000,510000000103,
176,,Segment,2,3,Image 1,4,1,100000000,510000000110,
169,,Segment,2,3,Image 1,2,1,100000000,510000000117,
173,,Segment,2,4,Image 1,2,1,100000000,510000000124,
184,,Segment,2,4,Image 1,3,1,100000000,510000000134,
158,,Segment,2,3,Image 1,3,1,100000000,510000000137,
172,,Segment,2,2,Image 1,3,1,100000000,510000000149,
198,,Segment,2,3,Image 1,3,1,100000000,510000000151,
200,,Segment,2,3,Image 1,4,1,100000000,510000000163,
206,,Segment,2,3,Image 1,4,1,100000000,510000000184,
200,,Segment,2,2,Image 1,3,1,100000000,510000000209,
85,,Segment,2,2,Image 1,1,1,100000001,510000000226,
202,,Segment,2,3,Image 1,1,1,100000001,510000000230,
206,,Segment,2,2,Image 1,2,1,100000001,510000000252,
201,,Segment,2,1,Image 1,1,1,100000001,510000000264,
184,,Segment,2,3,Image 1,1,1,100000001,510000000274,
196,,Segment,2,3,Image 1,2,1,100000001,510000000282,
156,,Segment,2,4,Image 1,3,1,100000001,510000000314,
182,,Segment,2,2,Image 1,2,1,100000001,510000000318,
196,,Segment,2,3,Image 1,2,1,100000001,510000000326,
205,,Segment,2,4,Image 1,2,1,100000001,510000000350,
204,,Segment,2,4,Image 1,3,1,100000001,510000000359,
165,,Segment,2,1,Image 1,1,1,100000001,510000000384,
