
Segment Volume
 ==================== 
Segment Volume,Unit,Category,Depth,Level,Time,FilamentID,ID,
970.368,µm^3,Segment,3,3,1,100000005,510000001156,
3387.11,µm^3,Segment,4,3,1,100000005,510000001159,
4517.77,µm^3,Segment,4,4,1,100000005,510000001175,
6079.38,µm^3,Segment,3,2,1,100000005,510000001191,
2726.24,µm^3,Segment,4,2,1,100000005,510000001204,
6511.43,µm^3,Segment,4,3,1,100000005,510000001221,
12009.8,µm^3,Segment,3,4,1,100000005,510000001236,
8569.52,µm^3,Segment,1,1,1,100000006,510000001259,
2526.7,µm^3,Segment,2,1,1,100000006,510000001262,
1901.77,µm^3,Segment,3,1,1,100000006,510000001267,
2532.57,µm^3,Segment,2,2,1,100000006,510000001272,
1445.72,µm^3,Segment,3,3,1,100000006,510000001278,
20883.7,µm^3,Segment,2,1,1,100000006,510000001285,
7962.51,µm^3,Segment,1,1,1,100000006,510000001329,
9977.36,µm^3,Segment,2,1,1,100000006,510000001331,
9000.38,µm^3,Segment,2,2,1,100000006,510000001353,
5263.71,µm^3,Segment,2,2,1,100000006,510000001379,
1925.11,µm^3,Segment,4,2,1,100000006,510000001399,
3639.65,µm^3,Segment,3,1,1,100000006,510000001408,
1859.98,µm^3,Segment,2,2,1,100000006,510000001416,
3956.68,µm^3,Segment,3,2,1,100000006,510000001418,
4346.98,µm^3,Segment,3,3,1,100000006,510000001430,
4168.79,µm^3,Segment,3,2,1,100000006,510000001448,
6282.38,µm^3,Segment,3,2,1,100000006,510000001465,
12424.5,µm^3,Segment,4,3,1,100000006,510000001486,
17558.1,µm^3,Segment,2,1,1,100000007,510000001536,
3361.79,µm^3,Segment,3,1,1,100000007,510000001546,
2132.22,µm^3,Segment,4,1,1,100000007,510000001549,
23676.2,µm^3,Segment,5,1,1,100000007,510000001551,
2308.55,µm^3,Segment,6,1,1,100000007,510000001573,
8759.78,µm^3,Segment,6,2,1,100000007,510000001575,
32733.7,µm^3,Segment,3,2,1,100000007,510000001583,
6245.2,µm^3,Segment,2,2,1,100000007,510000001620,
2231.84,µm^3,Segment,3,2,1,100000007,510000001624,
2279.65,µm^3,Segment,4,2,1,100000007,510000001626,
3970.87,µm^3,Segment,4,3,1,100000007,510000001628,
4202.52,µm^3,Segment,3,3,1,100000007,510000001630,
10480,µm^3,Segment,1,1,1,100000007,510000001632,
5159.26,µm^3,Segment,2,1,1,100000007,510000001634,
20863.8,µm^3,Segment,2,1,1,100000007,510000001639,
5201.09,µm^3,Segment,2,2,1,100000007,510000001655,
22800.2,µm^3,Segment,3,2,1,100000007,510000001659,
9610.73,µm^3,Segment,3,3,1,100000007,510000001680,
17854.2,µm^3,Segment,2,2,1,100000007,510000001689,
15130.8,µm^3,Segment,5,2,1,100000007,510000001704,
17330.8,µm^3,Segment,4,2,1,100000007,510000001717,
18066.3,µm^3,Segment,2,2,1,100000007,510000001731,
27176.8,µm^3,Segment,1,1,1,100000008,510000001749,
3327.56,µm^3,Segment,1,1,1,100000008,510000001766,
1464.06,µm^3,Segment,2,1,1,100000008,510000001768,
6631.68,µm^3,Segment,4,1,1,100000008,510000001772,
5559.78,µm^3,Segment,4,2,1,100000008,510000001788,
12356.4,µm^3,Segment,2,2,1,100000008,510000001800,
7498.3,µm^3,Segment,3,2,1,100000008,510000001831,
7270.57,µm^3,Segment,3,3,1,100000008,510000001850,
3518.33,µm^3,Segment,3,2,1,100000008,510000001867,
20829.9,µm^3,Segment,4,2,1,100000008,510000001875,
17831.5,µm^3,Segment,1,1,1,100000008,510000001928,
3059.83,µm^3,Segment,1,1,1,100000008,510000001966,
3039.81,µm^3,Segment,2,1,1,100000008,510000001969,
2857.8,µm^3,Segment,3,1,1,100000008,510000001975,
5420.88,µm^3,Segment,4,1,1,100000008,510000001981,
25041.4,µm^3,Segment,1,1,1,100000008,510000001996,
8848.14,µm^3,Segment,3,2,1,100000008,510000002049,
23308.7,µm^3,Segment,4,2,1,100000008,510000002070,
10529.8,µm^3,Segment,2,2,1,100000008,510000002130,
12150.8,µm^3,Segment,1,1,1,100000008,510000002155,
3060.9,µm^3,Segment,4,3,1,100000008,510000002180,
1447.49,µm^3,Segment,5,3,1,100000008,510000002187,
6542.33,µm^3,Segment,5,4,1,100000008,510000002191,
3324.46,µm^3,Segment,2,1,1,100000009,510000002212,
15338.5,µm^3,Segment,3,1,1,100000009,510000002215,
1222.38,µm^3,Segment,4,1,1,100000009,510000002235,
6864.92,µm^3,Segment,4,2,1,100000009,510000002237,
13352.2,µm^3,Segment,2,2,1,100000009,510000002248,
17043,µm^3,Segment,2,1,1,100000009,510000002271,
6457.11,µm^3,Segment,2,2,1,100000009,510000002296,
4322.96,µm^3,Segment,2,2,1,100000009,510000002305,
2078.24,µm^3,Segment,3,2,1,100000009,510000002310,
2659.17,µm^3,Segment,4,2,1,100000009,510000002314,
8210.3,µm^3,Segment,4,3,1,100000009,510000002320,
11024.3,µm^3,Segment,3,3,1,100000009,510000002333,
15872.6,µm^3,Segment,2,1,1,100000009,510000002352,
5089.8,µm^3,Segment,2,2,1,100000009,510000002376,
2682.82,µm^3,Segment,3,3,1,100000009,510000002388,
1640.71,µm^3,Segment,3,2,1,100000009,510000002396,
2908.22,µm^3,Segment,4,2,1,100000009,510000002398,
6932.7,µm^3,Segment,4,3,1,100000009,510000002403,
4375.22,µm^3,Segment,3,2,1,100000009,510000002417,
17850.7,µm^3,Segment,1,1,1,100000010,510000002436,
10760.5,µm^3,Segment,2,1,1,100000010,510000002463,
6858.19,µm^3,Segment,2,2,1,100000010,510000002487,
5821.14,µm^3,Segment,2,1,1,100000010,510000002501,
14244,µm^3,Segment,3,1,1,100000010,510000002510,
5001.75,µm^3,Segment,3,2,1,100000010,510000002538,
8009.98,µm^3,Segment,4,2,1,100000010,510000002548,
8916.55,µm^3,Segment,4,3,1,100000010,510000002565,
5242.19,µm^3,Segment,1,1,1,100000010,510000002584,
4546.59,µm^3,Segment,2,1,1,100000010,510000002588,
2981.37,µm^3,Segment,2,2,1,100000010,510000002597,
2388.93,µm^3,Segment,3,2,1,100000010,510000002602,
2155.93,µm^3,Segment,4,3,1,100000010,510000002608,
9511.81,µm^3,Segment,1,1,1,100000010,510000002612,
5109.65,µm^3,Segment,2,1,1,100000010,510000002624,
18185.8,µm^3,Segment,2,2,1,100000010,510000002635,
4345.57,µm^3,Segment,3,3,1,100000010,510000002672,
12549.5,µm^3,Segment,4,3,1,100000010,510000002680,
9774.76,µm^3,Segment,4,4,1,100000010,510000002707,
9964.74,µm^3,Segment,2,2,1,100000010,510000002726,
9781.43,µm^3,Segment,1,1,1,100000010,510000002748,
66568.5,µm^3,Segment,3,1,1,100000011,510000002766,
17789,µm^3,Segment,3,2,1,100000011,510000002785,
17217.5,µm^3,Segment,4,2,1,100000011,510000002792,
21843.9,µm^3,Segment,4,3,1,100000011,510000002809,
40128.2,µm^3,Segment,2,2,1,100000011,510000002827,
14172,µm^3,Segment,3,1,1,100000011,510000002847,
20362.3,µm^3,Segment,3,1,1,100000011,510000002860,
12720.2,µm^3,Segment,2,2,1,100000011,510000002874,
63022.3,µm^3,Segment,1,1,1,100000011,510000002880,
5914.29,µm^3,Segment,3,3,1,100000011,510000002898,
18333.8,µm^3,Segment,3,2,1,100000011,510000002902,
22383.6,µm^3,Segment,3,2,1,100000011,510000002917,
12183.3,µm^3,Segment,3,3,1,100000011,510000002938,
14842.4,µm^3,Segment,3,2,1,100000011,510000002946,
33094.3,µm^3,Segment,1,1,1,100000012,510000002958,
33345.9,µm^3,Segment,2,1,1,100000012,510000002963,
71092.8,µm^3,Segment,3,1,1,100000012,510000002974,
30070.5,µm^3,Segment,3,2,1,100000012,510000003000,
62020.2,µm^3,Segment,2,1,1,100000012,510000003014,
