
Segment Number of Voxel Ch=3 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
9143,,Segment,3,5,Image 1,3,1,100000005,510000001117,
9092,,Segment,3,5,Image 1,4,1,100000005,510000001124,
11614,,Segment,3,5,Image 1,3,1,100000005,510000001129,
9086,,Segment,3,2,Image 1,3,1,100000005,510000001133,
22398,,Segment,3,3,Image 1,4,1,100000005,510000001136,
5277,,Segment,3,3,Image 1,3,1,100000005,510000001156,
15457,,Segment,3,4,Image 1,3,1,100000005,510000001159,
20252,,Segment,3,4,Image 1,4,1,100000005,510000001175,
27442,,Segment,3,3,Image 1,2,1,100000005,510000001191,
12384,,Segment,3,4,Image 1,2,1,100000005,510000001204,
28226,,Segment,3,4,Image 1,3,1,100000005,510000001221,
51463,,Segment,3,3,Image 1,4,1,100000005,510000001236,
76579,,Segment,3,1,Image 1,1,1,100000006,510000001259,
12076,,Segment,3,2,Image 1,1,1,100000006,510000001262,
9042,,Segment,3,3,Image 1,1,1,100000006,510000001267,
12064,,Segment,3,2,Image 1,2,1,100000006,510000001272,
6666,,Segment,3,3,Image 1,3,1,100000006,510000001278,
90839,,Segment,3,2,Image 1,1,1,100000006,510000001285,
74027,,Segment,3,1,Image 1,1,1,100000006,510000001329,
43290,,Segment,3,2,Image 1,1,1,100000006,510000001331,
40191,,Segment,3,2,Image 1,2,1,100000006,510000001353,
24593,,Segment,3,2,Image 1,2,1,100000006,510000001379,
8529,,Segment,3,4,Image 1,2,1,100000006,510000001399,
16653,,Segment,3,3,Image 1,1,1,100000006,510000001408,
10238,,Segment,3,2,Image 1,2,1,100000006,510000001416,
17498,,Segment,3,3,Image 1,2,1,100000006,510000001418,
19030,,Segment,3,3,Image 1,3,1,100000006,510000001430,
18219,,Segment,3,3,Image 1,2,1,100000006,510000001448,
27740,,Segment,3,3,Image 1,2,1,100000006,510000001465,
53337,,Segment,3,4,Image 1,3,1,100000006,510000001486,
82609,,Segment,3,2,Image 1,1,1,100000007,510000001536,
20009,,Segment,3,3,Image 1,1,1,100000007,510000001546,
14512,,Segment,3,4,Image 1,1,1,100000007,510000001549,
101338,,Segment,3,5,Image 1,1,1,100000007,510000001551,
13494,,Segment,3,6,Image 1,1,1,100000007,510000001573,
40630,,Segment,3,6,Image 1,2,1,100000007,510000001575,
143625,,Segment,3,3,Image 1,2,1,100000007,510000001583,
33424,,Segment,3,2,Image 1,2,1,100000007,510000001620,
13350,,Segment,3,3,Image 1,2,1,100000007,510000001624,
13044,,Segment,3,4,Image 1,2,1,100000007,510000001626,
20553,,Segment,3,4,Image 1,3,1,100000007,510000001628,
21440,,Segment,3,3,Image 1,3,1,100000007,510000001630,
84195,,Segment,3,1,Image 1,1,1,100000007,510000001632,
26698,,Segment,3,2,Image 1,1,1,100000007,510000001634,
95204,,Segment,3,2,Image 1,1,1,100000007,510000001639,
29312,,Segment,3,2,Image 1,2,1,100000007,510000001655,
99859,,Segment,3,3,Image 1,2,1,100000007,510000001659,
44747,,Segment,3,3,Image 1,3,1,100000007,510000001680,
81962,,Segment,3,2,Image 1,2,1,100000007,510000001689,
68444,,Segment,3,5,Image 1,2,1,100000007,510000001704,
78366,,Segment,3,4,Image 1,2,1,100000007,510000001717,
81200,,Segment,3,2,Image 1,2,1,100000007,510000001731,
130318,,Segment,3,1,Image 1,1,1,100000008,510000001749,
23959,,Segment,3,1,Image 1,1,1,100000008,510000001766,
9287,,Segment,3,2,Image 1,1,1,100000008,510000001768,
30698,,Segment,3,4,Image 1,1,1,100000008,510000001772,
26381,,Segment,3,4,Image 1,2,1,100000008,510000001788,
55232,,Segment,3,2,Image 1,2,1,100000008,510000001800,
34509,,Segment,3,3,Image 1,2,1,100000008,510000001831,
33328,,Segment,3,3,Image 1,3,1,100000008,510000001850,
17453,,Segment,3,3,Image 1,2,1,100000008,510000001867,
91901,,Segment,3,4,Image 1,2,1,100000008,510000001875,
81207,,Segment,3,1,Image 1,1,1,100000008,510000001928,
23171,,Segment,3,1,Image 1,1,1,100000008,510000001966,
14947,,Segment,3,2,Image 1,1,1,100000008,510000001969,
12627,,Segment,3,3,Image 1,1,1,100000008,510000001975,
23371,,Segment,3,4,Image 1,1,1,100000008,510000001981,
116003,,Segment,3,1,Image 1,1,1,100000008,510000001996,
39939,,Segment,3,3,Image 1,2,1,100000008,510000002049,
101506,,Segment,3,4,Image 1,2,1,100000008,510000002070,
44195,,Segment,3,2,Image 1,2,1,100000008,510000002130,
58457,,Segment,3,1,Image 1,1,1,100000008,510000002155,
15015,,Segment,3,4,Image 1,3,1,100000008,510000002180,
8176,,Segment,3,5,Image 1,3,1,100000008,510000002187,
27839,,Segment,3,5,Image 1,4,1,100000008,510000002191,
17883,,Segment,3,2,Image 1,1,1,100000009,510000002212,
