
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
1685.39,µm^2,Segment,4,3,1,100000005,510000001159,
2250.84,µm^2,Segment,4,4,1,100000005,510000001175,
2878.2,µm^2,Segment,3,2,1,100000005,510000001191,
1350.4,µm^2,Segment,4,2,1,100000005,510000001204,
3240.24,µm^2,Segment,4,3,1,100000005,510000001221,
5964.91,µm^2,Segment,3,4,1,100000005,510000001236,
2039.16,µm^2,Segment,1,1,1,100000006,510000001259,
1186.75,µm^2,Segment,2,1,1,100000006,510000001262,
1119.07,µm^2,Segment,3,1,1,100000006,510000001267,
1440.29,µm^2,Segment,2,2,1,100000006,510000001272,
940.583,µm^2,Segment,3,3,1,100000006,510000001278,
10024.4,µm^2,Segment,2,1,1,100000006,510000001285,
1733.64,µm^2,Segment,1,1,1,100000006,510000001329,
4921.77,µm^2,Segment,2,1,1,100000006,510000001331,
5320.21,µm^2,Segment,2,2,1,100000006,510000001353,
2880.08,µm^2,Segment,2,2,1,100000006,510000001379,
1273.04,µm^2,Segment,4,2,1,100000006,510000001399,
1864.94,µm^2,Segment,3,1,1,100000006,510000001408,
816.479,µm^2,Segment,2,2,1,100000006,510000001416,
2441.41,µm^2,Segment,3,2,1,100000006,510000001418,
2796.3,µm^2,Segment,3,3,1,100000006,510000001430,
2696.89,µm^2,Segment,3,2,1,100000006,510000001448,
3787.11,µm^2,Segment,3,2,1,100000006,510000001465,
8238.56,µm^2,Segment,4,3,1,100000006,510000001486,
4749.42,µm^2,Segment,2,1,1,100000007,510000001536,
977.459,µm^2,Segment,3,1,1,100000007,510000001546,
629.664,µm^2,Segment,4,1,1,100000007,510000001549,
7494.25,µm^2,Segment,5,1,1,100000007,510000001551,
781.543,µm^2,Segment,6,1,1,100000007,510000001573,
2976.88,µm^2,Segment,6,2,1,100000007,510000001575,
10916.2,µm^2,Segment,3,2,1,100000007,510000001583,
1884.79,µm^2,Segment,2,2,1,100000007,510000001620,
741.741,µm^2,Segment,3,2,1,100000007,510000001624,
770.458,µm^2,Segment,4,2,1,100000007,510000001626,
1343.22,µm^2,Segment,4,3,1,100000007,510000001628,
1410.51,µm^2,Segment,3,3,1,100000007,510000001630,
2062.33,µm^2,Segment,1,1,1,100000007,510000001632,
1608.23,µm^2,Segment,2,1,1,100000007,510000001634,
6220.96,µm^2,Segment,2,1,1,100000007,510000001639,
1583.99,µm^2,Segment,2,2,1,100000007,510000001655,
7559.53,µm^2,Segment,3,2,1,100000007,510000001659,
3236.44,µm^2,Segment,3,3,1,100000007,510000001680,
5695.2,µm^2,Segment,2,2,1,100000007,510000001689,
5016.63,µm^2,Segment,5,2,1,100000007,510000001704,
5743.17,µm^2,Segment,4,2,1,100000007,510000001717,
5972.91,µm^2,Segment,2,2,1,100000007,510000001731,
5747.49,µm^2,Segment,1,1,1,100000008,510000001749,
942.037,µm^2,Segment,1,1,1,100000008,510000001766,
524.936,µm^2,Segment,2,1,1,100000008,510000001768,
2594.88,µm^2,Segment,4,1,1,100000008,510000001772,
2242.54,µm^2,Segment,4,2,1,100000008,510000001788,
4982.62,µm^2,Segment,2,2,1,100000008,510000001800,
3076.18,µm^2,Segment,3,2,1,100000008,510000001831,
2992.18,µm^2,Segment,3,3,1,100000008,510000001850,
1403.48,µm^2,Segment,3,2,1,100000008,510000001867,
8509.36,µm^2,Segment,4,2,1,100000008,510000001875,
6627,µm^2,Segment,1,1,1,100000008,510000001928,
911.631,µm^2,Segment,1,1,1,100000008,510000001966,
1102.04,µm^2,Segment,2,1,1,100000008,510000001969,
1084.49,µm^2,Segment,3,1,1,100000008,510000001975,
2166.03,µm^2,Segment,4,1,1,100000008,510000001981,
9359.79,µm^2,Segment,1,1,1,100000008,510000001996,
3593.32,µm^2,Segment,3,2,1,100000008,510000002049,
9540.93,µm^2,Segment,4,2,1,100000008,510000002070,
4236.52,µm^2,Segment,2,2,1,100000008,510000002130,
4432.61,µm^2,Segment,1,1,1,100000008,510000002155,
1255.1,µm^2,Segment,4,3,1,100000008,510000002180,
596.221,µm^2,Segment,5,3,1,100000008,510000002187,
2695.88,µm^2,Segment,5,4,1,100000008,510000002191,
1148.8,µm^2,Segment,2,1,1,100000009,510000002212,
6196.96,µm^2,Segment,3,1,1,100000009,510000002215,
549.785,µm^2,Segment,4,1,1,100000009,510000002235,
3103.04,µm^2,Segment,4,2,1,100000009,510000002237,
5761.23,µm^2,Segment,2,2,1,100000009,510000002248,
6765.93,µm^2,Segment,2,1,1,100000009,510000002271,
2701.61,µm^2,Segment,2,2,1,100000009,510000002296,
1719.48,µm^2,Segment,2,2,1,100000009,510000002305,
912.866,µm^2,Segment,3,2,1,100000009,510000002310,
1192.98,µm^2,Segment,4,2,1,100000009,510000002314,
3708.83,µm^2,Segment,4,3,1,100000009,510000002320,
4964.57,µm^2,Segment,3,3,1,100000009,510000002333,
6301.6,µm^2,Segment,2,1,1,100000009,510000002352,
2108.84,µm^2,Segment,2,2,1,100000009,510000002376,
1202.11,µm^2,Segment,3,3,1,100000009,510000002388,
735.731,µm^2,Segment,3,2,1,100000009,510000002396,
1316.4,µm^2,Segment,4,2,1,100000009,510000002398,
3141.7,µm^2,Segment,4,3,1,100000009,510000002403,
3018.95,µm^2,Segment,3,2,1,100000009,510000002417,
5790.75,µm^2,Segment,1,1,1,100000010,510000002436,
3917.03,µm^2,Segment,2,1,1,100000010,510000002463,
2544.04,µm^2,Segment,2,2,1,100000010,510000002487,
1880.7,µm^2,Segment,2,1,1,100000010,510000002501,
5065.25,µm^2,Segment,3,1,1,100000010,510000002510,
1827.08,µm^2,Segment,3,2,1,100000010,510000002538,
2984.28,µm^2,Segment,4,2,1,100000010,510000002548,
3335.34,µm^2,Segment,4,3,1,100000010,510000002565,
1450,µm^2,Segment,1,1,1,100000010,510000002584,
1622,µm^2,Segment,2,1,1,100000010,510000002588,
1081.69,µm^2,Segment,2,2,1,100000010,510000002597,
890.253,µm^2,Segment,3,2,1,100000010,510000002602,
807.414,µm^2,Segment,4,3,1,100000010,510000002608,
2894.98,µm^2,Segment,1,1,1,100000010,510000002612,
1855.53,µm^2,Segment,2,1,1,100000010,510000002624,
6760.05,µm^2,Segment,2,2,1,100000010,510000002635,
1623.81,µm^2,Segment,3,3,1,100000010,510000002672,
4699.02,µm^2,Segment,4,3,1,100000010,510000002680,
3661.48,µm^2,Segment,4,4,1,100000010,510000002707,
3620.4,µm^2,Segment,2,2,1,100000010,510000002726,
3122.98,µm^2,Segment,1,1,1,100000010,510000002748,
16754.6,µm^2,Segment,3,1,1,100000011,510000002766,
5419.25,µm^2,Segment,3,2,1,100000011,510000002785,
6738.86,µm^2,Segment,4,2,1,100000011,510000002792,
8828.28,µm^2,Segment,4,3,1,100000011,510000002809,
11924.2,µm^2,Segment,2,2,1,100000011,510000002827,
5352.59,µm^2,Segment,3,1,1,100000011,510000002847,
6453.16,µm^2,Segment,3,1,1,100000011,510000002860,
3709.08,µm^2,Segment,2,2,1,100000011,510000002874,
12655,µm^2,Segment,1,1,1,100000011,510000002880,
2424.04,µm^2,Segment,3,3,1,100000011,510000002898,
6933.77,µm^2,Segment,3,2,1,100000011,510000002902,
8432.2,µm^2,Segment,3,2,1,100000011,510000002917,
4726.16,µm^2,Segment,3,3,1,100000011,510000002938,
5845.55,µm^2,Segment,3,2,1,100000011,510000002946,
5256.34,µm^2,Segment,1,1,1,100000012,510000002958,
6578.24,µm^2,Segment,2,1,1,100000012,510000002963,
15537.5,µm^2,Segment,3,1,1,100000012,510000002974,
6832.81,µm^2,Segment,3,2,1,100000012,510000003000,
12886.3,µm^2,Segment,2,1,1,100000012,510000003014,
14310.9,µm^2,Segment,2,2,1,100000012,510000003040,
3108.76,µm^2,Segment,1,1,1,100000012,510000003065,
11161.8,µm^2,Segment,2,1,1,100000012,510000003067,
12569.4,µm^2,Segment,2,2,1,100000012,510000003086,
7128.04,µm^2,Segment,2,2,1,100000012,510000003109,
2273.02,µm^2,Segment,2,1,1,100000012,510000003121,
3102.85,µm^2,Segment,3,1,1,100000012,510000003124,
7561.31,µm^2,Segment,4,1,1,100000012,510000003130,
5747.54,µm^2,Segment,4,2,1,100000012,510000003147,
9515.14,µm^2,Segment,5,2,1,100000012,510000003157,
