
Segment Straightness
 ==================== 
Segment Straightness,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.991221,,Segment,2,1,1,100000000,510000000003,
0.967783,,Segment,2,2,1,100000000,510000000023,
0.992746,,Segment,3,2,1,100000000,510000000028,
0.98727,,Segment,3,3,1,100000000,510000000050,
0.981811,,Segment,1,2,1,100000000,510000000064,
0.999214,,Segment,2,2,1,100000000,510000000068,
0.995434,,Segment,1,2,1,100000000,510000000073,
0.990991,,Segment,2,2,1,100000000,510000000075,
0.986381,,Segment,2,3,1,100000000,510000000083,
0.943096,,Segment,2,3,1,100000000,510000000086,
0.999323,,Segment,3,3,1,100000000,510000000093,
0.992072,,Segment,4,3,1,100000000,510000000096,
0.962743,,Segment,4,4,1,100000000,510000000103,
0.788978,,Segment,3,4,1,100000000,510000000110,
0.98616,,Segment,3,2,1,100000000,510000000117,
0.982184,,Segment,4,2,1,100000000,510000000124,
0.982057,,Segment,4,3,1,100000000,510000000134,
0.918939,,Segment,3,3,1,100000000,510000000137,
0.988142,,Segment,2,3,1,100000000,510000000149,
0.981828,,Segment,3,3,1,100000000,510000000151,
0.895354,,Segment,3,4,1,100000000,510000000163,
0.968439,,Segment,3,4,1,100000000,510000000184,
0.965633,,Segment,2,3,1,100000000,510000000209,
0.999098,,Segment,2,1,1,100000001,510000000226,
0.986494,,Segment,3,1,1,100000001,510000000230,
0.979209,,Segment,2,2,1,100000001,510000000252,
0.980029,,Segment,1,1,1,100000001,510000000264,
0.982577,,Segment,3,1,1,100000001,510000000274,
0.921558,,Segment,3,2,1,100000001,510000000282,
0.999732,,Segment,4,3,1,100000001,510000000314,
0.969624,,Segment,2,2,1,100000001,510000000318,
0.960094,,Segment,3,2,1,100000001,510000000326,
0.992421,,Segment,4,2,1,100000001,510000000350,
0.977047,,Segment,4,3,1,100000001,510000000359,
0.972791,,Segment,1,1,1,100000001,510000000384,
0.983663,,Segment,2,1,1,100000001,510000000397,
0.980784,,Segment,3,2,1,100000001,510000000402,
0.972754,,Segment,1,1,1,100000001,510000000417,
0.888959,,Segment,3,3,1,100000001,510000000438,
0.924255,,Segment,2,2,1,100000001,510000000458,
0.954533,,Segment,1,1,1,100000002,510000000474,
0.997309,,Segment,2,1,1,100000002,510000000493,
0.989405,,Segment,3,1,1,100000002,510000000496,
0.982363,,Segment,1,1,1,100000002,510000000506,
0.981443,,Segment,2,1,1,100000002,510000000514,
0.992153,,Segment,1,1,1,100000002,510000000526,
0.994429,,Segment,2,1,1,100000002,510000000535,
0.999897,,Segment,1,1,1,100000002,510000000544,
0.880831,,Segment,2,1,1,100000002,510000000546,
0.980423,,Segment,3,1,1,100000002,510000000554,
0.979639,,Segment,3,2,1,100000002,510000000563,
0.969307,,Segment,1,1,1,100000002,510000000581,
0.977309,,Segment,2,2,1,100000002,510000000605,
0.99521,,Segment,1,1,1,100000002,510000000623,
0.976419,,Segment,2,1,1,100000002,510000000626,
0.99371,,Segment,3,2,1,100000002,510000000644,
0.997243,,Segment,3,2,1,100000002,510000000647,
0.914541,,Segment,4,2,1,100000002,510000000649,
0.990334,,Segment,5,2,1,100000002,510000000662,
0.964636,,Segment,2,2,1,100000002,510000000683,
0.982821,,Segment,5,3,1,100000002,510000000720,
0.905685,,Segment,2,2,1,100000002,510000000724,
0.943451,,Segment,2,2,1,100000002,510000000730,
0.801586,,Segment,2,2,1,100000002,510000000738,
0.998464,,Segment,1,1,1,100000002,510000000745,
0.989423,,Segment,2,1,1,100000002,510000000749,
0.912428,,Segment,2,2,1,100000002,510000000754,
0.995879,,Segment,1,1,1,100000003,510000000764,
0.993986,,Segment,2,1,1,100000003,510000000769,
0.968002,,Segment,2,1,1,100000003,510000000781,
0.991947,,Segment,2,2,1,100000003,510000000789,
0.983988,,Segment,2,2,1,100000003,510000000797,
0.965073,,Segment,1,1,1,100000003,510000000804,
0.996147,,Segment,1,1,1,100000003,510000000823,
0.947261,,Segment,2,2,1,100000003,510000000833,
0.979251,,Segment,1,1,1,100000004,510000000849,
0.953546,,Segment,1,1,1,100000004,510000000871,
0.979914,,Segment,3,1,1,100000004,510000000884,
0.993592,,Segment,3,2,1,100000004,510000000894,
0.983934,,Segment,3,2,1,100000004,510000000902,
0.96506,,Segment,4,2,1,100000004,510000000904,
0.984037,,Segment,5,2,1,100000004,510000000915,
0.988949,,Segment,1,1,1,100000004,510000000923,
0.935317,,Segment,4,3,1,100000004,510000000942,
