
Segment Branching Angle
 ==================== 
Segment Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
1.56835,°,Segment,2,1,1,100000006,510000001331,
46.2822,°,Segment,2,2,1,100000006,510000001353,
32.6908,°,Segment,2,2,1,100000006,510000001379,
6.51791,°,Segment,4,2,1,100000006,510000001399,
2.11637,°,Segment,3,1,1,100000006,510000001408,
66.0291,°,Segment,2,2,1,100000006,510000001416,
22.7146,°,Segment,3,2,1,100000006,510000001418,
22.4864,°,Segment,3,3,1,100000006,510000001430,
127.181,°,Segment,3,2,1,100000006,510000001448,
56.801,°,Segment,3,2,1,100000006,510000001465,
41.9299,°,Segment,4,3,1,100000006,510000001486,
8.72627,°,Segment,2,1,1,100000007,510000001536,
5.68272,°,Segment,3,1,1,100000007,510000001546,
3.00309,°,Segment,4,1,1,100000007,510000001549,
4.14581,°,Segment,5,1,1,100000007,510000001551,
0.844415,°,Segment,6,1,1,100000007,510000001573,
85.4058,°,Segment,6,2,1,100000007,510000001575,
16.2085,°,Segment,3,2,1,100000007,510000001583,
35.5968,°,Segment,2,2,1,100000007,510000001620,
6.55077,°,Segment,3,2,1,100000007,510000001624,
3.69692,°,Segment,4,2,1,100000007,510000001626,
51.1767,°,Segment,4,3,1,100000007,510000001628,
58.9621,°,Segment,3,3,1,100000007,510000001630,
0,°,Segment,1,1,1,100000007,510000001632,
11.8823,°,Segment,2,1,1,100000007,510000001634,
7.07296,°,Segment,2,1,1,100000007,510000001639,
39.8645,°,Segment,2,2,1,100000007,510000001655,
7.92878,°,Segment,3,2,1,100000007,510000001659,
77.9552,°,Segment,3,3,1,100000007,510000001680,
105.846,°,Segment,2,2,1,100000007,510000001689,
65.247,°,Segment,5,2,1,100000007,510000001704,
35.3049,°,Segment,4,2,1,100000007,510000001717,
65.2558,°,Segment,2,2,1,100000007,510000001731,
0,°,Segment,1,1,1,100000008,510000001749,
0,°,Segment,1,1,1,100000008,510000001766,
4.876,°,Segment,2,1,1,100000008,510000001768,
5.49961,°,Segment,4,1,1,100000008,510000001772,
89.0098,°,Segment,4,2,1,100000008,510000001788,
112.994,°,Segment,2,2,1,100000008,510000001800,
3.43855,°,Segment,3,2,1,100000008,510000001831,
29.9561,°,Segment,3,3,1,100000008,510000001850,
38.4633,°,Segment,3,2,1,100000008,510000001867,
3.07307,°,Segment,4,2,1,100000008,510000001875,
0,°,Segment,1,1,1,100000008,510000001928,
0,°,Segment,1,1,1,100000008,510000001966,
5.2327,°,Segment,2,1,1,100000008,510000001969,
7.66391,°,Segment,3,1,1,100000008,510000001975,
0.292083,°,Segment,4,1,1,100000008,510000001981,
0,°,Segment,1,1,1,100000008,510000001996,
36.1265,°,Segment,3,2,1,100000008,510000002049,
24.2894,°,Segment,4,2,1,100000008,510000002070,
68.0947,°,Segment,2,2,1,100000008,510000002130,
0,°,Segment,1,1,1,100000008,510000002155,
16.7869,°,Segment,4,3,1,100000008,510000002180,
9.59898,°,Segment,5,3,1,100000008,510000002187,
67.5713,°,Segment,5,4,1,100000008,510000002191,
2.46664,°,Segment,2,1,1,100000009,510000002212,
3.60321,°,Segment,3,1,1,100000009,510000002215,
8.5738,°,Segment,4,1,1,100000009,510000002235,
17.2355,°,Segment,4,2,1,100000009,510000002237,
62.2097,°,Segment,2,2,1,100000009,510000002248,
10.8696,°,Segment,2,1,1,100000009,510000002271,
38.0542,°,Segment,2,2,1,100000009,510000002296,
89.1384,°,Segment,2,2,1,100000009,510000002305,
3.42211,°,Segment,3,2,1,100000009,510000002310,
8.62054,°,Segment,4,2,1,100000009,510000002314,
79.761,°,Segment,4,3,1,100000009,510000002320,
79.1926,°,Segment,3,3,1,100000009,510000002333,
2.38614,°,Segment,2,1,1,100000009,510000002352,
125.986,°,Segment,2,2,1,100000009,510000002376,
10.2442,°,Segment,3,3,1,100000009,510000002388,
25.6163,°,Segment,3,2,1,100000009,510000002396,
20.5538,°,Segment,4,2,1,100000009,510000002398,
86.5941,°,Segment,4,3,1,100000009,510000002403,
78.0612,°,Segment,3,2,1,100000009,510000002417,
0,°,Segment,1,1,1,100000010,510000002436,
1.36171,°,Segment,2,1,1,100000010,510000002463,
60.4899,°,Segment,2,2,1,100000010,510000002487,
8.19139,°,Segment,2,1,1,100000010,510000002501,
6.83489,°,Segment,3,1,1,100000010,510000002510,
101.546,°,Segment,3,2,1,100000010,510000002538,
5.31139,°,Segment,4,2,1,100000010,510000002548,
73.8534,°,Segment,4,3,1,100000010,510000002565,
0,°,Segment,1,1,1,100000010,510000002584,
3.13369,°,Segment,2,1,1,100000010,510000002588,
77.1589,°,Segment,2,2,1,100000010,510000002597,
3.26633,°,Segment,3,2,1,100000010,510000002602,
90.3369,°,Segment,4,3,1,100000010,510000002608,
0,°,Segment,1,1,1,100000010,510000002612,
8.29351,°,Segment,2,1,1,100000010,510000002624,
82.9029,°,Segment,2,2,1,100000010,510000002635,
12.5724,°,Segment,3,3,1,100000010,510000002672,
10.307,°,Segment,4,3,1,100000010,510000002680,
89.496,°,Segment,4,4,1,100000010,510000002707,
69.5257,°,Segment,2,2,1,100000010,510000002726,
0,°,Segment,1,1,1,100000010,510000002748,
6.56519,°,Segment,3,1,1,100000011,510000002766,
75.4907,°,Segment,3,2,1,100000011,510000002785,
4.8086,°,Segment,4,2,1,100000011,510000002792,
24.9186,°,Segment,4,3,1,100000011,510000002809,
6.95815,°,Segment,2,2,1,100000011,510000002827,
4.58915,°,Segment,3,1,1,100000011,510000002847,
19.2204,°,Segment,3,1,1,100000011,510000002860,
71.734,°,Segment,2,2,1,100000011,510000002874,
0,°,Segment,1,1,1,100000011,510000002880,
109.935,°,Segment,3,3,1,100000011,510000002898,
3.6802,°,Segment,3,2,1,100000011,510000002902,
52.131,°,Segment,3,2,1,100000011,510000002917,
15.4822,°,Segment,3,3,1,100000011,510000002938,
77.8308,°,Segment,3,2,1,100000011,510000002946,
0,°,Segment,1,1,1,100000012,510000002958,
2.23257,°,Segment,2,1,1,100000012,510000002963,
16.5043,°,Segment,3,1,1,100000012,510000002974,
59.8231,°,Segment,3,2,1,100000012,510000003000,
3.5796,°,Segment,2,1,1,100000012,510000003014,
16.0593,°,Segment,2,2,1,100000012,510000003040,
0,°,Segment,1,1,1,100000012,510000003065,
5.25662,°,Segment,2,1,1,100000012,510000003067,
53.0636,°,Segment,2,2,1,100000012,510000003086,
1.94752,°,Segment,2,2,1,100000012,510000003109,
104.524,°,Segment,2,1,1,100000012,510000003121,
5.69261,°,Segment,3,1,1,100000012,510000003124,
4.72518,°,Segment,4,1,1,100000012,510000003130,
19.765,°,Segment,4,2,1,100000012,510000003147,
5.81814,°,Segment,5,2,1,100000012,510000003157,
56.1401,°,Segment,5,3,1,100000012,510000003175,
12.3132,°,Segment,5,2,1,100000012,510000003190,
76.1468,°,Segment,2,2,1,100000012,510000003198,
63.7825,°,Segment,2,2,1,100000012,510000003232,
25.4371,°,Segment,3,2,1,100000012,510000003243,
2.05481,°,Segment,4,1,1,100000013,510000003271,
22.0052,°,Segment,3,2,1,100000013,510000003294,
2.26615,°,Segment,4,2,1,100000013,510000003296,
12.6382,°,Segment,4,2,1,100000013,510000003319,
30.7112,°,Segment,3,2,1,100000013,510000003334,
3.28867,°,Segment,4,2,1,100000013,510000003336,
61.038,°,Segment,4,3,1,100000013,510000003352,
2.02594,°,Segment,2,1,1,100000013,510000003369,
10.6626,°,Segment,3,1,1,100000013,510000003372,
76.3857,°,Segment,2,2,1,100000013,510000003375,
80.5547,°,Segment,2,2,1,100000013,510000003389,
0,°,Segment,1,1,1,100000013,510000003402,
10.0677,°,Segment,2,1,1,100000013,510000003405,
24.3278,°,Segment,2,2,1,100000013,510000003429,
40.3491,°,Segment,3,3,1,100000013,510000003442,
68.1949,°,Segment,4,3,1,100000013,510000003451,
80.7776,°,Segment,3,2,1,100000013,510000003473,
0,°,Segment,1,1,1,100000014,510000003491,
4.41646,°,Segment,4,1,1,100000014,510000003501,
85.8908,°,Segment,3,2,1,100000014,510000003507,
0,°,Segment,1,1,1,100000014,510000003515,
10.1941,°,Segment,3,2,1,100000014,510000003518,
0,°,Segment,1,1,1,100000014,510000003527,
5.8364,°,Segment,2,2,1,100000014,510000003529,
48.2621,°,Segment,2,1,1,100000014,510000003552,
4.40696,°,Segment,3,1,1,100000014,510000003554,
62.03,°,Segment,3,2,1,100000014,510000003570,
120.745,°,Segment,4,2,1,100000014,510000003582,
81.167,°,Segment,2,2,1,100000014,510000003592,
5.08831,°,Segment,4,1,1,100000014,510000003609,
67.3848,°,Segment,4,2,1,100000014,510000003635,
112.67,°,Segment,2,2,1,100000014,510000003640,
1.96184,°,Segment,3,2,1,100000014,510000003647,
79.3006,°,Segment,3,3,1,100000014,510000003656,
0,°,Segment,0,1,1,100000000,510000003676,
8.20652,°,Segment,1,1,1,100000000,510000003677,
159.842,°,Segment,1,2,1,100000000,510000003678,
2.74901,°,Segment,2,2,1,100000000,510000003679,
0,°,Segment,1,1,1,100000001,510000003680,
0,°,Segment,1,1,1,100000001,510000003681,
7.30412,°,Segment,2,1,1,100000001,510000003682,
96.8446,°,Segment,4,2,1,100000001,510000003683,
5.52953,°,Segment,4,1,1,100000002,510000003684,
0,°,Segment,1,1,1,100000003,510000003685,
0,°,Segment,1,1,1,100000004,510000003686,
3.87368,°,Segment,2,1,1,100000004,510000003687,
116.546,°,Segment,2,2,1,100000004,510000003688,
12.0682,°,Segment,3,3,1,100000004,510000003689,
0,°,Segment,0,1,1,100000005,510000003690,
151.376,°,Segment,1,2,1,100000005,510000003691,
14.0807,°,Segment,2,2,1,100000005,510000003692,
42.6051,°,Segment,3,2,1,100000005,510000003693,
91.7184,°,Segment,6,2,1,100000005,510000003694,
19.5688,°,Segment,3,2,1,100000006,510000003695,
0,°,Segment,1,1,1,100000006,510000003696,
0,°,Segment,1,1,1,100000006,510000003697,
3.85986,°,Segment,2,1,1,100000006,510000003698,
0,°,Segment,1,1,1,100000007,510000003699,
0,°,Segment,1,1,1,100000007,510000003700,
