
Segment Center Intensity Median Ch=3 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
149.062,,Segment,3,7,Image 1,2,1,100000005,510000001093,
171.062,,Segment,3,7,Image 1,3,1,100000005,510000001101,
100.562,,Segment,3,4,Image 1,3,1,100000005,510000001110,
75.0625,,Segment,3,5,Image 1,3,1,100000005,510000001117,
191.062,,Segment,3,5,Image 1,4,1,100000005,510000001124,
163.625,,Segment,3,5,Image 1,3,1,100000005,510000001129,
61.125,,Segment,3,2,Image 1,3,1,100000005,510000001133,
181.062,,Segment,3,3,Image 1,4,1,100000005,510000001136,
163.531,,Segment,3,3,Image 1,3,1,100000005,510000001156,
190.031,,Segment,3,4,Image 1,3,1,100000005,510000001159,
188.031,,Segment,3,4,Image 1,4,1,100000005,510000001175,
183.625,,Segment,3,3,Image 1,2,1,100000005,510000001191,
190.062,,Segment,3,4,Image 1,2,1,100000005,510000001204,
202.531,,Segment,3,4,Image 1,3,1,100000005,510000001221,
171.062,,Segment,3,3,Image 1,4,1,100000005,510000001236,
146.562,,Segment,3,1,Image 1,1,1,100000006,510000001259,
151.562,,Segment,3,2,Image 1,1,1,100000006,510000001262,
152.062,,Segment,3,3,Image 1,1,1,100000006,510000001267,
167.062,,Segment,3,2,Image 1,2,1,100000006,510000001272,
189.062,,Segment,3,3,Image 1,3,1,100000006,510000001278,
197.125,,Segment,3,2,Image 1,1,1,100000006,510000001285,
147.062,,Segment,3,1,Image 1,1,1,100000006,510000001329,
179.531,,Segment,3,2,Image 1,1,1,100000006,510000001331,
189.062,,Segment,3,2,Image 1,2,1,100000006,510000001353,
192.125,,Segment,3,2,Image 1,2,1,100000006,510000001379,
150.562,,Segment,3,4,Image 1,2,1,100000006,510000001399,
170.062,,Segment,3,3,Image 1,1,1,100000006,510000001408,
175.125,,Segment,3,2,Image 1,2,1,100000006,510000001416,
176.062,,Segment,3,3,Image 1,2,1,100000006,510000001418,
179.062,,Segment,3,3,Image 1,3,1,100000006,510000001430,
156.125,,Segment,3,3,Image 1,2,1,100000006,510000001448,
179.062,,Segment,3,3,Image 1,2,1,100000006,510000001465,
160.125,,Segment,3,4,Image 1,3,1,100000006,510000001486,
155.125,,Segment,3,2,Image 1,1,1,100000007,510000001536,
198.516,,Segment,3,3,Image 1,1,1,100000007,510000001546,
206.016,,Segment,3,4,Image 1,1,1,100000007,510000001549,
196.062,,Segment,3,5,Image 1,1,1,100000007,510000001551,
188.062,,Segment,3,6,Image 1,1,1,100000007,510000001573,
202.031,,Segment,3,6,Image 1,2,1,100000007,510000001575,
194.562,,Segment,3,3,Image 1,2,1,100000007,510000001583,
148.062,,Segment,3,2,Image 1,2,1,100000007,510000001620,
150.062,,Segment,3,3,Image 1,2,1,100000007,510000001624,
153.062,,Segment,3,4,Image 1,2,1,100000007,510000001626,
150.062,,Segment,3,4,Image 1,3,1,100000007,510000001628,
204.004,,Segment,3,3,Image 1,3,1,100000007,510000001630,
74.0625,,Segment,3,1,Image 1,1,1,100000007,510000001632,
164.062,,Segment,3,2,Image 1,1,1,100000007,510000001634,
183.062,,Segment,3,2,Image 1,1,1,100000007,510000001639,
140.062,,Segment,3,2,Image 1,2,1,100000007,510000001655,
200.562,,Segment,3,3,Image 1,2,1,100000007,510000001659,
196.516,,Segment,3,3,Image 1,3,1,100000007,510000001680,
173.062,,Segment,3,2,Image 1,2,1,100000007,510000001689,
192.016,,Segment,3,5,Image 1,2,1,100000007,510000001704,
202.062,,Segment,3,4,Image 1,2,1,100000007,510000001717,
201.125,,Segment,3,2,Image 1,2,1,100000007,510000001731,
131.125,,Segment,3,1,Image 1,1,1,100000008,510000001749,
36.002,,Segment,3,1,Image 1,1,1,100000008,510000001766,
57.5312,,Segment,3,2,Image 1,1,1,100000008,510000001768,
172.125,,Segment,3,4,Image 1,1,1,100000008,510000001772,
141.062,,Segment,3,4,Image 1,2,1,100000008,510000001788,
172.625,,Segment,3,2,Image 1,2,1,100000008,510000001800,
198.062,,Segment,3,3,Image 1,2,1,100000008,510000001831,
189.062,,Segment,3,3,Image 1,3,1,100000008,510000001850,
94.125,,Segment,3,3,Image 1,2,1,100000008,510000001867,
168.125,,Segment,3,4,Image 1,2,1,100000008,510000001875,
181.125,,Segment,3,1,Image 1,1,1,100000008,510000001928,
64.5625,,Segment,3,1,Image 1,1,1,100000008,510000001966,
137.062,,Segment,3,2,Image 1,1,1,100000008,510000001969,
158.062,,Segment,3,3,Image 1,1,1,100000008,510000001975,
194.062,,Segment,3,4,Image 1,1,1,100000008,510000001981,
181.625,,Segment,3,1,Image 1,1,1,100000008,510000001996,
