
Segment Center Intensity Min Ch=2 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
76,,Segment,2,2,Image 1,1,1,100000000,510000000003,
66,,Segment,2,2,Image 1,2,1,100000000,510000000023,
74,,Segment,2,3,Image 1,2,1,100000000,510000000028,
72,,Segment,2,3,Image 1,3,1,100000000,510000000050,
76,,Segment,2,1,Image 1,2,1,100000000,510000000064,
124,,Segment,2,2,Image 1,2,1,100000000,510000000068,
76,,Segment,2,1,Image 1,2,1,100000000,510000000073,
107,,Segment,2,2,Image 1,2,1,100000000,510000000075,
142,,Segment,2,2,Image 1,3,1,100000000,510000000083,
20,,Segment,2,2,Image 1,3,1,100000000,510000000086,
63,,Segment,2,3,Image 1,3,1,100000000,510000000093,
81,,Segment,2,4,Image 1,3,1,100000000,510000000096,
67,,Segment,2,4,Image 1,4,1,100000000,510000000103,
63,,Segment,2,3,Image 1,4,1,100000000,510000000110,
64,,Segment,2,3,Image 1,2,1,100000000,510000000117,
133,,Segment,2,4,Image 1,2,1,100000000,510000000124,
166,,Segment,2,4,Image 1,3,1,100000000,510000000134,
26,,Segment,2,3,Image 1,3,1,100000000,510000000137,
41,,Segment,2,2,Image 1,3,1,100000000,510000000149,
138,,Segment,2,3,Image 1,3,1,100000000,510000000151,
49,,Segment,2,3,Image 1,4,1,100000000,510000000163,
82,,Segment,2,3,Image 1,4,1,100000000,510000000184,
107,,Segment,2,2,Image 1,3,1,100000000,510000000209,
6,,Segment,2,2,Image 1,1,1,100000001,510000000226,
17,,Segment,2,3,Image 1,1,1,100000001,510000000230,
6,,Segment,2,2,Image 1,2,1,100000001,510000000252,
11,,Segment,2,1,Image 1,1,1,100000001,510000000264,
6,,Segment,2,3,Image 1,1,1,100000001,510000000274,
12,,Segment,2,3,Image 1,2,1,100000001,510000000282,
8,,Segment,2,4,Image 1,3,1,100000001,510000000314,
19,,Segment,2,2,Image 1,2,1,100000001,510000000318,
43,,Segment,2,3,Image 1,2,1,100000001,510000000326,
43,,Segment,2,4,Image 1,2,1,100000001,510000000350,
4,,Segment,2,4,Image 1,3,1,100000001,510000000359,
15,,Segment,2,1,Image 1,1,1,100000001,510000000384,
72,,Segment,2,2,Image 1,1,1,100000001,510000000397,
17,,Segment,2,3,Image 1,2,1,100000001,510000000402,
15,,Segment,2,1,Image 1,1,1,100000001,510000000417,
67,,Segment,2,3,Image 1,3,1,100000001,510000000438,
84,,Segment,2,2,Image 1,2,1,100000001,510000000458,
22,,Segment,2,1,Image 1,1,1,100000002,510000000474,
159,,Segment,2,2,Image 1,1,1,100000002,510000000493,
137,,Segment,2,3,Image 1,1,1,100000002,510000000496,
22,,Segment,2,1,Image 1,1,1,100000002,510000000506,
86,,Segment,2,2,Image 1,1,1,100000002,510000000514,
22,,Segment,2,1,Image 1,1,1,100000002,510000000526,
126,,Segment,2,2,Image 1,1,1,100000002,510000000535,
22,,Segment,2,1,Image 1,1,1,100000002,510000000544,
23,,Segment,2,2,Image 1,1,1,100000002,510000000546,
32,,Segment,2,3,Image 1,1,1,100000002,510000000554,
109,,Segment,2,3,Image 1,2,1,100000002,510000000563,
1,,Segment,2,1,Image 1,1,1,100000002,510000000581,
23,,Segment,2,2,Image 1,2,1,100000002,510000000605,
22,,Segment,2,1,Image 1,1,1,100000002,510000000623,
104,,Segment,2,2,Image 1,1,1,100000002,510000000626,
145,,Segment,2,3,Image 1,2,1,100000002,510000000644,
159,,Segment,2,3,Image 1,2,1,100000002,510000000647,
