
Segment Intensity Mean Ch=3 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
164.756,,Segment,3,2,Image 1,1,1,100000000,510000000003,
109.124,,Segment,3,2,Image 1,2,1,100000000,510000000023,
130.154,,Segment,3,3,Image 1,2,1,100000000,510000000028,
135.412,,Segment,3,3,Image 1,3,1,100000000,510000000050,
101.633,,Segment,3,1,Image 1,2,1,100000000,510000000064,
161.892,,Segment,3,2,Image 1,2,1,100000000,510000000068,
81.5411,,Segment,3,1,Image 1,2,1,100000000,510000000073,
153.243,,Segment,3,2,Image 1,2,1,100000000,510000000075,
178.356,,Segment,3,2,Image 1,3,1,100000000,510000000083,
95.9342,,Segment,3,2,Image 1,3,1,100000000,510000000086,
115.234,,Segment,3,3,Image 1,3,1,100000000,510000000093,
124.583,,Segment,3,4,Image 1,3,1,100000000,510000000096,
138.999,,Segment,3,4,Image 1,4,1,100000000,510000000103,
147.67,,Segment,3,3,Image 1,4,1,100000000,510000000110,
104.458,,Segment,3,3,Image 1,2,1,100000000,510000000117,
160.135,,Segment,3,4,Image 1,2,1,100000000,510000000124,
151.344,,Segment,3,4,Image 1,3,1,100000000,510000000134,
77.7847,,Segment,3,3,Image 1,3,1,100000000,510000000137,
71.8172,,Segment,3,2,Image 1,3,1,100000000,510000000149,
176.839,,Segment,3,3,Image 1,3,1,100000000,510000000151,
146.739,,Segment,3,3,Image 1,4,1,100000000,510000000163,
163.038,,Segment,3,3,Image 1,4,1,100000000,510000000184,
168.271,,Segment,3,2,Image 1,3,1,100000000,510000000209,
65.1992,,Segment,3,2,Image 1,1,1,100000001,510000000226,
162.484,,Segment,3,3,Image 1,1,1,100000001,510000000230,
142.54,,Segment,3,2,Image 1,2,1,100000001,510000000252,
93.6126,,Segment,3,1,Image 1,1,1,100000001,510000000264,
138.352,,Segment,3,3,Image 1,1,1,100000001,510000000274,
143.104,,Segment,3,3,Image 1,2,1,100000001,510000000282,
186.781,,Segment,3,4,Image 1,3,1,100000001,510000000314,
93.8103,,Segment,3,2,Image 1,2,1,100000001,510000000318,
145.882,,Segment,3,3,Image 1,2,1,100000001,510000000326,
182.324,,Segment,3,4,Image 1,2,1,100000001,510000000350,
181.866,,Segment,3,4,Image 1,3,1,100000001,510000000359,
61.5993,,Segment,3,1,Image 1,1,1,100000001,510000000384,
143.21,,Segment,3,2,Image 1,1,1,100000001,510000000397,
145.359,,Segment,3,3,Image 1,2,1,100000001,510000000402,
73.2214,,Segment,3,1,Image 1,1,1,100000001,510000000417,
158.868,,Segment,3,3,Image 1,3,1,100000001,510000000438,
157.42,,Segment,3,2,Image 1,2,1,100000001,510000000458,
92.7721,,Segment,3,1,Image 1,1,1,100000002,510000000474,
178.887,,Segment,3,2,Image 1,1,1,100000002,510000000493,
172.406,,Segment,3,3,Image 1,1,1,100000002,510000000496,
65.6635,,Segment,3,1,Image 1,1,1,100000002,510000000506,
183.58,,Segment,3,2,Image 1,1,1,100000002,510000000514,
70.0474,,Segment,3,1,Image 1,1,1,100000002,510000000526,
197.002,,Segment,3,2,Image 1,1,1,100000002,510000000535,
27.8882,,Segment,3,1,Image 1,1,1,100000002,510000000544,
89.5251,,Segment,3,2,Image 1,1,1,100000002,510000000546,
143.028,,Segment,3,3,Image 1,1,1,100000002,510000000554,
179.922,,Segment,3,3,Image 1,2,1,100000002,510000000563,
72.8685,,Segment,3,1,Image 1,1,1,100000002,510000000581,
145.191,,Segment,3,2,Image 1,2,1,100000002,510000000605,
40.934,,Segment,3,1,Image 1,1,1,100000002,510000000623,
