
Segment Branching Angle B
 ==================== 
Segment Branching Angle B,Unit,Category,Depth,Level,Time,FilamentID,ID,
11.8885,°,Segment,2,1,1,100000006,510000001331,
61.9692,°,Segment,2,2,1,100000006,510000001353,
19.7623,°,Segment,2,2,1,100000006,510000001379,
15.6745,°,Segment,4,2,1,100000006,510000001399,
7.97425,°,Segment,3,1,1,100000006,510000001408,
57.9996,°,Segment,2,2,1,100000006,510000001416,
32.4658,°,Segment,3,2,1,100000006,510000001418,
17.5311,°,Segment,3,3,1,100000006,510000001430,
18.4669,°,Segment,3,2,1,100000006,510000001448,
43.2968,°,Segment,3,2,1,100000006,510000001465,
11.0592,°,Segment,4,3,1,100000006,510000001486,
6.74282,°,Segment,2,1,1,100000007,510000001536,
14.9527,°,Segment,3,1,1,100000007,510000001546,
1.88222,°,Segment,4,1,1,100000007,510000001549,
13.6575,°,Segment,5,1,1,100000007,510000001551,
16.4264,°,Segment,6,1,1,100000007,510000001573,
12.6969,°,Segment,6,2,1,100000007,510000001575,
21.3493,°,Segment,3,2,1,100000007,510000001583,
32.4434,°,Segment,2,2,1,100000007,510000001620,
7.74162,°,Segment,3,2,1,100000007,510000001624,
6.54401,°,Segment,4,2,1,100000007,510000001626,
43.1117,°,Segment,4,3,1,100000007,510000001628,
58.7426,°,Segment,3,3,1,100000007,510000001630,
0,°,Segment,1,1,1,100000007,510000001632,
24.3566,°,Segment,2,1,1,100000007,510000001634,
26.3959,°,Segment,2,1,1,100000007,510000001639,
16.3471,°,Segment,2,2,1,100000007,510000001655,
2.78284,°,Segment,3,2,1,100000007,510000001659,
43.0008,°,Segment,3,3,1,100000007,510000001680,
52.6916,°,Segment,2,2,1,100000007,510000001689,
46.9066,°,Segment,5,2,1,100000007,510000001704,
19.2609,°,Segment,4,2,1,100000007,510000001717,
47.5696,°,Segment,2,2,1,100000007,510000001731,
0,°,Segment,1,1,1,100000008,510000001749,
0,°,Segment,1,1,1,100000008,510000001766,
11.9285,°,Segment,2,1,1,100000008,510000001768,
44.2012,°,Segment,4,1,1,100000008,510000001772,
64.9555,°,Segment,4,2,1,100000008,510000001788,
9.11874,°,Segment,2,2,1,100000008,510000001800,
11.0386,°,Segment,3,2,1,100000008,510000001831,
8.26149,°,Segment,3,3,1,100000008,510000001850,
52.8229,°,Segment,3,2,1,100000008,510000001867,
32.4447,°,Segment,4,2,1,100000008,510000001875,
0,°,Segment,1,1,1,100000008,510000001928,
0,°,Segment,1,1,1,100000008,510000001966,
16.0664,°,Segment,2,1,1,100000008,510000001969,
6.48452,°,Segment,3,1,1,100000008,510000001975,
20.7707,°,Segment,4,1,1,100000008,510000001981,
0,°,Segment,1,1,1,100000008,510000001996,
47.6112,°,Segment,3,2,1,100000008,510000002049,
47.0248,°,Segment,4,2,1,100000008,510000002070,
40.0301,°,Segment,2,2,1,100000008,510000002130,
0,°,Segment,1,1,1,100000008,510000002155,
17.5575,°,Segment,4,3,1,100000008,510000002180,
31.6822,°,Segment,5,3,1,100000008,510000002187,
11.0378,°,Segment,5,4,1,100000008,510000002191,
6.93856,°,Segment,2,1,1,100000009,510000002212,
2.81153,°,Segment,3,1,1,100000009,510000002215,
13.1782,°,Segment,4,1,1,100000009,510000002235,
11.3985,°,Segment,4,2,1,100000009,510000002237,
18.2132,°,Segment,2,2,1,100000009,510000002248,
66.6584,°,Segment,2,1,1,100000009,510000002271,
61.2635,°,Segment,2,2,1,100000009,510000002296,
61.5273,°,Segment,2,2,1,100000009,510000002305,
29.62,°,Segment,3,2,1,100000009,510000002310,
19.621,°,Segment,4,2,1,100000009,510000002314,
47.5064,°,Segment,4,3,1,100000009,510000002320,
21.6383,°,Segment,3,3,1,100000009,510000002333,
4.2105,°,Segment,2,1,1,100000009,510000002352,
82.3384,°,Segment,2,2,1,100000009,510000002376,
23.3429,°,Segment,3,3,1,100000009,510000002388,
38.0546,°,Segment,3,2,1,100000009,510000002396,
46.257,°,Segment,4,2,1,100000009,510000002398,
34.6872,°,Segment,4,3,1,100000009,510000002403,
45.2031,°,Segment,3,2,1,100000009,510000002417,
0,°,Segment,1,1,1,100000010,510000002436,
32.6046,°,Segment,2,1,1,100000010,510000002463,
39.633,°,Segment,2,2,1,100000010,510000002487,
9.74953,°,Segment,2,1,1,100000010,510000002501,
19.7986,°,Segment,3,1,1,100000010,510000002510,
38.6613,°,Segment,3,2,1,100000010,510000002538,
12.9152,°,Segment,4,2,1,100000010,510000002548,
32.0724,°,Segment,4,3,1,100000010,510000002565,
0,°,Segment,1,1,1,100000010,510000002584,
23.623,°,Segment,2,1,1,100000010,510000002588,
73.8207,°,Segment,2,2,1,100000010,510000002597,
6.1457,°,Segment,3,2,1,100000010,510000002602,
44.9144,°,Segment,4,3,1,100000010,510000002608,
0,°,Segment,1,1,1,100000010,510000002612,
12.9321,°,Segment,2,1,1,100000010,510000002624,
19.8057,°,Segment,2,2,1,100000010,510000002635,
6.75064,°,Segment,3,3,1,100000010,510000002672,
31.9587,°,Segment,4,3,1,100000010,510000002680,
45.5696,°,Segment,4,4,1,100000010,510000002707,
54.0408,°,Segment,2,2,1,100000010,510000002726,
0,°,Segment,1,1,1,100000010,510000002748,
5.6189,°,Segment,3,1,1,100000011,510000002766,
44.8293,°,Segment,3,2,1,100000011,510000002785,
11.6049,°,Segment,4,2,1,100000011,510000002792,
15.2077,°,Segment,4,3,1,100000011,510000002809,
6.06589,°,Segment,2,2,1,100000011,510000002827,
5.41262,°,Segment,3,1,1,100000011,510000002847,
37.0631,°,Segment,3,1,1,100000011,510000002860,
44.9508,°,Segment,2,2,1,100000011,510000002874,
0,°,Segment,1,1,1,100000011,510000002880,
74.3432,°,Segment,3,3,1,100000011,510000002898,
8.27498,°,Segment,3,2,1,100000011,510000002902,
23.0151,°,Segment,3,2,1,100000011,510000002917,
33.1514,°,Segment,3,3,1,100000011,510000002938,
57.2991,°,Segment,3,2,1,100000011,510000002946,
0,°,Segment,1,1,1,100000012,510000002958,
16.7258,°,Segment,2,1,1,100000012,510000002963,
11.1918,°,Segment,3,1,1,100000012,510000002974,
20.2558,°,Segment,3,2,1,100000012,510000003000,
22.8639,°,Segment,2,1,1,100000012,510000003014,
35.4264,°,Segment,2,2,1,100000012,510000003040,
0,°,Segment,1,1,1,100000012,510000003065,
9.82727,°,Segment,2,1,1,100000012,510000003067,
56.5574,°,Segment,2,2,1,100000012,510000003086,
9.69907,°,Segment,2,2,1,100000012,510000003109,
86.3404,°,Segment,2,1,1,100000012,510000003121,
10.6779,°,Segment,3,1,1,100000012,510000003124,
15.8485,°,Segment,4,1,1,100000012,510000003130,
25.2165,°,Segment,4,2,1,100000012,510000003147,
12.2719,°,Segment,5,2,1,100000012,510000003157,
24.4505,°,Segment,5,3,1,100000012,510000003175,
5.13591,°,Segment,5,2,1,100000012,510000003190,
12.452,°,Segment,2,2,1,100000012,510000003198,
17.0716,°,Segment,2,2,1,100000012,510000003232,
42.5742,°,Segment,3,2,1,100000012,510000003243,
30.8725,°,Segment,4,1,1,100000013,510000003271,
33.4433,°,Segment,3,2,1,100000013,510000003294,
20.7722,°,Segment,4,2,1,100000013,510000003296,
13.2263,°,Segment,4,2,1,100000013,510000003319,
30.1357,°,Segment,3,2,1,100000013,510000003334,
6.66159,°,Segment,4,2,1,100000013,510000003336,
26.2238,°,Segment,4,3,1,100000013,510000003352,
6.04465,°,Segment,2,1,1,100000013,510000003369,
25.4578,°,Segment,3,1,1,100000013,510000003372,
64.6946,°,Segment,2,2,1,100000013,510000003375,
91.8606,°,Segment,2,2,1,100000013,510000003389,
0,°,Segment,1,1,1,100000013,510000003402,
43.2898,°,Segment,2,1,1,100000013,510000003405,
19.8896,°,Segment,2,2,1,100000013,510000003429,
26.3677,°,Segment,3,3,1,100000013,510000003442,
45.7279,°,Segment,4,3,1,100000013,510000003451,
38.7953,°,Segment,3,2,1,100000013,510000003473,
0,°,Segment,1,1,1,100000014,510000003491,
11.2526,°,Segment,4,1,1,100000014,510000003501,
71.8749,°,Segment,3,2,1,100000014,510000003507,
0,°,Segment,1,1,1,100000014,510000003515,
39.1999,°,Segment,3,2,1,100000014,510000003518,
0,°,Segment,1,1,1,100000014,510000003527,
36.3235,°,Segment,2,2,1,100000014,510000003529,
44.1817,°,Segment,2,1,1,100000014,510000003552,
12.1862,°,Segment,3,1,1,100000014,510000003554,
54.434,°,Segment,3,2,1,100000014,510000003570,
26.8984,°,Segment,4,2,1,100000014,510000003582,
55.1602,°,Segment,2,2,1,100000014,510000003592,
26.361,°,Segment,4,1,1,100000014,510000003609,
51.5465,°,Segment,4,2,1,100000014,510000003635,
72.078,°,Segment,2,2,1,100000014,510000003640,
33.1632,°,Segment,3,2,1,100000014,510000003647,
50.6823,°,Segment,3,3,1,100000014,510000003656,
0,°,Segment,0,1,1,100000000,510000003676,
8.20652,°,Segment,1,1,1,100000000,510000003677,
159.842,°,Segment,1,2,1,100000000,510000003678,
2.74901,°,Segment,2,2,1,100000000,510000003679,
0,°,Segment,1,1,1,100000001,510000003680,
0,°,Segment,1,1,1,100000001,510000003681,
7.30412,°,Segment,2,1,1,100000001,510000003682,
90.8487,°,Segment,4,2,1,100000001,510000003683,
15.6477,°,Segment,4,1,1,100000002,510000003684,
0,°,Segment,1,1,1,100000003,510000003685,
0,°,Segment,1,1,1,100000004,510000003686,
3.87368,°,Segment,2,1,1,100000004,510000003687,
116.546,°,Segment,2,2,1,100000004,510000003688,
12.0682,°,Segment,3,3,1,100000004,510000003689,
0,°,Segment,0,1,1,100000005,510000003690,
151.376,°,Segment,1,2,1,100000005,510000003691,
14.0807,°,Segment,2,2,1,100000005,510000003692,
42.6051,°,Segment,3,2,1,100000005,510000003693,
88.8874,°,Segment,6,2,1,100000005,510000003694,
10.3076,°,Segment,3,2,1,100000006,510000003695,
