
Segment Position Y
 ==================== 
Segment Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
13647.2,µm,Segment,Segment Position,3,3,1,100000005,510000001055,
13731.5,µm,Segment,Segment Position,4,2,1,100000005,510000001076,
13753.9,µm,Segment,Segment Position,5,2,1,100000005,510000001082,
13779.6,µm,Segment,Segment Position,6,3,1,100000005,510000001086,
13789.1,µm,Segment,Segment Position,7,2,1,100000005,510000001093,
13765.5,µm,Segment,Segment Position,7,3,1,100000005,510000001101,
13723.6,µm,Segment,Segment Position,4,3,1,100000005,510000001110,
13720.6,µm,Segment,Segment Position,5,3,1,100000005,510000001117,
13710.8,µm,Segment,Segment Position,5,4,1,100000005,510000001124,
13741.4,µm,Segment,Segment Position,5,3,1,100000005,510000001129,
13718.3,µm,Segment,Segment Position,2,3,1,100000005,510000001133,
13791.2,µm,Segment,Segment Position,3,4,1,100000005,510000001136,
13735.4,µm,Segment,Segment Position,3,3,1,100000005,510000001156,
13745.9,µm,Segment,Segment Position,4,3,1,100000005,510000001159,
13725.2,µm,Segment,Segment Position,4,4,1,100000005,510000001175,
13659,µm,Segment,Segment Position,3,2,1,100000005,510000001191,
13638.3,µm,Segment,Segment Position,4,2,1,100000005,510000001204,
13627.8,µm,Segment,Segment Position,4,3,1,100000005,510000001221,
13779.9,µm,Segment,Segment Position,3,4,1,100000005,510000001236,
12761.7,µm,Segment,Segment Position,1,1,1,100000006,510000001259,
12729.1,µm,Segment,Segment Position,2,1,1,100000006,510000001262,
12685.2,µm,Segment,Segment Position,3,1,1,100000006,510000001267,
12732.6,µm,Segment,Segment Position,2,2,1,100000006,510000001272,
12697.3,µm,Segment,Segment Position,3,3,1,100000006,510000001278,
12914.5,µm,Segment,Segment Position,2,1,1,100000006,510000001285,
12776.4,µm,Segment,Segment Position,1,1,1,100000006,510000001329,
12882.9,µm,Segment,Segment Position,2,1,1,100000006,510000001331,
12878,µm,Segment,Segment Position,2,2,1,100000006,510000001353,
12823.4,µm,Segment,Segment Position,2,2,1,100000006,510000001379,
12686,µm,Segment,Segment Position,4,2,1,100000006,510000001399,
12723.2,µm,Segment,Segment Position,3,1,1,100000006,510000001408,
12757.1,µm,Segment,Segment Position,2,2,1,100000006,510000001416,
12741.9,µm,Segment,Segment Position,3,2,1,100000006,510000001418,
12757.3,µm,Segment,Segment Position,3,3,1,100000006,510000001430,
12668.1,µm,Segment,Segment Position,3,2,1,100000006,510000001448,
12652.6,µm,Segment,Segment Position,3,2,1,100000006,510000001465,
12581.5,µm,Segment,Segment Position,4,3,1,100000006,510000001486,
12135.4,µm,Segment,Segment Position,2,1,1,100000007,510000001536,
12187.4,µm,Segment,Segment Position,3,1,1,100000007,510000001546,
12200.8,µm,Segment,Segment Position,4,1,1,100000007,510000001549,
12266.9,µm,Segment,Segment Position,5,1,1,100000007,510000001551,
12326,µm,Segment,Segment Position,6,1,1,100000007,510000001573,
12351.7,µm,Segment,Segment Position,6,2,1,100000007,510000001575,
12260.5,µm,Segment,Segment Position,3,2,1,100000007,510000001583,
12104.3,µm,Segment,Segment Position,2,2,1,100000007,510000001620,
12113.5,µm,Segment,Segment Position,3,2,1,100000007,510000001624,
12121.9,µm,Segment,Segment Position,4,2,1,100000007,510000001626,
12117.2,µm,Segment,Segment Position,4,3,1,100000007,510000001628,
12107.2,µm,Segment,Segment Position,3,3,1,100000007,510000001630,
12075,µm,Segment,Segment Position,1,1,1,100000007,510000001632,
