
Segment Mean Diameter
 ==================== 
Segment Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
15.5782,µm,Segment,1,1,1,100000006,510000001259,
8.52479,µm,Segment,2,1,1,100000006,510000001262,
6.78058,µm,Segment,3,1,1,100000006,510000001267,
6.94174,µm,Segment,2,2,1,100000006,510000001272,
6.1483,µm,Segment,3,3,1,100000006,510000001278,
8.09091,µm,Segment,2,1,1,100000006,510000001285,
17.7952,µm,Segment,1,1,1,100000006,510000001329,
7.97583,µm,Segment,2,1,1,100000006,510000001331,
6.59707,µm,Segment,2,2,1,100000006,510000001353,
6.71816,µm,Segment,2,2,1,100000006,510000001379,
6.04814,µm,Segment,4,2,1,100000006,510000001399,
7.71733,µm,Segment,3,1,1,100000006,510000001408,
8.93186,µm,Segment,2,2,1,100000006,510000001416,
6.47756,µm,Segment,3,2,1,100000006,510000001418,
6.16316,µm,Segment,3,3,1,100000006,510000001430,
6.25473,µm,Segment,3,2,1,100000006,510000001448,
6.48675,µm,Segment,3,2,1,100000006,510000001465,
6.0335,µm,Segment,4,3,1,100000006,510000001486,
14.7514,µm,Segment,2,1,1,100000007,510000001536,
13.7489,µm,Segment,3,1,1,100000007,510000001546,
13.546,µm,Segment,4,1,1,100000007,510000001549,
12.6664,µm,Segment,5,1,1,100000007,510000001551,
11.8151,µm,Segment,6,1,1,100000007,510000001573,
11.7715,µm,Segment,6,2,1,100000007,510000001575,
11.9615,µm,Segment,3,2,1,100000007,510000001583,
13.2443,µm,Segment,2,2,1,100000007,510000001620,
12.0368,µm,Segment,3,2,1,100000007,510000001624,
11.8365,µm,Segment,4,2,1,100000007,510000001626,
11.8217,µm,Segment,4,3,1,100000007,510000001628,
11.9121,µm,Segment,3,3,1,100000007,510000001630,
20.3311,µm,Segment,1,1,1,100000007,510000001632,
12.8259,µm,Segment,2,1,1,100000007,510000001634,
13.4503,µm,Segment,2,1,1,100000007,510000001639,
13.4157,µm,Segment,2,2,1,100000007,510000001655,
12.044,µm,Segment,3,2,1,100000007,510000001659,
11.8773,µm,Segment,3,3,1,100000007,510000001680,
12.3715,µm,Segment,2,2,1,100000007,510000001689,
12.0055,µm,Segment,5,2,1,100000007,510000001704,
12.0105,µm,Segment,4,2,1,100000007,510000001717,
12.0577,µm,Segment,2,2,1,100000007,510000001731,
18.9139,µm,Segment,1,1,1,100000008,510000001749,
14.1044,µm,Segment,1,1,1,100000008,510000001766,
11.16,µm,Segment,2,1,1,100000008,510000001768,
10.2135,µm,Segment,4,1,1,100000008,510000001772,
9.88234,µm,Segment,4,2,1,100000008,510000001788,
9.95855,µm,Segment,2,2,1,100000008,510000001800,
9.75034,µm,Segment,3,2,1,100000008,510000001831,
9.71823,µm,Segment,3,3,1,100000008,510000001850,
10.0601,µm,Segment,3,2,1,100000008,510000001867,
9.79283,µm,Segment,4,2,1,100000008,510000001875,
10.6841,µm,Segment,1,1,1,100000008,510000001928,
13.4566,µm,Segment,1,1,1,100000008,510000001966,
11.0364,µm,Segment,2,1,1,100000008,510000001969,
10.5408,µm,Segment,3,1,1,100000008,510000001975,
9.97764,µm,Segment,4,1,1,100000008,510000001981,
10.6326,µm,Segment,1,1,1,100000008,510000001996,
9.84015,µm,Segment,3,2,1,100000008,510000002049,
9.77157,µm,Segment,4,2,1,100000008,510000002070,
9.89504,µm,Segment,2,2,1,100000008,510000002130,
10.8138,µm,Segment,1,1,1,100000008,510000002155,
9.7533,µm,Segment,4,3,1,100000008,510000002180,
9.71122,µm,Segment,5,3,1,100000008,510000002187,
9.70716,µm,Segment,5,4,1,100000008,510000002191,
11.5604,µm,Segment,2,1,1,100000009,510000002212,
9.88501,µm,Segment,3,1,1,100000009,510000002215,
8.89245,µm,Segment,4,1,1,100000009,510000002235,
8.84519,µm,Segment,4,2,1,100000009,510000002237,
9.27575,µm,Segment,2,2,1,100000009,510000002248,
9.90659,µm,Segment,2,1,1,100000009,510000002271,
9.44342,µm,Segment,2,2,1,100000009,510000002296,
9.88354,µm,Segment,2,2,1,100000009,510000002305,
9.10789,µm,Segment,3,2,1,100000009,510000002310,
8.90956,µm,Segment,4,2,1,100000009,510000002314,
8.8533,µm,Segment,4,3,1,100000009,510000002320,
8.875,µm,Segment,3,3,1,100000009,510000002333,
10.0097,µm,Segment,2,1,1,100000009,510000002352,
9.54487,µm,Segment,2,2,1,100000009,510000002376,
8.91371,µm,Segment,3,3,1,100000009,510000002388,
8.92379,µm,Segment,3,2,1,100000009,510000002396,
8.83782,µm,Segment,4,2,1,100000009,510000002398,
8.82615,µm,Segment,4,3,1,100000009,510000002403,
5.39037,µm,Segment,3,2,1,100000009,510000002417,
12.2864,µm,Segment,1,1,1,100000010,510000002436,
10.9682,µm,Segment,2,1,1,100000010,510000002463,
10.7738,µm,Segment,2,2,1,100000010,510000002487,
12.3684,µm,Segment,2,1,1,100000010,510000002501,
11.2456,µm,Segment,3,1,1,100000010,510000002510,
10.9704,µm,Segment,3,2,1,100000010,510000002538,
10.7359,µm,Segment,4,2,1,100000010,510000002548,
10.6932,µm,Segment,4,3,1,100000010,510000002565,
14.0489,µm,Segment,1,1,1,100000010,510000002584,
11.2025,µm,Segment,2,1,1,100000010,510000002588,
11.0176,µm,Segment,2,2,1,100000010,510000002597,
10.7337,µm,Segment,3,2,1,100000010,510000002602,
10.6804,µm,Segment,4,3,1,100000010,510000002608,
12.6655,µm,Segment,1,1,1,100000010,510000002612,
11.0197,µm,Segment,2,1,1,100000010,510000002624,
10.752,µm,Segment,2,2,1,100000010,510000002635,
10.7046,µm,Segment,3,3,1,100000010,510000002672,
10.6826,µm,Segment,4,3,1,100000010,510000002680,
10.6782,µm,Segment,4,4,1,100000010,510000002707,
10.9824,µm,Segment,2,2,1,100000010,510000002726,
12.0543,µm,Segment,1,1,1,100000010,510000002748,
15.5546,µm,Segment,3,1,1,100000011,510000002766,
12.3939,µm,Segment,3,2,1,100000011,510000002785,
10.1244,µm,Segment,4,2,1,100000011,510000002792,
9.86301,µm,Segment,4,3,1,100000011,510000002809,
12.7728,µm,Segment,2,2,1,100000011,510000002827,
10.4091,µm,Segment,3,1,1,100000011,510000002847,
12.1572,µm,Segment,3,1,1,100000011,510000002860,
12.7416,µm,Segment,2,2,1,100000011,510000002874,
14.6395,µm,Segment,1,1,1,100000011,510000002880,
9.75247,µm,Segment,3,3,1,100000011,510000002898,
10.4042,µm,Segment,3,2,1,100000011,510000002902,
10.4742,µm,Segment,3,2,1,100000011,510000002917,
10.1566,µm,Segment,3,3,1,100000011,510000002938,
10.1073,µm,Segment,3,2,1,100000011,510000002946,
24.9368,µm,Segment,1,1,1,100000012,510000002958,
20.3139,µm,Segment,2,1,1,100000012,510000002963,
18.2761,µm,Segment,3,1,1,100000012,510000002974,
17.5513,µm,Segment,3,2,1,100000012,510000003000,
19.3527,µm,Segment,2,1,1,100000012,510000003014,
17.9223,µm,Segment,2,2,1,100000012,510000003040,
28.3819,µm,Segment,1,1,1,100000012,510000003065,
18.9965,µm,Segment,2,1,1,100000012,510000003067,
17.7434,µm,Segment,2,2,1,100000012,510000003086,
19.1816,µm,Segment,2,2,1,100000012,510000003109,
19.552,µm,Segment,2,1,1,100000012,510000003121,
17.9742,µm,Segment,3,1,1,100000012,510000003124,
17.4979,µm,Segment,4,1,1,100000012,510000003130,
17.3354,µm,Segment,4,2,1,100000012,510000003147,
17.2236,µm,Segment,5,2,1,100000012,510000003157,
17.204,µm,Segment,5,3,1,100000012,510000003175,
17.1987,µm,Segment,5,2,1,100000012,510000003190,
17.6568,µm,Segment,2,2,1,100000012,510000003198,
17.8319,µm,Segment,2,2,1,100000012,510000003232,
17.3192,µm,Segment,3,2,1,100000012,510000003243,
9.00581,µm,Segment,4,1,1,100000013,510000003271,
7.8641,µm,Segment,3,2,1,100000013,510000003294,
6.95684,µm,Segment,4,2,1,100000013,510000003296,
7.18201,µm,Segment,4,2,1,100000013,510000003319,
8.73199,µm,Segment,3,2,1,100000013,510000003334,
6.95343,µm,Segment,4,2,1,100000013,510000003336,
6.74131,µm,Segment,4,3,1,100000013,510000003352,
9.48712,µm,Segment,2,1,1,100000013,510000003369,
7.4125,µm,Segment,3,1,1,100000013,510000003372,
7.4473,µm,Segment,2,2,1,100000013,510000003375,
7.42134,µm,Segment,2,2,1,100000013,510000003389,
14.8967,µm,Segment,1,1,1,100000013,510000003402,
7.67446,µm,Segment,2,1,1,100000013,510000003405,
7.09782,µm,Segment,2,2,1,100000013,510000003429,
6.90917,µm,Segment,3,3,1,100000013,510000003442,
6.73075,µm,Segment,4,3,1,100000013,510000003451,
6.8229,µm,Segment,3,2,1,100000013,510000003473,
11.9944,µm,Segment,1,1,1,100000014,510000003491,
8.08165,µm,Segment,4,1,1,100000014,510000003501,
7.38665,µm,Segment,3,2,1,100000014,510000003507,
19.3195,µm,Segment,1,1,1,100000014,510000003515,
8.25993,µm,Segment,3,2,1,100000014,510000003518,
19.2761,µm,Segment,1,1,1,100000014,510000003527,
8.05977,µm,Segment,2,2,1,100000014,510000003529,
8.67509,µm,Segment,2,1,1,100000014,510000003552,
6.88725,µm,Segment,3,1,1,100000014,510000003554,
6.73236,µm,Segment,3,2,1,100000014,510000003570,
7.19578,µm,Segment,4,2,1,100000014,510000003582,
7.40507,µm,Segment,2,2,1,100000014,510000003592,
6.87052,µm,Segment,4,1,1,100000014,510000003609,
6.84372,µm,Segment,4,2,1,100000014,510000003635,
7.77163,µm,Segment,2,2,1,100000014,510000003640,
6.8227,µm,Segment,3,2,1,100000014,510000003647,
6.67951,µm,Segment,3,3,1,100000014,510000003656,
26.6758,µm,Segment,0,1,1,100000000,510000003676,
15.7592,µm,Segment,1,1,1,100000000,510000003677,
11.3629,µm,Segment,1,2,1,100000000,510000003678,
5.5854,µm,Segment,2,2,1,100000000,510000003679,
24.9456,µm,Segment,1,1,1,100000001,510000003680,
24.9456,µm,Segment,1,1,1,100000001,510000003681,
15.1316,µm,Segment,2,1,1,100000001,510000003682,
10.6981,µm,Segment,4,2,1,100000001,510000003683,
7.32487,µm,Segment,4,1,1,100000002,510000003684,
38.4631,µm,Segment,1,1,1,100000003,510000003685,
29.3434,µm,Segment,1,1,1,100000004,510000003686,
16.8659,µm,Segment,2,1,1,100000004,510000003687,
15.3432,µm,Segment,2,2,1,100000004,510000003688,
11.8431,µm,Segment,3,3,1,100000004,510000003689,
23.95,µm,Segment,0,1,1,100000005,510000003690,
12.0035,µm,Segment,1,2,1,100000005,510000003691,
9.35134,µm,Segment,2,2,1,100000005,510000003692,
8.68831,µm,Segment,3,2,1,100000005,510000003693,
8.05512,µm,Segment,6,2,1,100000005,510000003694,
6.1863,µm,Segment,3,2,1,100000006,510000003695,
21.2981,µm,Segment,1,1,1,100000006,510000003696,
21.2981,µm,Segment,1,1,1,100000006,510000003697,
11.0011,µm,Segment,2,1,1,100000006,510000003698,
23.4422,µm,Segment,1,1,1,100000007,510000003699,
23.4422,µm,Segment,1,1,1,100000007,510000003700,
10.8989,µm,Segment,3,1,1,100000008,510000003701,
17.6124,µm,Segment,1,1,1,100000009,510000003702,
17.6124,µm,Segment,1,1,1,100000009,510000003703,
17.6124,µm,Segment,1,1,1,100000009,510000003704,
17.007,µm,Segment,1,1,1,100000010,510000003705,
10.6836,µm,Segment,4,2,1,100000010,510000003706,
35.5055,µm,Segment,1,1,1,100000011,510000003707,
20.9039,µm,Segment,2,1,1,100000011,510000003708,
9.77707,µm,Segment,3,2,1,100000011,510000003709,
34.3008,µm,Segment,1,1,1,100000011,510000003710,
15.8546,µm,Segment,2,1,1,100000011,510000003711,
34.3008,µm,Segment,1,1,1,100000011,510000003712,
17.7876,µm,Segment,2,1,1,100000011,510000003713,
15.8546,µm,Segment,2,2,1,100000011,510000003714,
31.7877,µm,Segment,1,1,1,100000012,510000003715,
31.7877,µm,Segment,1,1,1,100000012,510000003716,
