
Segment Intensity Mean Ch=1 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
144.652,,Segment,1,7,Image 1,2,1,100000005,510000001093,
148.73,,Segment,1,7,Image 1,3,1,100000005,510000001101,
182.42,,Segment,1,4,Image 1,3,1,100000005,510000001110,
216.246,,Segment,1,5,Image 1,3,1,100000005,510000001117,
115.621,,Segment,1,5,Image 1,4,1,100000005,510000001124,
125.35,,Segment,1,5,Image 1,3,1,100000005,510000001129,
223.756,,Segment,1,2,Image 1,3,1,100000005,510000001133,
115.377,,Segment,1,3,Image 1,4,1,100000005,510000001136,
120.204,,Segment,1,3,Image 1,3,1,100000005,510000001156,
87.0696,,Segment,1,4,Image 1,3,1,100000005,510000001159,
83.9386,,Segment,1,4,Image 1,4,1,100000005,510000001175,
116.821,,Segment,1,3,Image 1,2,1,100000005,510000001191,
124.87,,Segment,1,4,Image 1,2,1,100000005,510000001204,
92.3753,,Segment,1,4,Image 1,3,1,100000005,510000001221,
131.291,,Segment,1,3,Image 1,4,1,100000005,510000001236,
192.313,,Segment,1,1,Image 1,1,1,100000006,510000001259,
155.174,,Segment,1,2,Image 1,1,1,100000006,510000001262,
162.893,,Segment,1,3,Image 1,1,1,100000006,510000001267,
142.693,,Segment,1,2,Image 1,2,1,100000006,510000001272,
112.603,,Segment,1,3,Image 1,3,1,100000006,510000001278,
110.115,,Segment,1,2,Image 1,1,1,100000006,510000001285,
191.371,,Segment,1,1,Image 1,1,1,100000006,510000001329,
123.542,,Segment,1,2,Image 1,1,1,100000006,510000001331,
123.79,,Segment,1,2,Image 1,2,1,100000006,510000001353,
144.823,,Segment,1,2,Image 1,2,1,100000006,510000001379,
143.987,,Segment,1,4,Image 1,2,1,100000006,510000001399,
116.799,,Segment,1,3,Image 1,1,1,100000006,510000001408,
186.673,,Segment,1,2,Image 1,2,1,100000006,510000001416,
122.481,,Segment,1,3,Image 1,2,1,100000006,510000001418,
108.483,,Segment,1,3,Image 1,3,1,100000006,510000001430,
141.104,,Segment,1,3,Image 1,2,1,100000006,510000001448,
125.827,,Segment,1,3,Image 1,2,1,100000006,510000001465,
138.813,,Segment,1,4,Image 1,3,1,100000006,510000001486,
135.173,,Segment,1,2,Image 1,1,1,100000007,510000001536,
101.587,,Segment,1,3,Image 1,1,1,100000007,510000001546,
86.4737,,Segment,1,4,Image 1,1,1,100000007,510000001549,
104.826,,Segment,1,5,Image 1,1,1,100000007,510000001551,
97.4835,,Segment,1,6,Image 1,1,1,100000007,510000001573,
97.9788,,Segment,1,6,Image 1,2,1,100000007,510000001575,
100.005,,Segment,1,3,Image 1,2,1,100000007,510000001583,
160.455,,Segment,1,2,Image 1,2,1,100000007,510000001620,
114.436,,Segment,1,3,Image 1,2,1,100000007,510000001624,
111.659,,Segment,1,4,Image 1,2,1,100000007,510000001626,
101.231,,Segment,1,4,Image 1,3,1,100000007,510000001628,
93.002,,Segment,1,3,Image 1,3,1,100000007,510000001630,
211.328,,Segment,1,1,Image 1,1,1,100000007,510000001632,
121.924,,Segment,1,2,Image 1,1,1,100000007,510000001634,
109.536,,Segment,1,2,Image 1,1,1,100000007,510000001639,
144.666,,Segment,1,2,Image 1,2,1,100000007,510000001655,
81.8997,,Segment,1,3,Image 1,2,1,100000007,510000001659,
90.851,,Segment,1,3,Image 1,3,1,100000007,510000001680,
144.191,,Segment,1,2,Image 1,2,1,100000007,510000001689,
87.0914,,Segment,1,5,Image 1,2,1,100000007,510000001704,
84.6611,,Segment,1,4,Image 1,2,1,100000007,510000001717,
112.554,,Segment,1,2,Image 1,2,1,100000007,510000001731,
114.631,,Segment,1,1,Image 1,1,1,100000008,510000001749,
229.969,,Segment,1,1,Image 1,1,1,100000008,510000001766,
191.557,,Segment,1,2,Image 1,1,1,100000008,510000001768,
134.726,,Segment,1,4,Image 1,1,1,100000008,510000001772,
138.151,,Segment,1,4,Image 1,2,1,100000008,510000001788,
123.436,,Segment,1,2,Image 1,2,1,100000008,510000001800,
87.0091,,Segment,1,3,Image 1,2,1,100000008,510000001831,
100.575,,Segment,1,3,Image 1,3,1,100000008,510000001850,
185.214,,Segment,1,3,Image 1,2,1,100000008,510000001867,
117.524,,Segment,1,4,Image 1,2,1,100000008,510000001875,
141.814,,Segment,1,1,Image 1,1,1,100000008,510000001928,
228.711,,Segment,1,1,Image 1,1,1,100000008,510000001966,
147.703,,Segment,1,2,Image 1,1,1,100000008,510000001969,
125.589,,Segment,1,3,Image 1,1,1,100000008,510000001975,
94.282,,Segment,1,4,Image 1,1,1,100000008,510000001981,
116.576,,Segment,1,1,Image 1,1,1,100000008,510000001996,
87.4266,,Segment,1,3,Image 1,2,1,100000008,510000002049,
95.1775,,Segment,1,4,Image 1,2,1,100000008,510000002070,
109.162,,Segment,1,2,Image 1,2,1,100000008,510000002130,
157.295,,Segment,1,1,Image 1,1,1,100000008,510000002155,
147.468,,Segment,1,4,Image 1,3,1,100000008,510000002180,
156.405,,Segment,1,5,Image 1,3,1,100000008,510000002187,
135.287,,Segment,1,5,Image 1,4,1,100000008,510000002191,
162.263,,Segment,1,2,Image 1,1,1,100000009,510000002212,
115.091,,Segment,1,3,Image 1,1,1,100000009,510000002215,
117.006,,Segment,1,4,Image 1,1,1,100000009,510000002235,
99.973,,Segment,1,4,Image 1,2,1,100000009,510000002237,
133.518,,Segment,1,2,Image 1,2,1,100000009,510000002248,
160.53,,Segment,1,2,Image 1,1,1,100000009,510000002271,
159.28,,Segment,1,2,Image 1,2,1,100000009,510000002296,
213.465,,Segment,1,2,Image 1,2,1,100000009,510000002305,
157.442,,Segment,1,3,Image 1,2,1,100000009,510000002310,
138.583,,Segment,1,4,Image 1,2,1,100000009,510000002314,
110.102,,Segment,1,4,Image 1,3,1,100000009,510000002320,
130.396,,Segment,1,3,Image 1,3,1,100000009,510000002333,
140.929,,Segment,1,2,Image 1,1,1,100000009,510000002352,
182.022,,Segment,1,2,Image 1,2,1,100000009,510000002376,
164.684,,Segment,1,3,Image 1,3,1,100000009,510000002388,
160.356,,Segment,1,3,Image 1,2,1,100000009,510000002396,
114.104,,Segment,1,4,Image 1,2,1,100000009,510000002398,
139.343,,Segment,1,4,Image 1,3,1,100000009,510000002403,
113.568,,Segment,1,3,Image 1,2,1,100000009,510000002417,
155.166,,Segment,1,1,Image 1,1,1,100000010,510000002436,
103.218,,Segment,1,2,Image 1,1,1,100000010,510000002463,
115.885,,Segment,1,2,Image 1,2,1,100000010,510000002487,
166.311,,Segment,1,2,Image 1,1,1,100000010,510000002501,
90.0884,,Segment,1,3,Image 1,1,1,100000010,510000002510,
129.716,,Segment,1,3,Image 1,2,1,100000010,510000002538,
128.606,,Segment,1,4,Image 1,2,1,100000010,510000002548,
155.389,,Segment,1,4,Image 1,3,1,100000010,510000002565,
222.885,,Segment,1,1,Image 1,1,1,100000010,510000002584,
141.698,,Segment,1,2,Image 1,1,1,100000010,510000002588,
152.949,,Segment,1,2,Image 1,2,1,100000010,510000002597,
175.707,,Segment,1,3,Image 1,2,1,100000010,510000002602,
103.036,,Segment,1,4,Image 1,3,1,100000010,510000002608,
176.832,,Segment,1,1,Image 1,1,1,100000010,510000002612,
97.4958,,Segment,1,2,Image 1,1,1,100000010,510000002624,
139.811,,Segment,1,2,Image 1,2,1,100000010,510000002635,
163.219,,Segment,1,3,Image 1,3,1,100000010,510000002672,
128.345,,Segment,1,4,Image 1,3,1,100000010,510000002680,
159.259,,Segment,1,4,Image 1,4,1,100000010,510000002707,
155.385,,Segment,1,2,Image 1,2,1,100000010,510000002726,
202.252,,Segment,1,1,Image 1,1,1,100000010,510000002748,
110.958,,Segment,1,3,Image 1,1,1,100000011,510000002766,
133.271,,Segment,1,3,Image 1,2,1,100000011,510000002785,
91.463,,Segment,1,4,Image 1,2,1,100000011,510000002792,
96.4651,,Segment,1,4,Image 1,3,1,100000011,510000002809,
137.584,,Segment,1,2,Image 1,2,1,100000011,510000002827,
99.7474,,Segment,1,3,Image 1,1,1,100000011,510000002847,
105.63,,Segment,1,3,Image 1,1,1,100000011,510000002860,
161.667,,Segment,1,2,Image 1,2,1,100000011,510000002874,
182.018,,Segment,1,1,Image 1,1,1,100000011,510000002880,
89.5848,,Segment,1,3,Image 1,3,1,100000011,510000002898,
128.091,,Segment,1,3,Image 1,2,1,100000011,510000002902,
125.427,,Segment,1,3,Image 1,2,1,100000011,510000002917,
94.5121,,Segment,1,3,Image 1,3,1,100000011,510000002938,
111.604,,Segment,1,3,Image 1,2,1,100000011,510000002946,
197.657,,Segment,1,1,Image 1,1,1,100000012,510000002958,
102.244,,Segment,1,2,Image 1,1,1,100000012,510000002963,
90.4732,,Segment,1,3,Image 1,1,1,100000012,510000002974,
99.5473,,Segment,1,3,Image 1,2,1,100000012,510000003000,
127.511,,Segment,1,2,Image 1,1,1,100000012,510000003014,
138.771,,Segment,1,2,Image 1,2,1,100000012,510000003040,
230.179,,Segment,1,1,Image 1,1,1,100000012,510000003065,
99.309,,Segment,1,2,Image 1,1,1,100000012,510000003067,
115.422,,Segment,1,2,Image 1,2,1,100000012,510000003086,
136.862,,Segment,1,2,Image 1,2,1,100000012,510000003109,
195.295,,Segment,1,2,Image 1,1,1,100000012,510000003121,
133.079,,Segment,1,3,Image 1,1,1,100000012,510000003124,
126.239,,Segment,1,4,Image 1,1,1,100000012,510000003130,
131.505,,Segment,1,4,Image 1,2,1,100000012,510000003147,
88.4506,,Segment,1,5,Image 1,2,1,100000012,510000003157,
95.2037,,Segment,1,5,Image 1,3,1,100000012,510000003175,
143.916,,Segment,1,5,Image 1,2,1,100000012,510000003190,
108.305,,Segment,1,2,Image 1,2,1,100000012,510000003198,
