
Segment Center Intensity Min Ch=4 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,4,3,Image 1,4,1,100000005,510000001136,
0,,Segment,4,3,Image 1,3,1,100000005,510000001156,
0,,Segment,4,4,Image 1,3,1,100000005,510000001159,
0,,Segment,4,4,Image 1,4,1,100000005,510000001175,
0,,Segment,4,3,Image 1,2,1,100000005,510000001191,
0,,Segment,4,4,Image 1,2,1,100000005,510000001204,
0,,Segment,4,4,Image 1,3,1,100000005,510000001221,
0,,Segment,4,3,Image 1,4,1,100000005,510000001236,
0,,Segment,4,1,Image 1,1,1,100000006,510000001259,
0,,Segment,4,2,Image 1,1,1,100000006,510000001262,
0,,Segment,4,3,Image 1,1,1,100000006,510000001267,
0,,Segment,4,2,Image 1,2,1,100000006,510000001272,
0,,Segment,4,3,Image 1,3,1,100000006,510000001278,
0,,Segment,4,2,Image 1,1,1,100000006,510000001285,
0,,Segment,4,1,Image 1,1,1,100000006,510000001329,
0,,Segment,4,2,Image 1,1,1,100000006,510000001331,
0,,Segment,4,2,Image 1,2,1,100000006,510000001353,
0,,Segment,4,2,Image 1,2,1,100000006,510000001379,
0,,Segment,4,4,Image 1,2,1,100000006,510000001399,
0,,Segment,4,3,Image 1,1,1,100000006,510000001408,
0,,Segment,4,2,Image 1,2,1,100000006,510000001416,
0,,Segment,4,3,Image 1,2,1,100000006,510000001418,
0,,Segment,4,3,Image 1,3,1,100000006,510000001430,
0,,Segment,4,3,Image 1,2,1,100000006,510000001448,
0,,Segment,4,3,Image 1,2,1,100000006,510000001465,
0,,Segment,4,4,Image 1,3,1,100000006,510000001486,
0,,Segment,4,2,Image 1,1,1,100000007,510000001536,
0,,Segment,4,3,Image 1,1,1,100000007,510000001546,
0,,Segment,4,4,Image 1,1,1,100000007,510000001549,
0,,Segment,4,5,Image 1,1,1,100000007,510000001551,
0,,Segment,4,6,Image 1,1,1,100000007,510000001573,
0,,Segment,4,6,Image 1,2,1,100000007,510000001575,
0,,Segment,4,3,Image 1,2,1,100000007,510000001583,
0,,Segment,4,2,Image 1,2,1,100000007,510000001620,
0,,Segment,4,3,Image 1,2,1,100000007,510000001624,
0,,Segment,4,4,Image 1,2,1,100000007,510000001626,
0,,Segment,4,4,Image 1,3,1,100000007,510000001628,
0,,Segment,4,3,Image 1,3,1,100000007,510000001630,
0,,Segment,4,1,Image 1,1,1,100000007,510000001632,
0,,Segment,4,2,Image 1,1,1,100000007,510000001634,
0,,Segment,4,2,Image 1,1,1,100000007,510000001639,
0,,Segment,4,2,Image 1,2,1,100000007,510000001655,
0,,Segment,4,3,Image 1,2,1,100000007,510000001659,
0,,Segment,4,3,Image 1,3,1,100000007,510000001680,
0,,Segment,4,2,Image 1,2,1,100000007,510000001689,
0,,Segment,4,5,Image 1,2,1,100000007,510000001704,
0,,Segment,4,4,Image 1,2,1,100000007,510000001717,
0,,Segment,4,2,Image 1,2,1,100000007,510000001731,
243,,Segment,4,1,Image 1,1,1,100000008,510000001749,
244,,Segment,4,1,Image 1,1,1,100000008,510000001766,
235,,Segment,4,2,Image 1,1,1,100000008,510000001768,
211,,Segment,4,4,Image 1,1,1,100000008,510000001772,
211,,Segment,4,4,Image 1,2,1,100000008,510000001788,
130,,Segment,4,2,Image 1,2,1,100000008,510000001800,
211,,Segment,4,3,Image 1,2,1,100000008,510000001831,
211,,Segment,4,3,Image 1,3,1,100000008,510000001850,
229,,Segment,4,3,Image 1,2,1,100000008,510000001867,
210,,Segment,4,4,Image 1,2,1,100000008,510000001875,
212,,Segment,4,1,Image 1,1,1,100000008,510000001928,
236,,Segment,4,1,Image 1,1,1,100000008,510000001966,
232,,Segment,4,2,Image 1,1,1,100000008,510000001969,
255,,Segment,4,3,Image 1,1,1,100000008,510000001975,
210,,Segment,4,4,Image 1,1,1,100000008,510000001981,
210,,Segment,4,1,Image 1,1,1,100000008,510000001996,
211,,Segment,4,3,Image 1,2,1,100000008,510000002049,
211,,Segment,4,4,Image 1,2,1,100000008,510000002070,
0,,Segment,4,2,Image 1,2,1,100000008,510000002130,
212,,Segment,4,1,Image 1,1,1,100000008,510000002155,
217,,Segment,4,4,Image 1,3,1,100000008,510000002180,
212,,Segment,4,5,Image 1,3,1,100000008,510000002187,
213,,Segment,4,5,Image 1,4,1,100000008,510000002191,
0,,Segment,4,2,Image 1,1,1,100000009,510000002212,
0,,Segment,4,3,Image 1,1,1,100000009,510000002215,
0,,Segment,4,4,Image 1,1,1,100000009,510000002235,
0,,Segment,4,4,Image 1,2,1,100000009,510000002237,
0,,Segment,4,2,Image 1,2,1,100000009,510000002248,
0,,Segment,4,2,Image 1,1,1,100000009,510000002271,
0,,Segment,4,2,Image 1,2,1,100000009,510000002296,
0,,Segment,4,2,Image 1,2,1,100000009,510000002305,
0,,Segment,4,3,Image 1,2,1,100000009,510000002310,
0,,Segment,4,4,Image 1,2,1,100000009,510000002314,
0,,Segment,4,4,Image 1,3,1,100000009,510000002320,
0,,Segment,4,3,Image 1,3,1,100000009,510000002333,
0,,Segment,4,2,Image 1,1,1,100000009,510000002352,
0,,Segment,4,2,Image 1,2,1,100000009,510000002376,
