
Segment Intensity Mean Ch=2 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
160.796,,Segment,2,2,Image 1,1,1,100000000,510000000003,
102.924,,Segment,2,2,Image 1,2,1,100000000,510000000023,
125.932,,Segment,2,3,Image 1,2,1,100000000,510000000028,
130.667,,Segment,2,3,Image 1,3,1,100000000,510000000050,
96.0033,,Segment,2,1,Image 1,2,1,100000000,510000000064,
156.546,,Segment,2,2,Image 1,2,1,100000000,510000000068,
76.4023,,Segment,2,1,Image 1,2,1,100000000,510000000073,
148.875,,Segment,2,2,Image 1,2,1,100000000,510000000075,
171.947,,Segment,2,2,Image 1,3,1,100000000,510000000083,
92.3257,,Segment,2,2,Image 1,3,1,100000000,510000000086,
112.701,,Segment,2,3,Image 1,3,1,100000000,510000000093,
122.302,,Segment,2,4,Image 1,3,1,100000000,510000000096,
135.571,,Segment,2,4,Image 1,4,1,100000000,510000000103,
145.471,,Segment,2,3,Image 1,4,1,100000000,510000000110,
99.5944,,Segment,2,3,Image 1,2,1,100000000,510000000117,
155.259,,Segment,2,4,Image 1,2,1,100000000,510000000124,
147.747,,Segment,2,4,Image 1,3,1,100000000,510000000134,
75.8436,,Segment,2,3,Image 1,3,1,100000000,510000000137,
69.9261,,Segment,2,2,Image 1,3,1,100000000,510000000149,
172.195,,Segment,2,3,Image 1,3,1,100000000,510000000151,
143.359,,Segment,2,3,Image 1,4,1,100000000,510000000163,
158.972,,Segment,2,3,Image 1,4,1,100000000,510000000184,
163.44,,Segment,2,2,Image 1,3,1,100000000,510000000209,
63.0196,,Segment,2,2,Image 1,1,1,100000001,510000000226,
157.751,,Segment,2,3,Image 1,1,1,100000001,510000000230,
139.785,,Segment,2,2,Image 1,2,1,100000001,510000000252,
91.2418,,Segment,2,1,Image 1,1,1,100000001,510000000264,
133.534,,Segment,2,3,Image 1,1,1,100000001,510000000274,
138.058,,Segment,2,3,Image 1,2,1,100000001,510000000282,
182.381,,Segment,2,4,Image 1,3,1,100000001,510000000314,
90.27,,Segment,2,2,Image 1,2,1,100000001,510000000318,
140.374,,Segment,2,3,Image 1,2,1,100000001,510000000326,
178.685,,Segment,2,4,Image 1,2,1,100000001,510000000350,
175.687,,Segment,2,4,Image 1,3,1,100000001,510000000359,
59.9379,,Segment,2,1,Image 1,1,1,100000001,510000000384,
139.427,,Segment,2,2,Image 1,1,1,100000001,510000000397,
139.275,,Segment,2,3,Image 1,2,1,100000001,510000000402,
70.5068,,Segment,2,1,Image 1,1,1,100000001,510000000417,
155.747,,Segment,2,3,Image 1,3,1,100000001,510000000438,
154.501,,Segment,2,2,Image 1,2,1,100000001,510000000458,
89.474,,Segment,2,1,Image 1,1,1,100000002,510000000474,
173.242,,Segment,2,2,Image 1,1,1,100000002,510000000493,
165.801,,Segment,2,3,Image 1,1,1,100000002,510000000496,
62.902,,Segment,2,1,Image 1,1,1,100000002,510000000506,
178.586,,Segment,2,2,Image 1,1,1,100000002,510000000514,
66.9505,,Segment,2,1,Image 1,1,1,100000002,510000000526,
191.172,,Segment,2,2,Image 1,1,1,100000002,510000000535,
26.6806,,Segment,2,1,Image 1,1,1,100000002,510000000544,
82.4633,,Segment,2,2,Image 1,1,1,100000002,510000000546,
137.124,,Segment,2,3,Image 1,1,1,100000002,510000000554,
174.362,,Segment,2,3,Image 1,2,1,100000002,510000000563,
69.8704,,Segment,2,1,Image 1,1,1,100000002,510000000581,
140.098,,Segment,2,2,Image 1,2,1,100000002,510000000605,
38.7488,,Segment,2,1,Image 1,1,1,100000002,510000000623,
170.929,,Segment,2,2,Image 1,1,1,100000002,510000000626,
174.606,,Segment,2,3,Image 1,2,1,100000002,510000000644,
182.341,,Segment,2,3,Image 1,2,1,100000002,510000000647,
186.45,,Segment,2,4,Image 1,2,1,100000002,510000000649,
165.105,,Segment,2,5,Image 1,2,1,100000002,510000000662,
172.655,,Segment,2,2,Image 1,2,1,100000002,510000000683,
126.293,,Segment,2,5,Image 1,3,1,100000002,510000000720,
150.541,,Segment,2,2,Image 1,2,1,100000002,510000000724,
187.189,,Segment,2,2,Image 1,2,1,100000002,510000000730,
185.943,,Segment,2,2,Image 1,2,1,100000002,510000000738,
41.0871,,Segment,2,1,Image 1,1,1,100000002,510000000745,
192.215,,Segment,2,2,Image 1,1,1,100000002,510000000749,
183.95,,Segment,2,2,Image 1,2,1,100000002,510000000754,
128.497,,Segment,2,1,Image 1,1,1,100000003,510000000764,
186.5,,Segment,2,2,Image 1,1,1,100000003,510000000769,
181.74,,Segment,2,2,Image 1,1,1,100000003,510000000781,
178.902,,Segment,2,2,Image 1,2,1,100000003,510000000789,
148.263,,Segment,2,2,Image 1,2,1,100000003,510000000797,
113.375,,Segment,2,1,Image 1,1,1,100000003,510000000804,
130.17,,Segment,2,1,Image 1,1,1,100000003,510000000823,
169.967,,Segment,2,2,Image 1,2,1,100000003,510000000833,
108.065,,Segment,2,1,Image 1,1,1,100000004,510000000849,
85.1773,,Segment,2,1,Image 1,1,1,100000004,510000000871,
171.901,,Segment,2,3,Image 1,1,1,100000004,510000000884,
175.81,,Segment,2,3,Image 1,2,1,100000004,510000000894,
96.0701,,Segment,2,3,Image 1,2,1,100000004,510000000902,
156.769,,Segment,2,4,Image 1,2,1,100000004,510000000904,
194.874,,Segment,2,5,Image 1,2,1,100000004,510000000915,
96.9695,,Segment,2,1,Image 1,1,1,100000004,510000000923,
181.811,,Segment,2,4,Image 1,3,1,100000004,510000000942,
168.4,,Segment,2,4,Image 1,3,1,100000004,510000000956,
155.639,,Segment,2,3,Image 1,3,1,100000004,510000000973,
186.401,,Segment,2,5,Image 1,3,1,100000004,510000000978,
167.998,,Segment,2,4,Image 1,4,1,100000004,510000000984,
116.381,,Segment,2,1,Image 1,1,1,100000005,510000000993,
155.894,,Segment,2,2,Image 1,1,1,100000005,510000000995,
177.743,,Segment,2,3,Image 1,1,1,100000005,510000000999,
176.896,,Segment,2,2,Image 1,2,1,100000005,510000001015,
151.096,,Segment,2,3,Image 1,3,1,100000005,510000001032,
157.484,,Segment,2,3,Image 1,3,1,100000005,510000001055,
103.88,,Segment,2,4,Image 1,2,1,100000005,510000001076,
97.9204,,Segment,2,5,Image 1,2,1,100000005,510000001082,
113.324,,Segment,2,6,Image 1,3,1,100000005,510000001086,
133.851,,Segment,2,7,Image 1,2,1,100000005,510000001093,
137.428,,Segment,2,7,Image 1,3,1,100000005,510000001101,
125.387,,Segment,2,4,Image 1,3,1,100000005,510000001110,
107.791,,Segment,2,5,Image 1,3,1,100000005,510000001117,
162.911,,Segment,2,5,Image 1,4,1,100000005,510000001124,
151.897,,Segment,2,5,Image 1,3,1,100000005,510000001129,
68.6691,,Segment,2,2,Image 1,3,1,100000005,510000001133,
171.556,,Segment,2,3,Image 1,4,1,100000005,510000001136,
148.274,,Segment,2,3,Image 1,3,1,100000005,510000001156,
185.564,,Segment,2,4,Image 1,3,1,100000005,510000001159,
182.596,,Segment,2,4,Image 1,4,1,100000005,510000001175,
175.456,,Segment,2,3,Image 1,2,1,100000005,510000001191,
168.727,,Segment,2,4,Image 1,2,1,100000005,510000001204,
190.739,,Segment,2,4,Image 1,3,1,100000005,510000001221,
163.672,,Segment,2,3,Image 1,4,1,100000005,510000001236,
93.3498,,Segment,2,1,Image 1,1,1,100000006,510000001259,
144.698,,Segment,2,2,Image 1,1,1,100000006,510000001262,
152.84,,Segment,2,3,Image 1,1,1,100000006,510000001267,
148.738,,Segment,2,2,Image 1,2,1,100000006,510000001272,
168.503,,Segment,2,3,Image 1,3,1,100000006,510000001278,
178.691,,Segment,2,2,Image 1,1,1,100000006,510000001285,
93.9217,,Segment,2,1,Image 1,1,1,100000006,510000001329,
172.449,,Segment,2,2,Image 1,1,1,100000006,510000001331,
169.276,,Segment,2,2,Image 1,2,1,100000006,510000001353,
149.383,,Segment,2,2,Image 1,2,1,100000006,510000001379,
146.738,,Segment,2,4,Image 1,2,1,100000006,510000001399,
165.973,,Segment,2,3,Image 1,1,1,100000006,510000001408,
115,,Segment,2,2,Image 1,2,1,100000006,510000001416,
161.2,,Segment,2,3,Image 1,2,1,100000006,510000001418,
