
Segment Center Intensity Max Ch=1 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
255,,Segment,1,3,Image 1,4,1,100000005,510000001136,
130,,Segment,1,3,Image 1,3,1,100000005,510000001156,
151,,Segment,1,4,Image 1,3,1,100000005,510000001159,
145,,Segment,1,4,Image 1,4,1,100000005,510000001175,
255,,Segment,1,3,Image 1,2,1,100000005,510000001191,
226,,Segment,1,4,Image 1,2,1,100000005,510000001204,
128,,Segment,1,4,Image 1,3,1,100000005,510000001221,
255,,Segment,1,3,Image 1,4,1,100000005,510000001236,
204,,Segment,1,1,Image 1,1,1,100000006,510000001259,
255,,Segment,1,2,Image 1,1,1,100000006,510000001262,
247,,Segment,1,3,Image 1,1,1,100000006,510000001267,
218,,Segment,1,2,Image 1,2,1,100000006,510000001272,
218,,Segment,1,3,Image 1,3,1,100000006,510000001278,
255,,Segment,1,2,Image 1,1,1,100000006,510000001285,
204,,Segment,1,1,Image 1,1,1,100000006,510000001329,
240,,Segment,1,2,Image 1,1,1,100000006,510000001331,
255,,Segment,1,2,Image 1,2,1,100000006,510000001353,
255,,Segment,1,2,Image 1,2,1,100000006,510000001379,
255,,Segment,1,4,Image 1,2,1,100000006,510000001399,
255,,Segment,1,3,Image 1,1,1,100000006,510000001408,
253,,Segment,1,2,Image 1,2,1,100000006,510000001416,
227,,Segment,1,3,Image 1,2,1,100000006,510000001418,
190,,Segment,1,3,Image 1,3,1,100000006,510000001430,
255,,Segment,1,3,Image 1,2,1,100000006,510000001448,
245,,Segment,1,3,Image 1,2,1,100000006,510000001465,
255,,Segment,1,4,Image 1,3,1,100000006,510000001486,
255,,Segment,1,2,Image 1,1,1,100000007,510000001536,
80,,Segment,1,3,Image 1,1,1,100000007,510000001546,
93,,Segment,1,4,Image 1,1,1,100000007,510000001549,
233,,Segment,1,5,Image 1,1,1,100000007,510000001551,
186,,Segment,1,6,Image 1,1,1,100000007,510000001573,
201,,Segment,1,6,Image 1,2,1,100000007,510000001575,
255,,Segment,1,3,Image 1,2,1,100000007,510000001583,
188,,Segment,1,2,Image 1,2,1,100000007,510000001620,
175,,Segment,1,3,Image 1,2,1,100000007,510000001624,
234,,Segment,1,4,Image 1,2,1,100000007,510000001626,
225,,Segment,1,4,Image 1,3,1,100000007,510000001628,
137,,Segment,1,3,Image 1,3,1,100000007,510000001630,
255,,Segment,1,1,Image 1,1,1,100000007,510000001632,
228,,Segment,1,2,Image 1,1,1,100000007,510000001634,
255,,Segment,1,2,Image 1,1,1,100000007,510000001639,
254,,Segment,1,2,Image 1,2,1,100000007,510000001655,
221,,Segment,1,3,Image 1,2,1,100000007,510000001659,
149,,Segment,1,3,Image 1,3,1,100000007,510000001680,
255,,Segment,1,2,Image 1,2,1,100000007,510000001689,
152,,Segment,1,5,Image 1,2,1,100000007,510000001704,
255,,Segment,1,4,Image 1,2,1,100000007,510000001717,
255,,Segment,1,2,Image 1,2,1,100000007,510000001731,
255,,Segment,1,1,Image 1,1,1,100000008,510000001749,
255,,Segment,1,1,Image 1,1,1,100000008,510000001766,
255,,Segment,1,2,Image 1,1,1,100000008,510000001768,
255,,Segment,1,4,Image 1,1,1,100000008,510000001772,
255,,Segment,1,4,Image 1,2,1,100000008,510000001788,
255,,Segment,1,2,Image 1,2,1,100000008,510000001800,
200,,Segment,1,3,Image 1,2,1,100000008,510000001831,
252,,Segment,1,3,Image 1,3,1,100000008,510000001850,
255,,Segment,1,3,Image 1,2,1,100000008,510000001867,
255,,Segment,1,4,Image 1,2,1,100000008,510000001875,
255,,Segment,1,1,Image 1,1,1,100000008,510000001928,
255,,Segment,1,1,Image 1,1,1,100000008,510000001966,
255,,Segment,1,2,Image 1,1,1,100000008,510000001969,
255,,Segment,1,3,Image 1,1,1,100000008,510000001975,
240,,Segment,1,4,Image 1,1,1,100000008,510000001981,
255,,Segment,1,1,Image 1,1,1,100000008,510000001996,
191,,Segment,1,3,Image 1,2,1,100000008,510000002049,
255,,Segment,1,4,Image 1,2,1,100000008,510000002070,
255,,Segment,1,2,Image 1,2,1,100000008,510000002130,
255,,Segment,1,1,Image 1,1,1,100000008,510000002155,
255,,Segment,1,4,Image 1,3,1,100000008,510000002180,
255,,Segment,1,5,Image 1,3,1,100000008,510000002187,
255,,Segment,1,5,Image 1,4,1,100000008,510000002191,
239,,Segment,1,2,Image 1,1,1,100000009,510000002212,
255,,Segment,1,3,Image 1,1,1,100000009,510000002215,
236,,Segment,1,4,Image 1,1,1,100000009,510000002235,
254,,Segment,1,4,Image 1,2,1,100000009,510000002237,
254,,Segment,1,2,Image 1,2,1,100000009,510000002248,
255,,Segment,1,2,Image 1,1,1,100000009,510000002271,
255,,Segment,1,2,Image 1,2,1,100000009,510000002296,
255,,Segment,1,2,Image 1,2,1,100000009,510000002305,
222,,Segment,1,3,Image 1,2,1,100000009,510000002310,
191,,Segment,1,4,Image 1,2,1,100000009,510000002314,
