
Segment Center Intensity Max Ch=3 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
210,,Segment,3,2,Image 1,1,1,100000000,510000000003,
176,,Segment,3,2,Image 1,2,1,100000000,510000000023,
196,,Segment,3,3,Image 1,2,1,100000000,510000000028,
176,,Segment,3,3,Image 1,3,1,100000000,510000000050,
173,,Segment,3,1,Image 1,2,1,100000000,510000000064,
198,,Segment,3,2,Image 1,2,1,100000000,510000000068,
128,,Segment,3,1,Image 1,2,1,100000000,510000000073,
200,,Segment,3,2,Image 1,2,1,100000000,510000000075,
189,,Segment,3,2,Image 1,3,1,100000000,510000000083,
145,,Segment,3,2,Image 1,3,1,100000000,510000000086,
148,,Segment,3,3,Image 1,3,1,100000000,510000000093,
190,,Segment,3,4,Image 1,3,1,100000000,510000000096,
203,,Segment,3,4,Image 1,4,1,100000000,510000000103,
179,,Segment,3,3,Image 1,4,1,100000000,510000000110,
175,,Segment,3,3,Image 1,2,1,100000000,510000000117,
176,,Segment,3,4,Image 1,2,1,100000000,510000000124,
183,,Segment,3,4,Image 1,3,1,100000000,510000000134,
162,,Segment,3,3,Image 1,3,1,100000000,510000000137,
175,,Segment,3,2,Image 1,3,1,100000000,510000000149,
200,,Segment,3,3,Image 1,3,1,100000000,510000000151,
209,,Segment,3,3,Image 1,4,1,100000000,510000000163,
210,,Segment,3,3,Image 1,4,1,100000000,510000000184,
206,,Segment,3,2,Image 1,3,1,100000000,510000000209,
94,,Segment,3,2,Image 1,1,1,100000001,510000000226,
203,,Segment,3,3,Image 1,1,1,100000001,510000000230,
208,,Segment,3,2,Image 1,2,1,100000001,510000000252,
205,,Segment,3,1,Image 1,1,1,100000001,510000000264,
190,,Segment,3,3,Image 1,1,1,100000001,510000000274,
200,,Segment,3,3,Image 1,2,1,100000001,510000000282,
161,,Segment,3,4,Image 1,3,1,100000001,510000000314,
185,,Segment,3,2,Image 1,2,1,100000001,510000000318,
201,,Segment,3,3,Image 1,2,1,100000001,510000000326,
209,,Segment,3,4,Image 1,2,1,100000001,510000000350,
209,,Segment,3,4,Image 1,3,1,100000001,510000000359,
167,,Segment,3,1,Image 1,1,1,100000001,510000000384,
178,,Segment,3,2,Image 1,1,1,100000001,510000000397,
191,,Segment,3,3,Image 1,2,1,100000001,510000000402,
206,,Segment,3,1,Image 1,1,1,100000001,510000000417,
210,,Segment,3,3,Image 1,3,1,100000001,510000000438,
202,,Segment,3,2,Image 1,2,1,100000001,510000000458,
209,,Segment,3,1,Image 1,1,1,100000002,510000000474,
186,,Segment,3,2,Image 1,1,1,100000002,510000000493,
