
Segment Intensity Mean Ch=3 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
58.0981,,Segment,3,1,Image 1,1,1,100000000,510000000001,
115.159,,Segment,3,2,Image 1,1,1,100000000,510000000003,
174.488,,Segment,3,3,Image 1,1,1,100000000,510000000007,
164.973,,Segment,3,3,Image 1,2,1,100000000,510000000039,
96.1555,,Segment,3,2,Image 1,2,1,100000000,510000000051,
169.455,,Segment,3,3,Image 1,2,1,100000000,510000000054,
173.801,,Segment,3,3,Image 1,3,1,100000000,510000000060,
73.3612,,Segment,3,1,Image 1,1,1,100000000,510000000083,
122.008,,Segment,3,2,Image 1,1,1,100000000,510000000098,
172.269,,Segment,3,3,Image 1,1,1,100000000,510000000103,
172.92,,Segment,3,3,Image 1,2,1,100000000,510000000123,
53.0874,,Segment,3,2,Image 1,1,1,100000000,510000000137,
140.053,,Segment,3,3,Image 1,1,1,100000000,510000000139,
129.614,,Segment,3,3,Image 1,2,1,100000000,510000000160,
105.257,,Segment,3,2,Image 1,2,1,100000000,510000000181,
129.373,,Segment,3,2,Image 1,2,1,100000000,510000000190,
100.119,,Segment,3,2,Image 1,2,1,100000000,510000000208,
105.859,,Segment,3,2,Image 1,1,1,100000001,510000000218,
135.507,,Segment,3,3,Image 1,1,1,100000001,510000000225,
140.895,,Segment,3,3,Image 1,2,1,100000001,510000000234,
114.752,,Segment,3,2,Image 1,2,1,100000001,510000000244,
46.8388,,Segment,3,1,Image 1,1,1,100000001,510000000263,
122.999,,Segment,3,2,Image 1,1,1,100000001,510000000265,
55.2096,,Segment,3,1,Image 1,1,1,100000001,510000000277,
150.906,,Segment,3,2,Image 1,1,1,100000001,510000000280,
169.908,,Segment,3,3,Image 1,1,1,100000001,510000000291,
165.601,,Segment,3,3,Image 1,2,1,100000001,510000000304,
144.556,,Segment,3,2,Image 1,2,1,100000001,510000000325,
182.67,,Segment,3,3,Image 1,2,1,100000001,510000000335,
183.568,,Segment,3,3,Image 1,3,1,100000001,510000000360,
56.9508,,Segment,3,1,Image 1,1,1,100000001,510000000372,
115.446,,Segment,3,2,Image 1,2,1,100000001,510000000378,
117.699,,Segment,3,3,Image 1,1,1,100000002,510000000392,
126.5,,Segment,3,2,Image 1,2,1,100000002,510000000405,
48.1654,,Segment,3,1,Image 1,1,1,100000002,510000000415,
156.549,,Segment,3,2,Image 1,1,1,100000002,510000000417,
124.083,,Segment,3,4,Image 1,2,1,100000002,510000000430,
143.768,,Segment,3,4,Image 1,1,1,100000002,510000000449,
172.216,,Segment,3,5,Image 1,1,1,100000002,510000000451,
87.4768,,Segment,3,2,Image 1,2,1,100000002,510000000457,
138.105,,Segment,3,3,Image 1,2,1,100000002,510000000459,
120.948,,Segment,3,2,Image 1,2,1,100000002,510000000468,
137.995,,Segment,3,3,Image 1,2,1,100000002,510000000470,
137.854,,Segment,3,3,Image 1,3,1,100000002,510000000481,
137.423,,Segment,3,3,Image 1,2,1,100000002,510000000485,
122.503,,Segment,3,5,Image 1,2,1,100000002,510000000490,
62.8232,,Segment,3,1,Image 1,1,1,100000002,510000000503,
158.045,,Segment,3,1,Image 1,1,1,100000003,510000000517,
117.819,,Segment,3,1,Image 1,1,1,100000003,510000000532,
158.067,,Segment,3,2,Image 1,1,1,100000003,510000000537,
131.369,,Segment,3,2,Image 1,2,1,100000003,510000000547,
167.104,,Segment,3,3,Image 1,2,1,100000003,510000000550,
178.024,,Segment,3,4,Image 1,2,1,100000003,510000000555,
190.492,,Segment,3,5,Image 1,2,1,100000003,510000000558,
175.559,,Segment,3,4,Image 1,3,1,100000003,510000000575,
153.017,,Segment,3,3,Image 1,3,1,100000003,510000000585,
178.055,,Segment,3,4,Image 1,3,1,100000003,510000000591,
165.768,,Segment,3,4,Image 1,4,1,100000003,510000000611,
168.188,,Segment,3,2,Image 1,3,1,100000003,510000000625,
174.738,,Segment,3,5,Image 1,3,1,100000003,510000000650,
146.074,,Segment,3,1,Image 1,2,1,100000003,510000000668,
159.677,,Segment,3,2,Image 1,2,1,100000003,510000000672,
73.9704,,Segment,3,1,Image 1,1,1,100000004,510000000678,
149.743,,Segment,3,2,Image 1,1,1,100000004,510000000680,
156.912,,Segment,3,2,Image 1,1,1,100000004,510000000686,
151.071,,Segment,3,3,Image 1,1,1,100000004,510000000700,
171.549,,Segment,3,3,Image 1,2,1,100000004,510000000703,
89.2692,,Segment,3,1,Image 1,1,1,100000004,510000000705,
93.5664,,Segment,3,2,Image 1,1,1,100000004,510000000720,
157.144,,Segment,3,3,Image 1,1,1,100000004,510000000723,
161.755,,Segment,3,4,Image 1,1,1,100000004,510000000727,
166.595,,Segment,3,4,Image 1,2,1,100000004,510000000730,
159.741,,Segment,3,3,Image 1,2,1,100000004,510000000733,
97.4524,,Segment,3,2,Image 1,2,1,100000004,510000000740,
121.46,,Segment,3,3,Image 1,2,1,100000004,510000000743,
177.878,,Segment,3,4,Image 1,2,1,100000004,510000000745,
86.9773,,Segment,3,2,Image 1,2,1,100000004,510000000751,
162.135,,Segment,3,3,Image 1,3,1,100000004,510000000756,
160.778,,Segment,3,2,Image 1,2,1,100000004,510000000766,
171.535,,Segment,3,2,Image 1,2,1,100000004,510000000771,
156.997,,Segment,3,3,Image 1,2,1,100000004,510000000784,
126.882,,Segment,3,2,Image 1,1,1,100000005,510000000789,
151.476,,Segment,3,2,Image 1,2,1,100000005,510000000803,
148.169,,Segment,3,2,Image 1,2,1,100000005,510000000827,
123.441,,Segment,3,2,Image 1,2,1,100000005,510000000841,
135.342,,Segment,3,2,Image 1,2,1,100000005,510000000846,
77.9964,,Segment,3,2,Image 1,1,1,100000005,510000000866,
146.05,,Segment,3,3,Image 1,1,1,100000005,510000000869,
141.489,,Segment,3,2,Image 1,2,1,100000005,510000000880,
153.352,,Segment,3,3,Image 1,2,1,100000005,510000000897,
61.109,,Segment,3,2,Image 1,1,1,100000005,510000000911,
162.869,,Segment,3,3,Image 1,1,1,100000005,510000000913,
31.4863,,Segment,3,3,Image 1,2,1,100000005,510000000942,
129.428,,Segment,3,4,Image 1,2,1,100000005,510000000947,
139.467,,Segment,3,4,Image 1,3,1,100000005,510000000964,
182.049,,Segment,3,3,Image 1,1,1,100000006,510000000982,
155.757,,Segment,3,2,Image 1,2,1,100000006,510000001003,
83.4591,,Segment,3,1,Image 1,1,1,100000006,510000001027,
163.545,,Segment,3,3,Image 1,2,1,100000006,510000001041,
182.267,,Segment,3,3,Image 1,2,1,100000006,510000001060,
74.0618,,Segment,3,1,Image 1,1,1,100000006,510000001090,
99.1813,,Segment,3,2,Image 1,1,1,100000007,510000001100,
127.151,,Segment,3,3,Image 1,1,1,100000007,510000001103,
158.559,,Segment,3,4,Image 1,1,1,100000007,510000001107,
195.09,,Segment,3,5,Image 1,1,1,100000007,510000001119,
190.406,,Segment,3,5,Image 1,2,1,100000007,510000001123,
138.452,,Segment,3,3,Image 1,2,1,100000007,510000001133,
188.21,,Segment,3,4,Image 1,2,1,100000007,510000001136,
188.045,,Segment,3,4,Image 1,3,1,100000007,510000001147,
174.672,,Segment,3,3,Image 1,1,1,100000007,510000001157,
158.155,,Segment,3,3,Image 1,2,1,100000007,510000001178,
175.78,,Segment,3,4,Image 1,2,1,100000007,510000001191,
170.083,,Segment,3,4,Image 1,3,1,100000007,510000001202,
170.767,,Segment,3,2,Image 1,2,1,100000007,510000001210,
77.2582,,Segment,3,1,Image 1,1,1,100000007,510000001236,
143.529,,Segment,3,2,Image 1,1,1,100000007,510000001238,
152.881,,Segment,3,2,Image 1,2,1,100000007,510000001254,
141.944,,Segment,3,2,Image 1,2,1,100000007,510000001270,
158.509,,Segment,3,4,Image 1,2,1,100000007,510000001294,
112.622,,Segment,3,1,Image 1,1,1,100000008,510000001301,
133.822,,Segment,3,1,Image 1,1,1,100000008,510000001322,
113.897,,Segment,3,1,Image 1,1,1,100000008,510000001349,
107.766,,Segment,3,1,Image 1,1,1,100000008,510000001360,
79.3419,,Segment,3,1,Image 1,1,1,100000008,510000001373,
119.045,,Segment,3,2,Image 1,1,1,100000008,510000001375,
157.041,,Segment,3,3,Image 1,1,1,100000008,510000001384,
129.388,,Segment,3,3,Image 1,2,1,100000008,510000001387,
97.6795,,Segment,3,4,Image 1,2,1,100000008,510000001391,
135.952,,Segment,3,4,Image 1,3,1,100000008,510000001408,
153.681,,Segment,3,2,Image 1,2,1,100000008,510000001424,
145.701,,Segment,3,2,Image 1,1,1,100000009,510000001441,
159.014,,Segment,3,2,Image 1,2,1,100000009,510000001449,
132.743,,Segment,3,1,Image 1,1,1,100000009,510000001468,
79.9917,,Segment,3,1,Image 1,1,1,100000009,510000001489,
126.584,,Segment,3,2,Image 1,2,1,100000009,510000001491,
181.62,,Segment,3,3,Image 1,1,1,100000009,510000001494,
161.649,,Segment,3,3,Image 1,2,1,100000009,510000001510,
124.065,,Segment,3,1,Image 1,1,1,100000009,510000001514,
86.4666,,Segment,3,1,Image 1,1,1,100000009,510000001533,
89.7747,,Segment,3,1,Image 1,1,1,100000010,510000001537,
154.657,,Segment,3,2,Image 1,1,1,100000010,510000001541,
168.319,,Segment,3,2,Image 1,2,1,100000010,510000001558,
158.196,,Segment,3,2,Image 1,1,1,100000010,510000001575,
157.559,,Segment,3,2,Image 1,2,1,100000010,510000001584,
145.338,,Segment,3,2,Image 1,2,1,100000010,510000001609,
101.932,,Segment,3,1,Image 1,1,1,100000010,510000001626,
144.507,,Segment,3,2,Image 1,1,1,100000010,510000001636,
165.16,,Segment,3,2,Image 1,2,1,100000010,510000001640,
154.352,,Segment,3,3,Image 1,2,1,100000010,510000001649,
168.432,,Segment,3,3,Image 1,3,1,100000010,510000001652,
129.466,,Segment,3,2,Image 1,1,1,100000010,510000001659,
153.647,,Segment,3,3,Image 1,1,1,100000010,510000001662,
154.778,,Segment,3,3,Image 1,2,1,100000010,510000001672,
163.826,,Segment,3,2,Image 1,1,1,100000011,510000001682,
131.247,,Segment,3,2,Image 1,2,1,100000011,510000001692,
174.133,,Segment,3,3,Image 1,3,1,100000011,510000001695,
137.429,,Segment,3,2,Image 1,1,1,100000011,510000001716,
183.87,,Segment,3,3,Image 1,2,1,100000011,510000001718,
173.752,,Segment,3,3,Image 1,1,1,100000011,510000001719,
105.386,,Segment,3,1,Image 1,1,1,100000011,510000001726,
57.5799,,Segment,3,1,Image 1,1,1,100000000,510000001736,
57.1117,,Segment,3,1,Image 1,1,1,100000000,510000001737,
48.605,,Segment,3,1,Image 1,1,1,100000001,510000001738,
50.6191,,Segment,3,1,Image 1,1,1,100000002,510000001739,
94.681,,Segment,3,2,Image 1,1,1,100000002,510000001740,
49.7613,,Segment,3,1,Image 1,1,1,100000002,510000001741,
103.832,,Segment,3,2,Image 1,1,1,100000002,510000001742,
138.903,,Segment,3,3,Image 1,1,1,100000002,510000001743,
49.982,,Segment,3,0,Image 1,1,1,100000003,510000001744,
44.1518,,Segment,3,1,Image 1,2,1,100000003,510000001745,
61.3476,,Segment,3,0,Image 1,1,1,100000003,510000001746,
75.7038,,Segment,3,1,Image 1,1,1,100000004,510000001747,
65.3205,,Segment,3,1,Image 1,1,1,100000004,510000001748,
179.602,,Segment,3,4,Image 1,3,1,100000004,510000001749,
46.8924,,Segment,3,1,Image 1,1,1,100000005,510000001750,
48.0494,,Segment,3,1,Image 1,1,1,100000005,510000001751,
39.6277,,Segment,3,1,Image 1,1,1,100000005,510000001752,
47.8764,,Segment,3,1,Image 1,1,1,100000006,510000001753,
109.244,,Segment,3,2,Image 1,1,1,100000006,510000001754,
70.5499,,Segment,3,1,Image 1,1,1,100000007,510000001755,
86.9036,,Segment,3,1,Image 1,1,1,100000007,510000001756,
138.6,,Segment,3,2,Image 1,1,1,100000007,510000001757,
78.828,,Segment,3,1,Image 1,1,1,100000009,510000001758,
126.292,,Segment,3,2,Image 1,1,1,100000009,510000001759,
70.7632,,Segment,3,1,Image 1,1,1,100000010,510000001760,
76.6582,,Segment,3,1,Image 1,1,1,100000010,510000001761,
87.0259,,Segment,3,1,Image 1,1,1,100000011,510000001762,
182.991,,Segment,3,3,Image 1,2,1,100000011,510000001763,
82.9295,,Segment,3,1,Image 1,1,1,100000011,510000001764,
132.364,,Segment,3,2,Image 1,2,1,100000011,510000001765,
