
Segment Center Intensity Median Ch=1 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
255,,Segment,1,1,Image 1,1,1,100000000,510000000001,
255,,Segment,1,2,Image 1,1,1,100000000,510000000003,
167.125,,Segment,1,3,Image 1,1,1,100000000,510000000007,
98.125,,Segment,1,3,Image 1,2,1,100000000,510000000039,
191.125,,Segment,1,2,Image 1,2,1,100000000,510000000051,
136.062,,Segment,1,3,Image 1,2,1,100000000,510000000054,
99.125,,Segment,1,3,Image 1,3,1,100000000,510000000060,
134.625,,Segment,1,1,Image 1,1,1,100000000,510000000083,
140.625,,Segment,1,2,Image 1,1,1,100000000,510000000098,
104.125,,Segment,1,3,Image 1,1,1,100000000,510000000103,
85.0625,,Segment,1,3,Image 1,2,1,100000000,510000000123,
239.008,,Segment,1,2,Image 1,1,1,100000000,510000000137,
106.125,,Segment,1,3,Image 1,1,1,100000000,510000000139,
110.125,,Segment,1,3,Image 1,2,1,100000000,510000000160,
144.625,,Segment,1,2,Image 1,2,1,100000000,510000000181,
108.125,,Segment,1,2,Image 1,2,1,100000000,510000000190,
126.125,,Segment,1,2,Image 1,2,1,100000000,510000000208,
225.562,,Segment,1,2,Image 1,1,1,100000001,510000000218,
227.062,,Segment,1,3,Image 1,1,1,100000001,510000000225,
247.25,,Segment,1,3,Image 1,2,1,100000001,510000000234,
146.125,,Segment,1,2,Image 1,2,1,100000001,510000000244,
249.508,,Segment,1,1,Image 1,1,1,100000001,510000000263,
243.125,,Segment,1,2,Image 1,1,1,100000001,510000000265,
207.031,,Segment,1,1,Image 1,1,1,100000001,510000000277,
151.625,,Segment,1,2,Image 1,1,1,100000001,510000000280,
107.125,,Segment,1,3,Image 1,1,1,100000001,510000000291,
166.125,,Segment,1,3,Image 1,2,1,100000001,510000000304,
171.062,,Segment,1,2,Image 1,2,1,100000001,510000000325,
117.625,,Segment,1,3,Image 1,2,1,100000001,510000000335,
125.062,,Segment,1,3,Image 1,3,1,100000001,510000000360,
190.562,,Segment,1,1,Image 1,1,1,100000001,510000000372,
160.562,,Segment,1,2,Image 1,2,1,100000001,510000000378,
206.75,,Segment,1,3,Image 1,1,1,100000002,510000000392,
131.125,,Segment,1,2,Image 1,2,1,100000002,510000000405,
255,,Segment,1,1,Image 1,1,1,100000002,510000000415,
227.125,,Segment,1,2,Image 1,1,1,100000002,510000000417,
242.125,,Segment,1,4,Image 1,2,1,100000002,510000000430,
181.125,,Segment,1,4,Image 1,1,1,100000002,510000000449,
91.125,,Segment,1,5,Image 1,1,1,100000002,510000000451,
