
Segment Center Intensity Max Ch=1 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
106,,Segment,1,5,Image 1,1,1,100000007,510000001119,
167,,Segment,1,5,Image 1,2,1,100000007,510000001123,
255,,Segment,1,3,Image 1,2,1,100000007,510000001133,
129,,Segment,1,4,Image 1,2,1,100000007,510000001136,
187,,Segment,1,4,Image 1,3,1,100000007,510000001147,
230,,Segment,1,3,Image 1,1,1,100000007,510000001157,
255,,Segment,1,3,Image 1,2,1,100000007,510000001178,
255,,Segment,1,4,Image 1,2,1,100000007,510000001191,
251,,Segment,1,4,Image 1,3,1,100000007,510000001202,
238,,Segment,1,2,Image 1,2,1,100000007,510000001210,
255,,Segment,1,1,Image 1,1,1,100000007,510000001236,
255,,Segment,1,2,Image 1,1,1,100000007,510000001238,
245,,Segment,1,2,Image 1,2,1,100000007,510000001254,
255,,Segment,1,2,Image 1,2,1,100000007,510000001270,
255,,Segment,1,4,Image 1,2,1,100000007,510000001294,
255,,Segment,1,1,Image 1,1,1,100000008,510000001301,
255,,Segment,1,1,Image 1,1,1,100000008,510000001322,
255,,Segment,1,1,Image 1,1,1,100000008,510000001349,
255,,Segment,1,1,Image 1,1,1,100000008,510000001360,
255,,Segment,1,1,Image 1,1,1,100000008,510000001373,
255,,Segment,1,2,Image 1,1,1,100000008,510000001375,
166,,Segment,1,3,Image 1,1,1,100000008,510000001384,
181,,Segment,1,3,Image 1,2,1,100000008,510000001387,
255,,Segment,1,4,Image 1,2,1,100000008,510000001391,
255,,Segment,1,4,Image 1,3,1,100000008,510000001408,
185,,Segment,1,2,Image 1,2,1,100000008,510000001424,
208,,Segment,1,2,Image 1,1,1,100000009,510000001441,
255,,Segment,1,2,Image 1,2,1,100000009,510000001449,
255,,Segment,1,1,Image 1,1,1,100000009,510000001468,
255,,Segment,1,1,Image 1,1,1,100000009,510000001489,
178,,Segment,1,2,Image 1,2,1,100000009,510000001491,
255,,Segment,1,3,Image 1,1,1,100000009,510000001494,
179,,Segment,1,3,Image 1,2,1,100000009,510000001510,
255,,Segment,1,1,Image 1,1,1,100000009,510000001514,
255,,Segment,1,1,Image 1,1,1,100000009,510000001533,
255,,Segment,1,1,Image 1,1,1,100000010,510000001537,
255,,Segment,1,2,Image 1,1,1,100000010,510000001541,
255,,Segment,1,2,Image 1,2,1,100000010,510000001558,
255,,Segment,1,2,Image 1,1,1,100000010,510000001575,
255,,Segment,1,2,Image 1,2,1,100000010,510000001584,
255,,Segment,1,2,Image 1,2,1,100000010,510000001609,
255,,Segment,1,1,Image 1,1,1,100000010,510000001626,
255,,Segment,1,2,Image 1,1,1,100000010,510000001636,
249,,Segment,1,2,Image 1,2,1,100000010,510000001640,
171,,Segment,1,3,Image 1,2,1,100000010,510000001649,
238,,Segment,1,3,Image 1,3,1,100000010,510000001652,
236,,Segment,1,2,Image 1,1,1,100000010,510000001659,
255,,Segment,1,3,Image 1,1,1,100000010,510000001662,
255,,Segment,1,3,Image 1,2,1,100000010,510000001672,
230,,Segment,1,2,Image 1,1,1,100000011,510000001682,
255,,Segment,1,2,Image 1,2,1,100000011,510000001692,
255,,Segment,1,3,Image 1,3,1,100000011,510000001695,
255,,Segment,1,2,Image 1,1,1,100000011,510000001716,
184,,Segment,1,3,Image 1,2,1,100000011,510000001718,
255,,Segment,1,3,Image 1,1,1,100000011,510000001719,
255,,Segment,1,1,Image 1,1,1,100000011,510000001726,
141,,Segment,1,1,Image 1,1,1,100000000,510000001736,
229,,Segment,1,1,Image 1,1,1,100000000,510000001737,
243,,Segment,1,1,Image 1,1,1,100000001,510000001738,
255,,Segment,1,1,Image 1,1,1,100000002,510000001739,
235,,Segment,1,2,Image 1,1,1,100000002,510000001740,
255,,Segment,1,1,Image 1,1,1,100000002,510000001741,
222,,Segment,1,2,Image 1,1,1,100000002,510000001742,
199,,Segment,1,3,Image 1,1,1,100000002,510000001743,
255,,Segment,1,0,Image 1,1,1,100000003,510000001744,
255,,Segment,1,1,Image 1,2,1,100000003,510000001745,
244,,Segment,1,0,Image 1,1,1,100000003,510000001746,
255,,Segment,1,1,Image 1,1,1,100000004,510000001747,
255,,Segment,1,1,Image 1,1,1,100000004,510000001748,
248,,Segment,1,4,Image 1,3,1,100000004,510000001749,
255,,Segment,1,1,Image 1,1,1,100000005,510000001750,
253,,Segment,1,1,Image 1,1,1,100000005,510000001751,
255,,Segment,1,1,Image 1,1,1,100000005,510000001752,
255,,Segment,1,1,Image 1,1,1,100000006,510000001753,
255,,Segment,1,2,Image 1,1,1,100000006,510000001754,
255,,Segment,1,1,Image 1,1,1,100000007,510000001755,
142,,Segment,1,1,Image 1,1,1,100000007,510000001756,
142,,Segment,1,2,Image 1,1,1,100000007,510000001757,
255,,Segment,1,1,Image 1,1,1,100000009,510000001758,
179,,Segment,1,2,Image 1,1,1,100000009,510000001759,
255,,Segment,1,1,Image 1,1,1,100000010,510000001760,
255,,Segment,1,1,Image 1,1,1,100000010,510000001761,
255,,Segment,1,1,Image 1,1,1,100000011,510000001762,
140,,Segment,1,3,Image 1,2,1,100000011,510000001763,
255,,Segment,1,1,Image 1,1,1,100000011,510000001764,
255,,Segment,1,2,Image 1,2,1,100000011,510000001765,
