
Segment Area
 ==================== 
Segment Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
693.505,µm^2,Segment,4,2,1,100000007,510000001136,
632.36,µm^2,Segment,4,3,1,100000007,510000001147,
1339.54,µm^2,Segment,3,1,1,100000007,510000001157,
1029.21,µm^2,Segment,3,2,1,100000007,510000001178,
689.969,µm^2,Segment,4,2,1,100000007,510000001191,
694.649,µm^2,Segment,4,3,1,100000007,510000001202,
2141.75,µm^2,Segment,2,2,1,100000007,510000001210,
629.852,µm^2,Segment,1,1,1,100000007,510000001236,
1275.02,µm^2,Segment,2,1,1,100000007,510000001238,
1183.61,µm^2,Segment,2,2,1,100000007,510000001254,
2083.47,µm^2,Segment,2,2,1,100000007,510000001270,
662.892,µm^2,Segment,4,2,1,100000007,510000001294,
2313.63,µm^2,Segment,1,1,1,100000008,510000001301,
3397.98,µm^2,Segment,1,1,1,100000008,510000001322,
1488.94,µm^2,Segment,1,1,1,100000008,510000001349,
1469.75,µm^2,Segment,1,1,1,100000008,510000001360,
482.525,µm^2,Segment,1,1,1,100000008,510000001373,
890.56,µm^2,Segment,2,1,1,100000008,510000001375,
309.078,µm^2,Segment,3,1,1,100000008,510000001384,
409.062,µm^2,Segment,3,2,1,100000008,510000001387,
1897.77,µm^2,Segment,4,2,1,100000008,510000001391,
1884.3,µm^2,Segment,4,3,1,100000008,510000001408,
1424.58,µm^2,Segment,2,2,1,100000008,510000001424,
690.729,µm^2,Segment,2,1,1,100000009,510000001441,
1606.78,µm^2,Segment,2,2,1,100000009,510000001449,
2168.55,µm^2,Segment,1,1,1,100000009,510000001468,
391.067,µm^2,Segment,1,1,1,100000009,510000001489,
167.054,µm^2,Segment,2,2,1,100000009,510000001491,
1188.29,µm^2,Segment,3,1,1,100000009,510000001494,
442.998,µm^2,Segment,3,2,1,100000009,510000001510,
2034.33,µm^2,Segment,1,1,1,100000009,510000001514,
623.766,µm^2,Segment,1,1,1,100000009,510000001533,
979.399,µm^2,Segment,1,1,1,100000010,510000001537,
2228.68,µm^2,Segment,2,1,1,100000010,510000001541,
