
Segment Intensity Min Ch=3 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
141,,Segment,3,5,Image 1,1,1,100000007,510000001119,
124,,Segment,3,5,Image 1,2,1,100000007,510000001123,
19,,Segment,3,3,Image 1,2,1,100000007,510000001133,
21,,Segment,3,4,Image 1,2,1,100000007,510000001136,
25,,Segment,3,4,Image 1,3,1,100000007,510000001147,
2,,Segment,3,3,Image 1,1,1,100000007,510000001157,
2,,Segment,3,3,Image 1,2,1,100000007,510000001178,
17,,Segment,3,4,Image 1,2,1,100000007,510000001191,
18,,Segment,3,4,Image 1,3,1,100000007,510000001202,
13,,Segment,3,2,Image 1,2,1,100000007,510000001210,
0,,Segment,3,1,Image 1,1,1,100000007,510000001236,
2,,Segment,3,2,Image 1,1,1,100000007,510000001238,
0,,Segment,3,2,Image 1,2,1,100000007,510000001254,
3,,Segment,3,2,Image 1,2,1,100000007,510000001270,
54,,Segment,3,4,Image 1,2,1,100000007,510000001294,
0,,Segment,3,1,Image 1,1,1,100000008,510000001301,
0,,Segment,3,1,Image 1,1,1,100000008,510000001322,
0,,Segment,3,1,Image 1,1,1,100000008,510000001349,
0,,Segment,3,1,Image 1,1,1,100000008,510000001360,
0,,Segment,3,1,Image 1,1,1,100000008,510000001373,
0,,Segment,3,2,Image 1,1,1,100000008,510000001375,
120,,Segment,3,3,Image 1,1,1,100000008,510000001384,
83,,Segment,3,3,Image 1,2,1,100000008,510000001387,
10,,Segment,3,4,Image 1,2,1,100000008,510000001391,
30,,Segment,3,4,Image 1,3,1,100000008,510000001408,
18,,Segment,3,2,Image 1,2,1,100000008,510000001424,
78,,Segment,3,2,Image 1,1,1,100000009,510000001441,
22,,Segment,3,2,Image 1,2,1,100000009,510000001449,
12,,Segment,3,1,Image 1,1,1,100000009,510000001468,
12,,Segment,3,1,Image 1,1,1,100000009,510000001489,
76,,Segment,3,2,Image 1,2,1,100000009,510000001491,
14,,Segment,3,3,Image 1,1,1,100000009,510000001494,
7,,Segment,3,3,Image 1,2,1,100000009,510000001510,
8,,Segment,3,1,Image 1,1,1,100000009,510000001514,
9,,Segment,3,1,Image 1,1,1,100000009,510000001533,
0,,Segment,3,1,Image 1,1,1,100000010,510000001537,
0,,Segment,3,2,Image 1,1,1,100000010,510000001541,
0,,Segment,3,2,Image 1,2,1,100000010,510000001558,
3,,Segment,3,2,Image 1,1,1,100000010,510000001575,
0,,Segment,3,2,Image 1,2,1,100000010,510000001584,
23,,Segment,3,2,Image 1,2,1,100000010,510000001609,
0,,Segment,3,1,Image 1,1,1,100000010,510000001626,
5,,Segment,3,2,Image 1,1,1,100000010,510000001636,
5,,Segment,3,2,Image 1,2,1,100000010,510000001640,
18,,Segment,3,3,Image 1,2,1,100000010,510000001649,
1,,Segment,3,3,Image 1,3,1,100000010,510000001652,
36,,Segment,3,2,Image 1,1,1,100000010,510000001659,
4,,Segment,3,3,Image 1,1,1,100000010,510000001662,
0,,Segment,3,3,Image 1,2,1,100000010,510000001672,
2,,Segment,3,2,Image 1,1,1,100000011,510000001682,
0,,Segment,3,2,Image 1,2,1,100000011,510000001692,
11,,Segment,3,3,Image 1,3,1,100000011,510000001695,
0,,Segment,3,2,Image 1,1,1,100000011,510000001716,
4,,Segment,3,3,Image 1,2,1,100000011,510000001718,
4,,Segment,3,3,Image 1,1,1,100000011,510000001719,
0,,Segment,3,1,Image 1,1,1,100000011,510000001726,
0,,Segment,3,1,Image 1,1,1,100000000,510000001736,
0,,Segment,3,1,Image 1,1,1,100000000,510000001737,
0,,Segment,3,1,Image 1,1,1,100000001,510000001738,
0,,Segment,3,1,Image 1,1,1,100000002,510000001739,
22,,Segment,3,2,Image 1,1,1,100000002,510000001740,
0,,Segment,3,1,Image 1,1,1,100000002,510000001741,
33,,Segment,3,2,Image 1,1,1,100000002,510000001742,
44,,Segment,3,3,Image 1,1,1,100000002,510000001743,
1,,Segment,3,0,Image 1,1,1,100000003,510000001744,
1,,Segment,3,1,Image 1,2,1,100000003,510000001745,
3,,Segment,3,0,Image 1,1,1,100000003,510000001746,
0,,Segment,3,1,Image 1,1,1,100000004,510000001747,
0,,Segment,3,1,Image 1,1,1,100000004,510000001748,
64,,Segment,3,4,Image 1,3,1,100000004,510000001749,
0,,Segment,3,1,Image 1,1,1,100000005,510000001750,
0,,Segment,3,1,Image 1,1,1,100000005,510000001751,
0,,Segment,3,1,Image 1,1,1,100000005,510000001752,
0,,Segment,3,1,Image 1,1,1,100000006,510000001753,
4,,Segment,3,2,Image 1,1,1,100000006,510000001754,
0,,Segment,3,1,Image 1,1,1,100000007,510000001755,
0,,Segment,3,1,Image 1,1,1,100000007,510000001756,
16,,Segment,3,2,Image 1,1,1,100000007,510000001757,
12,,Segment,3,1,Image 1,1,1,100000009,510000001758,
76,,Segment,3,2,Image 1,1,1,100000009,510000001759,
0,,Segment,3,1,Image 1,1,1,100000010,510000001760,
0,,Segment,3,1,Image 1,1,1,100000010,510000001761,
0,,Segment,3,1,Image 1,1,1,100000011,510000001762,
86,,Segment,3,3,Image 1,2,1,100000011,510000001763,
0,,Segment,3,1,Image 1,1,1,100000011,510000001764,
2,,Segment,3,2,Image 1,2,1,100000011,510000001765,
