
Segment Length
 ==================== 
Segment Length,Unit,Category,Depth,Level,Time,FilamentID,ID,
139.005,µm,Segment,2,2,1,100000007,510000001210,
19.8565,µm,Segment,1,1,1,100000007,510000001236,
76.2221,µm,Segment,2,1,1,100000007,510000001238,
77.1031,µm,Segment,2,2,1,100000007,510000001254,
134.572,µm,Segment,2,2,1,100000007,510000001270,
43.4187,µm,Segment,4,2,1,100000007,510000001294,
94.4536,µm,Segment,1,1,1,100000008,510000001301,
138.041,µm,Segment,1,1,1,100000008,510000001322,
57.9621,µm,Segment,1,1,1,100000008,510000001349,
56.7802,µm,Segment,1,1,1,100000008,510000001360,
13.5416,µm,Segment,1,1,1,100000008,510000001373,
37.9991,µm,Segment,2,1,1,100000008,510000001375,
14.5172,µm,Segment,3,1,1,100000008,510000001384,
19.337,µm,Segment,3,2,1,100000008,510000001387,
90.8418,µm,Segment,4,2,1,100000008,510000001391,
90.3815,µm,Segment,4,3,1,100000008,510000001408,
65.7947,µm,Segment,2,2,1,100000008,510000001424,
40.9823,µm,Segment,2,1,1,100000009,510000001441,
104.639,µm,Segment,2,2,1,100000009,510000001449,
117.456,µm,Segment,1,1,1,100000009,510000001468,
13.3466,µm,Segment,1,1,1,100000009,510000001489,
10.6586,µm,Segment,2,2,1,100000009,510000001491,
82.0512,µm,Segment,3,1,1,100000009,510000001494,
30.6424,µm,Segment,3,2,1,100000009,510000001510,
108.188,µm,Segment,1,1,1,100000009,510000001514,
24.2088,µm,Segment,1,1,1,100000009,510000001533,
26.2247,µm,Segment,1,1,1,100000010,510000001537,
88.1997,µm,Segment,2,1,1,100000010,510000001541,
85.6712,µm,Segment,2,2,1,100000010,510000001558,
48.0081,µm,Segment,2,1,1,100000010,510000001575,
117.501,µm,Segment,2,2,1,100000010,510000001584,
79.9796,µm,Segment,2,2,1,100000010,510000001609,
51.5075,µm,Segment,1,1,1,100000010,510000001626,
15.0068,µm,Segment,2,1,1,100000010,510000001636,
51.638,µm,Segment,2,2,1,100000010,510000001640,
15.5012,µm,Segment,3,2,1,100000010,510000001649,
39.6778,µm,Segment,3,3,1,100000010,510000001652,
21.1811,µm,Segment,2,1,1,100000010,510000001659,
50.5182,µm,Segment,3,1,1,100000010,510000001662,
53.5907,µm,Segment,3,2,1,100000010,510000001672,
78.7665,µm,Segment,2,1,1,100000011,510000001682,
36.2552,µm,Segment,2,2,1,100000011,510000001692,
198.907,µm,Segment,3,3,1,100000011,510000001695,
21.7495,µm,Segment,2,1,1,100000011,510000001716,
78.2775,µm,Segment,3,2,1,100000011,510000001718,
86.5802,µm,Segment,3,1,1,100000011,510000001719,
45.3027,µm,Segment,1,1,1,100000011,510000001726,
19.1642,µm,Segment,1,1,1,100000000,510000001736,
15.098,µm,Segment,1,1,1,100000000,510000001737,
10.3755,µm,Segment,1,1,1,100000001,510000001738,
11.7744,µm,Segment,1,1,1,100000002,510000001739,
7.50139,µm,Segment,2,1,1,100000002,510000001740,
10.2558,µm,Segment,1,1,1,100000002,510000001741,
7.06128,µm,Segment,2,1,1,100000002,510000001742,
5.3765,µm,Segment,3,1,1,100000002,510000001743,
5.2114,µm,Segment,0,1,1,100000003,510000001744,
13.0827,µm,Segment,1,2,1,100000003,510000001745,
14.0872,µm,Segment,0,1,1,100000003,510000001746,
23.9617,µm,Segment,1,1,1,100000004,510000001747,
17.6163,µm,Segment,1,1,1,100000004,510000001748,
23.4027,µm,Segment,4,3,1,100000004,510000001749,
11.7926,µm,Segment,1,1,1,100000005,510000001750,
10.6578,µm,Segment,1,1,1,100000005,510000001751,
9.60637,µm,Segment,1,1,1,100000005,510000001752,
9.22562,µm,Segment,1,1,1,100000006,510000001753,
5.64856,µm,Segment,2,1,1,100000006,510000001754,
