
Segment Mean Diameter
 ==================== 
Segment Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
4.55129,µm,Segment,4,3,1,100000007,510000001202,
4.85527,µm,Segment,2,2,1,100000007,510000001210,
9.79948,µm,Segment,1,1,1,100000007,510000001236,
5.28939,µm,Segment,2,1,1,100000007,510000001238,
4.77389,µm,Segment,2,2,1,100000007,510000001254,
4.86674,µm,Segment,2,2,1,100000007,510000001270,
4.78608,µm,Segment,4,2,1,100000007,510000001294,
7.85668,µm,Segment,1,1,1,100000008,510000001301,
7.69316,µm,Segment,1,1,1,100000008,510000001322,
8.10583,µm,Segment,1,1,1,100000008,510000001349,
7.95195,µm,Segment,1,1,1,100000008,510000001360,
10.8972,µm,Segment,1,1,1,100000008,510000001373,
7.45099,µm,Segment,2,1,1,100000008,510000001375,
6.77466,µm,Segment,3,1,1,100000008,510000001384,
6.73722,µm,Segment,3,2,1,100000008,510000001387,
6.65036,µm,Segment,4,2,1,100000008,510000001391,
6.63595,µm,Segment,4,3,1,100000008,510000001408,
6.84584,µm,Segment,2,2,1,100000008,510000001424,
5.3448,µm,Segment,2,1,1,100000009,510000001441,
4.83898,µm,Segment,2,2,1,100000009,510000001449,
5.73021,µm,Segment,1,1,1,100000009,510000001468,
8.88612,µm,Segment,1,1,1,100000009,510000001489,
4.99529,µm,Segment,2,2,1,100000009,510000001491,
4.60951,µm,Segment,3,1,1,100000009,510000001494,
4.59486,µm,Segment,3,2,1,100000009,510000001510,
5.76857,µm,Segment,1,1,1,100000009,510000001514,
7.69743,µm,Segment,1,1,1,100000009,510000001533,
11.3697,µm,Segment,1,1,1,100000010,510000001537,
8.05976,µm,Segment,2,1,1,100000010,510000001541,
6.9672,µm,Segment,2,2,1,100000010,510000001558,
7.68601,µm,Segment,2,1,1,100000010,510000001575,
7.01258,µm,Segment,2,2,1,100000010,510000001584,
7.60478,µm,Segment,2,2,1,100000010,510000001609,
8.99781,µm,Segment,1,1,1,100000010,510000001626,
6.83912,µm,Segment,2,1,1,100000010,510000001636,
6.71454,µm,Segment,2,2,1,100000010,510000001640,
6.63668,µm,Segment,3,2,1,100000010,510000001649,
6.63229,µm,Segment,3,3,1,100000010,510000001652,
7.83014,µm,Segment,2,1,1,100000010,510000001659,
6.82499,µm,Segment,3,1,1,100000010,510000001662,
6.71227,µm,Segment,3,2,1,100000010,510000001672,
10.1365,µm,Segment,2,1,1,100000011,510000001682,
9.56351,µm,Segment,2,2,1,100000011,510000001692,
7.69966,µm,Segment,3,3,1,100000011,510000001695,
9.65422,µm,Segment,2,1,1,100000011,510000001716,
7.39438,µm,Segment,3,2,1,100000011,510000001718,
7.47038,µm,Segment,3,1,1,100000011,510000001719,
12.2472,µm,Segment,1,1,1,100000011,510000001726,
32.7155,µm,Segment,1,1,1,100000000,510000001736,
32.7155,µm,Segment,1,1,1,100000000,510000001737,
11.9062,µm,Segment,1,1,1,100000001,510000001738,
11.3416,µm,Segment,1,1,1,100000002,510000001739,
4.86857,µm,Segment,2,1,1,100000002,510000001740,
11.3416,µm,Segment,1,1,1,100000002,510000001741,
4.98806,µm,Segment,2,1,1,100000002,510000001742,
4.32344,µm,Segment,3,1,1,100000002,510000001743,
13.2854,µm,Segment,0,1,1,100000003,510000001744,
8.77964,µm,Segment,1,2,1,100000003,510000001745,
9.93569,µm,Segment,0,1,1,100000003,510000001746,
17.4319,µm,Segment,1,1,1,100000004,510000001747,
17.4319,µm,Segment,1,1,1,100000004,510000001748,
4.7604,µm,Segment,4,3,1,100000004,510000001749,
12.0222,µm,Segment,1,1,1,100000005,510000001750,
12.0222,µm,Segment,1,1,1,100000005,510000001751,
12.0222,µm,Segment,1,1,1,100000005,510000001752,
11.7049,µm,Segment,1,1,1,100000006,510000001753,
5.80679,µm,Segment,2,1,1,100000006,510000001754,
11.4675,µm,Segment,1,1,1,100000007,510000001755,
11.4675,µm,Segment,1,1,1,100000007,510000001756,
6.90726,µm,Segment,2,1,1,100000007,510000001757,
10.5793,µm,Segment,1,1,1,100000009,510000001758,
5.13523,µm,Segment,2,1,1,100000009,510000001759,
14.3071,µm,Segment,1,1,1,100000010,510000001760,
14.3071,µm,Segment,1,1,1,100000010,510000001761,
19.0427,µm,Segment,1,1,1,100000011,510000001762,
7.7785,µm,Segment,3,2,1,100000011,510000001763,
18.4685,µm,Segment,1,1,1,100000011,510000001764,
9.52738,µm,Segment,2,2,1,100000011,510000001765,
