
Segment Intensity Max Ch=2 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
148,,Segment,2,1,Image 1,1,1,100000000,510000000001,
206,,Segment,2,2,Image 1,1,1,100000000,510000000003,
215,,Segment,2,3,Image 1,1,1,100000000,510000000007,
207,,Segment,2,3,Image 1,2,1,100000000,510000000039,
201,,Segment,2,2,Image 1,2,1,100000000,510000000051,
206,,Segment,2,3,Image 1,2,1,100000000,510000000054,
201,,Segment,2,3,Image 1,3,1,100000000,510000000060,
203,,Segment,2,1,Image 1,1,1,100000000,510000000083,
198,,Segment,2,2,Image 1,1,1,100000000,510000000098,
198,,Segment,2,3,Image 1,1,1,100000000,510000000103,
198,,Segment,2,3,Image 1,2,1,100000000,510000000123,
147,,Segment,2,2,Image 1,1,1,100000000,510000000137,
192,,Segment,2,3,Image 1,1,1,100000000,510000000139,
192,,Segment,2,3,Image 1,2,1,100000000,510000000160,
201,,Segment,2,2,Image 1,2,1,100000000,510000000181,
205,,Segment,2,2,Image 1,2,1,100000000,510000000190,
202,,Segment,2,2,Image 1,2,1,100000000,510000000208,
195,,Segment,2,2,Image 1,1,1,100000001,510000000218,
203,,Segment,2,3,Image 1,1,1,100000001,510000000225,
208,,Segment,2,3,Image 1,2,1,100000001,510000000234,
181,,Segment,2,2,Image 1,2,1,100000001,510000000244,
94,,Segment,2,1,Image 1,1,1,100000001,510000000263,
194,,Segment,2,2,Image 1,1,1,100000001,510000000265,
132,,Segment,2,1,Image 1,1,1,100000001,510000000277,
200,,Segment,2,2,Image 1,1,1,100000001,510000000280,
211,,Segment,2,3,Image 1,1,1,100000001,510000000291,
205,,Segment,2,3,Image 1,2,1,100000001,510000000304,
190,,Segment,2,2,Image 1,2,1,100000001,510000000325,
213,,Segment,2,3,Image 1,2,1,100000001,510000000335,
204,,Segment,2,3,Image 1,3,1,100000001,510000000360,
173,,Segment,2,1,Image 1,1,1,100000001,510000000372,
185,,Segment,2,2,Image 1,2,1,100000001,510000000378,
210,,Segment,2,3,Image 1,1,1,100000002,510000000392,
212,,Segment,2,2,Image 1,2,1,100000002,510000000405,
157,,Segment,2,1,Image 1,1,1,100000002,510000000415,
218,,Segment,2,2,Image 1,1,1,100000002,510000000417,
199,,Segment,2,4,Image 1,2,1,100000002,510000000430,
204,,Segment,2,4,Image 1,1,1,100000002,510000000449,
