
Segment Center Intensity Min Ch=1 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
89,,Segment,1,5,Image 1,1,1,100000007,510000001119,
88,,Segment,1,5,Image 1,2,1,100000007,510000001123,
129,,Segment,1,3,Image 1,2,1,100000007,510000001133,
70,,Segment,1,4,Image 1,2,1,100000007,510000001136,
55,,Segment,1,4,Image 1,3,1,100000007,510000001147,
73,,Segment,1,3,Image 1,1,1,100000007,510000001157,
16,,Segment,1,3,Image 1,2,1,100000007,510000001178,
90,,Segment,1,4,Image 1,2,1,100000007,510000001191,
63,,Segment,1,4,Image 1,3,1,100000007,510000001202,
64,,Segment,1,2,Image 1,2,1,100000007,510000001210,
245,,Segment,1,1,Image 1,1,1,100000007,510000001236,
73,,Segment,1,2,Image 1,1,1,100000007,510000001238,
73,,Segment,1,2,Image 1,2,1,100000007,510000001254,
0,,Segment,1,2,Image 1,2,1,100000007,510000001270,
79,,Segment,1,4,Image 1,2,1,100000007,510000001294,
115,,Segment,1,1,Image 1,1,1,100000008,510000001301,
52,,Segment,1,1,Image 1,1,1,100000008,510000001322,
92,,Segment,1,1,Image 1,1,1,100000008,510000001349,
79,,Segment,1,1,Image 1,1,1,100000008,510000001360,
150,,Segment,1,1,Image 1,1,1,100000008,510000001373,
94,,Segment,1,2,Image 1,1,1,100000008,510000001375,
111,,Segment,1,3,Image 1,1,1,100000008,510000001384,
125,,Segment,1,3,Image 1,2,1,100000008,510000001387,
155,,Segment,1,4,Image 1,2,1,100000008,510000001391,
86,,Segment,1,4,Image 1,3,1,100000008,510000001408,
106,,Segment,1,2,Image 1,2,1,100000008,510000001424,
123,,Segment,1,2,Image 1,1,1,100000009,510000001441,
96,,Segment,1,2,Image 1,2,1,100000009,510000001449,
36,,Segment,1,1,Image 1,1,1,100000009,510000001468,
178,,Segment,1,1,Image 1,1,1,100000009,510000001489,
139,,Segment,1,2,Image 1,2,1,100000009,510000001491,
44,,Segment,1,3,Image 1,1,1,100000009,510000001494,
83,,Segment,1,3,Image 1,2,1,100000009,510000001510,
74,,Segment,1,1,Image 1,1,1,100000009,510000001514,
121,,Segment,1,1,Image 1,1,1,100000009,510000001533,
109,,Segment,1,1,Image 1,1,1,100000010,510000001537,
92,,Segment,1,2,Image 1,1,1,100000010,510000001541,
77,,Segment,1,2,Image 1,2,1,100000010,510000001558,
101,,Segment,1,2,Image 1,1,1,100000010,510000001575,
12,,Segment,1,2,Image 1,2,1,100000010,510000001584,
140,,Segment,1,2,Image 1,2,1,100000010,510000001609,
54,,Segment,1,1,Image 1,1,1,100000010,510000001626,
149,,Segment,1,2,Image 1,1,1,100000010,510000001636,
40,,Segment,1,2,Image 1,2,1,100000010,510000001640,
78,,Segment,1,3,Image 1,2,1,100000010,510000001649,
74,,Segment,1,3,Image 1,3,1,100000010,510000001652,
139,,Segment,1,2,Image 1,1,1,100000010,510000001659,
101,,Segment,1,3,Image 1,1,1,100000010,510000001662,
121,,Segment,1,3,Image 1,2,1,100000010,510000001672,
43,,Segment,1,2,Image 1,1,1,100000011,510000001682,
140,,Segment,1,2,Image 1,2,1,100000011,510000001692,
68,,Segment,1,3,Image 1,3,1,100000011,510000001695,
78,,Segment,1,2,Image 1,1,1,100000011,510000001716,
78,,Segment,1,3,Image 1,2,1,100000011,510000001718,
78,,Segment,1,3,Image 1,1,1,100000011,510000001719,
35,,Segment,1,1,Image 1,1,1,100000011,510000001726,
141,,Segment,1,1,Image 1,1,1,100000000,510000001736,
229,,Segment,1,1,Image 1,1,1,100000000,510000001737,
243,,Segment,1,1,Image 1,1,1,100000001,510000001738,
232,,Segment,1,1,Image 1,1,1,100000002,510000001739,
232,,Segment,1,2,Image 1,1,1,100000002,510000001740,
222,,Segment,1,1,Image 1,1,1,100000002,510000001741,
199,,Segment,1,2,Image 1,1,1,100000002,510000001742,
181,,Segment,1,3,Image 1,1,1,100000002,510000001743,
255,,Segment,1,0,Image 1,1,1,100000003,510000001744,
255,,Segment,1,1,Image 1,2,1,100000003,510000001745,
244,,Segment,1,0,Image 1,1,1,100000003,510000001746,
126,,Segment,1,1,Image 1,1,1,100000004,510000001747,
155,,Segment,1,1,Image 1,1,1,100000004,510000001748,
209,,Segment,1,4,Image 1,3,1,100000004,510000001749,
255,,Segment,1,1,Image 1,1,1,100000005,510000001750,
253,,Segment,1,1,Image 1,1,1,100000005,510000001751,
255,,Segment,1,1,Image 1,1,1,100000005,510000001752,
255,,Segment,1,1,Image 1,1,1,100000006,510000001753,
152,,Segment,1,2,Image 1,1,1,100000006,510000001754,
255,,Segment,1,1,Image 1,1,1,100000007,510000001755,
142,,Segment,1,1,Image 1,1,1,100000007,510000001756,
136,,Segment,1,2,Image 1,1,1,100000007,510000001757,
208,,Segment,1,1,Image 1,1,1,100000009,510000001758,
178,,Segment,1,2,Image 1,1,1,100000009,510000001759,
255,,Segment,1,1,Image 1,1,1,100000010,510000001760,
170,,Segment,1,1,Image 1,1,1,100000010,510000001761,
205,,Segment,1,1,Image 1,1,1,100000011,510000001762,
113,,Segment,1,3,Image 1,2,1,100000011,510000001763,
255,,Segment,1,1,Image 1,1,1,100000011,510000001764,
155,,Segment,1,2,Image 1,2,1,100000011,510000001765,
