
Segment Intensity Min Ch=2 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,2,1,Image 1,1,1,100000000,510000000001,
0,,Segment,2,2,Image 1,1,1,100000000,510000000003,
0,,Segment,2,3,Image 1,1,1,100000000,510000000007,
0,,Segment,2,3,Image 1,2,1,100000000,510000000039,
2,,Segment,2,2,Image 1,2,1,100000000,510000000051,
3,,Segment,2,3,Image 1,2,1,100000000,510000000054,
26,,Segment,2,3,Image 1,3,1,100000000,510000000060,
0,,Segment,2,1,Image 1,1,1,100000000,510000000083,
0,,Segment,2,2,Image 1,1,1,100000000,510000000098,
0,,Segment,2,3,Image 1,1,1,100000000,510000000103,
0,,Segment,2,3,Image 1,2,1,100000000,510000000123,
0,,Segment,2,2,Image 1,1,1,100000000,510000000137,
0,,Segment,2,3,Image 1,1,1,100000000,510000000139,
0,,Segment,2,3,Image 1,2,1,100000000,510000000160,
0,,Segment,2,2,Image 1,2,1,100000000,510000000181,
0,,Segment,2,2,Image 1,2,1,100000000,510000000190,
0,,Segment,2,2,Image 1,2,1,100000000,510000000208,
29,,Segment,2,2,Image 1,1,1,100000001,510000000218,
0,,Segment,2,3,Image 1,1,1,100000001,510000000225,
0,,Segment,2,3,Image 1,2,1,100000001,510000000234,
33,,Segment,2,2,Image 1,2,1,100000001,510000000244,
1,,Segment,2,1,Image 1,1,1,100000001,510000000263,
0,,Segment,2,2,Image 1,1,1,100000001,510000000265,
1,,Segment,2,1,Image 1,1,1,100000001,510000000277,
24,,Segment,2,2,Image 1,1,1,100000001,510000000280,
0,,Segment,2,3,Image 1,1,1,100000001,510000000291,
21,,Segment,2,3,Image 1,2,1,100000001,510000000304,
39,,Segment,2,2,Image 1,2,1,100000001,510000000325,
1,,Segment,2,3,Image 1,2,1,100000001,510000000335,
39,,Segment,2,3,Image 1,3,1,100000001,510000000360,
1,,Segment,2,1,Image 1,1,1,100000001,510000000372,
16,,Segment,2,2,Image 1,2,1,100000001,510000000378,
0,,Segment,2,3,Image 1,1,1,100000002,510000000392,
0,,Segment,2,2,Image 1,2,1,100000002,510000000405,
0,,Segment,2,1,Image 1,1,1,100000002,510000000415,
10,,Segment,2,2,Image 1,1,1,100000002,510000000417,
0,,Segment,2,4,Image 1,2,1,100000002,510000000430,
2,,Segment,2,4,Image 1,1,1,100000002,510000000449,
6,,Segment,2,5,Image 1,1,1,100000002,510000000451,
35,,Segment,2,2,Image 1,2,1,100000002,510000000457,
45,,Segment,2,3,Image 1,2,1,100000002,510000000459,
10,,Segment,2,2,Image 1,2,1,100000002,510000000468,
8,,Segment,2,3,Image 1,2,1,100000002,510000000470,
0,,Segment,2,3,Image 1,3,1,100000002,510000000481,
0,,Segment,2,3,Image 1,2,1,100000002,510000000485,
9,,Segment,2,5,Image 1,2,1,100000002,510000000490,
0,,Segment,2,1,Image 1,1,1,100000002,510000000503,
0,,Segment,2,1,Image 1,1,1,100000003,510000000517,
0,,Segment,2,1,Image 1,1,1,100000003,510000000532,
81,,Segment,2,2,Image 1,1,1,100000003,510000000537,
1,,Segment,2,2,Image 1,2,1,100000003,510000000547,
42,,Segment,2,3,Image 1,2,1,100000003,510000000550,
