
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
112374,9658.81,15.9212,µm,Segment,Segment Position,2,1,1,100000009,510000001759,
112128,9612.38,18.2168,µm,Segment,Segment Position,2,2,1,100000000,510000000051,
112097,9695.01,17.726,µm,Segment,Segment Position,2,2,1,100000000,510000000181,
112043,9656.78,8.33834,µm,Segment,Segment Position,2,2,1,100000000,510000000190,
112143,9697.42,15.1039,µm,Segment,Segment Position,2,2,1,100000000,510000000208,
111789,9995.42,4.18118,µm,Segment,Segment Position,2,2,1,100000001,510000000244,
111757,9935.87,12.1273,µm,Segment,Segment Position,2,2,1,100000001,510000000325,
111751,9959.55,11.4786,µm,Segment,Segment Position,2,2,1,100000001,510000000378,
111910,10305.3,14.2759,µm,Segment,Segment Position,2,2,1,100000002,510000000405,
111927,10260.4,10.6226,µm,Segment,Segment Position,2,2,1,100000002,510000000457,
111901,10269.2,11.9049,µm,Segment,Segment Position,2,2,1,100000002,510000000468,
112679,10236.8,18.5257,µm,Segment,Segment Position,2,2,1,100000003,510000000547,
112738,10261,18.7835,µm,Segment,Segment Position,2,2,1,100000003,510000000672,
111792,9678.02,6.55077,µm,Segment,Segment Position,2,2,1,100000004,510000000740,
111791,9665.41,1.86125,µm,Segment,Segment Position,2,2,1,100000004,510000000751,
111785,9732.15,10.0668,µm,Segment,Segment Position,2,2,1,100000004,510000000766,
111863,9703.01,13.3538,µm,Segment,Segment Position,2,2,1,100000004,510000000771,
112576,9201.58,12.0445,µm,Segment,Segment Position,2,2,1,100000005,510000000803,
112534,9164.65,18.8663,µm,Segment,Segment Position,2,2,1,100000005,510000000827,
112543,9191.61,18.9865,µm,Segment,Segment Position,2,2,1,100000005,510000000841,
112482,9232.27,12.7273,µm,Segment,Segment Position,2,2,1,100000005,510000000846,
112557,9246.49,18.8162,µm,Segment,Segment Position,2,2,1,100000005,510000000880,
112439,9364.36,12.8715,µm,Segment,Segment Position,2,2,1,100000006,510000001003,
112289,10057.6,9.51302,µm,Segment,Segment Position,2,2,1,100000007,510000001210,
112408,10093.6,9.54131,µm,Segment,Segment Position,2,2,1,100000007,510000001254,
112379,10105.5,14.1076,µm,Segment,Segment Position,2,2,1,100000007,510000001270,
112535,9439.48,-12.1922,µm,Segment,Segment Position,2,2,1,100000008,510000001424,
112438,9670.42,17.2156,µm,Segment,Segment Position,2,2,1,100000009,510000001449,
112373,9657.5,15.7383,µm,Segment,Segment Position,2,2,1,100000009,510000001491,
111481,9409.33,1.63806,µm,Segment,Segment Position,2,2,1,100000010,510000001558,
111442,9499.43,-2.24335,µm,Segment,Segment Position,2,2,1,100000010,510000001584,
111527,9492.7,7.38316,µm,Segment,Segment Position,2,2,1,100000010,510000001609,
111508,9533.31,-3.17284,µm,Segment,Segment Position,2,2,1,100000010,510000001640,
111867,9355.64,14.4902,µm,Segment,Segment Position,2,2,1,100000011,510000001692,
111837,9334.5,13.6043,µm,Segment,Segment Position,2,2,1,100000011,510000001765,
112722,10190.2,18.6598,µm,Segment,Segment Position,2,3,1,100000003,510000000625,
112266,9513.28,13.4041,µm,Segment,Segment Position,3,1,1,100000000,510000000007,
112030,9626.55,-5.52909,µm,Segment,Segment Position,3,1,1,100000000,510000000103,
112147,9696.94,-5.61225,µm,Segment,Segment Position,3,1,1,100000000,510000000139,
111831,10001.3,16.6385,µm,Segment,Segment Position,3,1,1,100000001,510000000225,
111690,9927.03,7.91049,µm,Segment,Segment Position,3,1,1,100000001,510000000291,
111927,10312.3,14.7785,µm,Segment,Segment Position,3,1,1,100000002,510000000392,
111911,9824.59,8.32653,µm,Segment,Segment Position,3,1,1,100000004,510000000700,
111810,9640.76,7.93532,µm,Segment,Segment Position,3,1,1,100000004,510000000723,
112527,9257.66,17.6181,µm,Segment,Segment Position,3,1,1,100000005,510000000869,
112495,9166.95,-2.23304,µm,Segment,Segment Position,3,1,1,100000005,510000000913,
112365,9339.03,10.9791,µm,Segment,Segment Position,3,1,1,100000006,510000000982,
112392,10032.1,17.447,µm,Segment,Segment Position,3,1,1,100000007,510000001103,
112341,10003.2,7.51119,µm,Segment,Segment Position,3,1,1,100000007,510000001157,
112509,9426.05,10.0232,µm,Segment,Segment Position,3,1,1,100000008,510000001384,
112330,9663.62,12.7375,µm,Segment,Segment Position,3,1,1,100000009,510000001494,
111522,9446.68,7.7547,µm,Segment,Segment Position,3,1,1,100000010,510000001662,
111848,9280.36,16.9976,µm,Segment,Segment Position,3,1,1,100000011,510000001719,
111926,10251.8,11.0479,µm,Segment,Segment Position,3,1,1,100000002,510000001743,
112176,9534.32,16.7151,µm,Segment,Segment Position,3,2,1,100000000,510000000039,
112124,9561.08,17.6161,µm,Segment,Segment Position,3,2,1,100000000,510000000054,
112053,9609.52,3.12126,µm,Segment,Segment Position,3,2,1,100000000,510000000123,
