
Segment Center Intensity Mean Ch=3 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
32.5,,Segment,3,1,Image 1,1,1,100000000,510000000001,
91.6,,Segment,3,2,Image 1,1,1,100000000,510000000003,
161.788,,Segment,3,3,Image 1,1,1,100000000,510000000007,
158.846,,Segment,3,3,Image 1,2,1,100000000,510000000039,
120.25,,Segment,3,2,Image 1,2,1,100000000,510000000051,
176.143,,Segment,3,3,Image 1,2,1,100000000,510000000054,
182.708,,Segment,3,3,Image 1,3,1,100000000,510000000060,
151.571,,Segment,3,1,Image 1,1,1,100000000,510000000083,
137.333,,Segment,3,2,Image 1,1,1,100000000,510000000098,
178.905,,Segment,3,3,Image 1,1,1,100000000,510000000103,
179.5,,Segment,3,3,Image 1,2,1,100000000,510000000123,
68.6667,,Segment,3,2,Image 1,1,1,100000000,510000000137,
158.773,,Segment,3,3,Image 1,1,1,100000000,510000000139,
161.591,,Segment,3,3,Image 1,2,1,100000000,510000000160,
145.1,,Segment,3,2,Image 1,2,1,100000000,510000000181,
160.053,,Segment,3,2,Image 1,2,1,100000000,510000000190,
156.889,,Segment,3,2,Image 1,2,1,100000000,510000000208,
105.75,,Segment,3,2,Image 1,1,1,100000001,510000000218,
127.333,,Segment,3,3,Image 1,1,1,100000001,510000000225,
128.2,,Segment,3,3,Image 1,2,1,100000001,510000000234,
145.65,,Segment,3,2,Image 1,2,1,100000001,510000000244,
61,,Segment,3,1,Image 1,1,1,100000001,510000000263,
133.308,,Segment,3,2,Image 1,1,1,100000001,510000000265,
90.3333,,Segment,3,1,Image 1,1,1,100000001,510000000277,
145.583,,Segment,3,2,Image 1,1,1,100000001,510000000280,
171.071,,Segment,3,3,Image 1,1,1,100000001,510000000291,
159.318,,Segment,3,3,Image 1,2,1,100000001,510000000304,
141.545,,Segment,3,2,Image 1,2,1,100000001,510000000325,
179.077,,Segment,3,3,Image 1,2,1,100000001,510000000335,
182.692,,Segment,3,3,Image 1,3,1,100000001,510000000360,
112.5,,Segment,3,1,Image 1,1,1,100000001,510000000372,
138.75,,Segment,3,2,Image 1,2,1,100000001,510000000378,
134.929,,Segment,3,3,Image 1,1,1,100000002,510000000392,
165.545,,Segment,3,2,Image 1,2,1,100000002,510000000405,
65,,Segment,3,1,Image 1,1,1,100000002,510000000415,
140.091,,Segment,3,2,Image 1,1,1,100000002,510000000417,
108.35,,Segment,3,4,Image 1,2,1,100000002,510000000430,
152,,Segment,3,4,Image 1,1,1,100000002,510000000449,
177.714,,Segment,3,5,Image 1,1,1,100000002,510000000451,
99.6667,,Segment,3,2,Image 1,2,1,100000002,510000000457,
149,,Segment,3,3,Image 1,2,1,100000002,510000000459,
149.333,,Segment,3,2,Image 1,2,1,100000002,510000000468,
144.667,,Segment,3,3,Image 1,2,1,100000002,510000000470,
152.6,,Segment,3,3,Image 1,3,1,100000002,510000000481,
147.333,,Segment,3,3,Image 1,2,1,100000002,510000000485,
111.857,,Segment,3,5,Image 1,2,1,100000002,510000000490,
143.538,,Segment,3,1,Image 1,1,1,100000002,510000000503,
149.467,,Segment,3,1,Image 1,1,1,100000003,510000000517,
78,,Segment,3,1,Image 1,1,1,100000003,510000000532,
158.7,,Segment,3,2,Image 1,1,1,100000003,510000000537,
142.25,,Segment,3,2,Image 1,2,1,100000003,510000000547,
164.333,,Segment,3,3,Image 1,2,1,100000003,510000000550,
178.5,,Segment,3,4,Image 1,2,1,100000003,510000000555,
190.389,,Segment,3,5,Image 1,2,1,100000003,510000000558,
171.182,,Segment,3,4,Image 1,3,1,100000003,510000000575,
145.429,,Segment,3,3,Image 1,3,1,100000003,510000000585,
177.095,,Segment,3,4,Image 1,3,1,100000003,510000000591,
166.267,,Segment,3,4,Image 1,4,1,100000003,510000000611,
171.92,,Segment,3,2,Image 1,3,1,100000003,510000000625,
171.105,,Segment,3,5,Image 1,3,1,100000003,510000000650,
160.75,,Segment,3,1,Image 1,2,1,100000003,510000000668,
146.4,,Segment,3,2,Image 1,2,1,100000003,510000000672,
112,,Segment,3,1,Image 1,1,1,100000004,510000000678,
157.333,,Segment,3,2,Image 1,1,1,100000004,510000000680,
143,,Segment,3,2,Image 1,1,1,100000004,510000000686,
157.5,,Segment,3,3,Image 1,1,1,100000004,510000000700,
186.667,,Segment,3,3,Image 1,2,1,100000004,510000000703,
134.867,,Segment,3,1,Image 1,1,1,100000004,510000000705,
122.75,,Segment,3,2,Image 1,1,1,100000004,510000000720,
150.6,,Segment,3,3,Image 1,1,1,100000004,510000000723,
157.25,,Segment,3,4,Image 1,1,1,100000004,510000000727,
166,,Segment,3,4,Image 1,2,1,100000004,510000000730,
167.625,,Segment,3,3,Image 1,2,1,100000004,510000000733,
126,,Segment,3,2,Image 1,2,1,100000004,510000000740,
118.667,,Segment,3,3,Image 1,2,1,100000004,510000000743,
177.857,,Segment,3,4,Image 1,2,1,100000004,510000000745,
110.833,,Segment,3,2,Image 1,2,1,100000004,510000000751,
171.818,,Segment,3,3,Image 1,3,1,100000004,510000000756,
161.833,,Segment,3,2,Image 1,2,1,100000004,510000000766,
169.857,,Segment,3,2,Image 1,2,1,100000004,510000000771,
