
Segment Orientation Angle
 ==================== 
Segment Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
41.367,°,Segment,2,2,1,100000007,510000001254,
78.5052,°,Segment,2,2,1,100000007,510000001270,
38.2929,°,Segment,4,2,1,100000007,510000001294,
-10.1884,°,Segment,1,1,1,100000008,510000001301,
65.4014,°,Segment,1,1,1,100000008,510000001322,
-160.135,°,Segment,1,1,1,100000008,510000001349,
-95.7464,°,Segment,1,1,1,100000008,510000001360,
128.786,°,Segment,1,1,1,100000008,510000001373,
159.332,°,Segment,2,1,1,100000008,510000001375,
-178.684,°,Segment,3,1,1,100000008,510000001384,
102.862,°,Segment,3,2,1,100000008,510000001387,
166.999,°,Segment,4,2,1,100000008,510000001391,
64.3904,°,Segment,4,3,1,100000008,510000001408,
100.142,°,Segment,2,2,1,100000008,510000001424,
32.5316,°,Segment,2,1,1,100000009,510000001441,
-0.628329,°,Segment,2,2,1,100000009,510000001449,
-42.9308,°,Segment,1,1,1,100000009,510000001468,
-126.587,°,Segment,1,1,1,100000009,510000001489,
-130.583,°,Segment,2,2,1,100000009,510000001491,
176.228,°,Segment,3,1,1,100000009,510000001494,
141.042,°,Segment,3,2,1,100000009,510000001510,
119.202,°,Segment,1,1,1,100000009,510000001514,
74.9961,°,Segment,1,1,1,100000009,510000001533,
-104.546,°,Segment,1,1,1,100000010,510000001537,
-107.99,°,Segment,2,1,1,100000010,510000001541,
-95.8381,°,Segment,2,2,1,100000010,510000001558,
-153.512,°,Segment,2,1,1,100000010,510000001575,
135.712,°,Segment,2,2,1,100000010,510000001584,
34.9331,°,Segment,2,2,1,100000010,510000001609,
80.9995,°,Segment,1,1,1,100000010,510000001626,
108.568,°,Segment,2,1,1,100000010,510000001636,
55.5429,°,Segment,2,2,1,100000010,510000001640,
84.4559,°,Segment,3,2,1,100000010,510000001649,
20.9059,°,Segment,3,3,1,100000010,510000001652,
-53.6709,°,Segment,2,1,1,100000010,510000001659,
-29.021,°,Segment,3,1,1,100000010,510000001662,
-74.0714,°,Segment,3,2,1,100000010,510000001672,
-24.9355,°,Segment,2,1,1,100000011,510000001682,
44.6158,°,Segment,2,2,1,100000011,510000001692,
31.8982,°,Segment,3,3,1,100000011,510000001695,
-107.36,°,Segment,2,1,1,100000011,510000001716,
-152.908,°,Segment,3,2,1,100000011,510000001718,
-66.9533,°,Segment,3,1,1,100000011,510000001719,
76.877,°,Segment,1,1,1,100000011,510000001726,
178.471,°,Segment,1,1,1,100000000,510000001736,
62.7878,°,Segment,1,1,1,100000000,510000001737,
32.0526,°,Segment,1,1,1,100000001,510000001738,
69.1354,°,Segment,1,1,1,100000002,510000001739,
68.7623,°,Segment,2,1,1,100000002,510000001740,
-70.9715,°,Segment,1,1,1,100000002,510000001741,
-70.8835,°,Segment,2,1,1,100000002,510000001742,
-75.1759,°,Segment,3,1,1,100000002,510000001743,
102.452,°,Segment,0,1,1,100000003,510000001744,
-127.81,°,Segment,1,2,1,100000003,510000001745,
43.6859,°,Segment,0,1,1,100000003,510000001746,
51.6831,°,Segment,1,1,1,100000004,510000001747,
-124.232,°,Segment,1,1,1,100000004,510000001748,
-105.07,°,Segment,4,3,1,100000004,510000001749,
-164.271,°,Segment,1,1,1,100000005,510000001750,
-36.4245,°,Segment,1,1,1,100000005,510000001751,
