
Segment Branching Angle B
 ==================== 
Segment Branching Angle B,Unit,Category,Depth,Level,Time,FilamentID,ID,
34.4762,°,Segment,4,2,1,100000007,510000001294,
0,°,Segment,1,1,1,100000008,510000001301,
0,°,Segment,1,1,1,100000008,510000001322,
0,°,Segment,1,1,1,100000008,510000001349,
0,°,Segment,1,1,1,100000008,510000001360,
0,°,Segment,1,1,1,100000008,510000001373,
39.2444,°,Segment,2,1,1,100000008,510000001375,
21.6163,°,Segment,3,1,1,100000008,510000001384,
53.9529,°,Segment,3,2,1,100000008,510000001387,
65.0488,°,Segment,4,2,1,100000008,510000001391,
44.2664,°,Segment,4,3,1,100000008,510000001408,
30.5557,°,Segment,2,2,1,100000008,510000001424,
26.1909,°,Segment,2,1,1,100000009,510000001441,
16.6538,°,Segment,2,2,1,100000009,510000001449,
0,°,Segment,1,1,1,100000009,510000001468,
0,°,Segment,1,1,1,100000009,510000001489,
3.99478,°,Segment,2,2,1,100000009,510000001491,
36.8492,°,Segment,3,1,1,100000009,510000001494,
17.3943,°,Segment,3,2,1,100000009,510000001510,
0,°,Segment,1,1,1,100000009,510000001514,
0,°,Segment,1,1,1,100000009,510000001533,
0,°,Segment,1,1,1,100000010,510000001537,
6.28329,°,Segment,2,1,1,100000010,510000001541,
11.0689,°,Segment,2,2,1,100000010,510000001558,
11.7467,°,Segment,2,1,1,100000010,510000001575,
61.6199,°,Segment,2,2,1,100000010,510000001584,
18.0826,°,Segment,2,2,1,100000010,510000001609,
0,°,Segment,1,1,1,100000010,510000001626,
41.1295,°,Segment,2,1,1,100000010,510000001636,
29.2292,°,Segment,2,2,1,100000010,510000001640,
28.7564,°,Segment,3,2,1,100000010,510000001649,
34.8469,°,Segment,3,3,1,100000010,510000001652,
91.6602,°,Segment,2,1,1,100000010,510000001659,
28.2132,°,Segment,3,1,1,100000010,510000001662,
26.0505,°,Segment,3,2,1,100000010,510000001672,
19.4999,°,Segment,2,1,1,100000011,510000001682,
52.5651,°,Segment,2,2,1,100000011,510000001692,
13.3628,°,Segment,3,3,1,100000011,510000001695,
7.32908,°,Segment,2,1,1,100000011,510000001716,
45.4097,°,Segment,3,2,1,100000011,510000001718,
40.3652,°,Segment,3,1,1,100000011,510000001719,
0,°,Segment,1,1,1,100000011,510000001726,
0,°,Segment,1,1,1,100000000,510000001736,
0,°,Segment,1,1,1,100000000,510000001737,
0,°,Segment,1,1,1,100000001,510000001738,
0,°,Segment,1,1,1,100000002,510000001739,
0.912359,°,Segment,2,1,1,100000002,510000001740,
0,°,Segment,1,1,1,100000002,510000001741,
0.131221,°,Segment,2,1,1,100000002,510000001742,
4.64642,°,Segment,3,1,1,100000002,510000001743,
0,°,Segment,0,1,1,100000003,510000001744,
122.924,°,Segment,1,2,1,100000003,510000001745,
0,°,Segment,0,1,1,100000003,510000001746,
0,°,Segment,1,1,1,100000004,510000001747,
0,°,Segment,1,1,1,100000004,510000001748,
52.5458,°,Segment,4,3,1,100000004,510000001749,
0,°,Segment,1,1,1,100000005,510000001750,
0,°,Segment,1,1,1,100000005,510000001751,
0,°,Segment,1,1,1,100000005,510000001752,
0,°,Segment,1,1,1,100000006,510000001753,
3.57971,°,Segment,2,1,1,100000006,510000001754,
0,°,Segment,1,1,1,100000007,510000001755,
0,°,Segment,1,1,1,100000007,510000001756,
9.53077,°,Segment,2,1,1,100000007,510000001757,
0,°,Segment,1,1,1,100000009,510000001758,
89.2141,°,Segment,2,1,1,100000009,510000001759,
0,°,Segment,1,1,1,100000010,510000001760,
0,°,Segment,1,1,1,100000010,510000001761,
0,°,Segment,1,1,1,100000011,510000001762,
48.8984,°,Segment,3,2,1,100000011,510000001763,
0,°,Segment,1,1,1,100000011,510000001764,
71.3145,°,Segment,2,2,1,100000011,510000001765,
