
Segment Center Intensity Mean Ch=2 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
169.95,,Segment,2,3,Image 1,2,1,100000006,510000001041,
174.903,,Segment,2,3,Image 1,2,1,100000006,510000001060,
167.25,,Segment,2,1,Image 1,1,1,100000006,510000001090,
80.25,,Segment,2,2,Image 1,1,1,100000007,510000001100,
116.8,,Segment,2,3,Image 1,1,1,100000007,510000001103,
148.308,,Segment,2,4,Image 1,1,1,100000007,510000001107,
189,,Segment,2,5,Image 1,1,1,100000007,510000001119,
185.455,,Segment,2,5,Image 1,2,1,100000007,510000001123,
134.25,,Segment,2,3,Image 1,2,1,100000007,510000001133,
184.25,,Segment,2,4,Image 1,2,1,100000007,510000001136,
180,,Segment,2,4,Image 1,3,1,100000007,510000001147,
174,,Segment,2,3,Image 1,1,1,100000007,510000001157,
144.714,,Segment,2,3,Image 1,2,1,100000007,510000001178,
167,,Segment,2,4,Image 1,2,1,100000007,510000001191,
155.667,,Segment,2,4,Image 1,3,1,100000007,510000001202,
172.519,,Segment,2,2,Image 1,2,1,100000007,510000001210,
87,,Segment,2,1,Image 1,1,1,100000007,510000001236,
123.312,,Segment,2,2,Image 1,1,1,100000007,510000001238,
147.765,,Segment,2,2,Image 1,2,1,100000007,510000001254,
161.08,,Segment,2,2,Image 1,2,1,100000007,510000001270,
148.571,,Segment,2,4,Image 1,2,1,100000007,510000001294,
118,,Segment,2,1,Image 1,1,1,100000008,510000001301,
140.571,,Segment,2,1,Image 1,1,1,100000008,510000001322,
136.417,,Segment,2,1,Image 1,1,1,100000008,510000001349,
130.357,,Segment,2,1,Image 1,1,1,100000008,510000001360,
79.6667,,Segment,2,1,Image 1,1,1,100000008,510000001373,
110.6,,Segment,2,2,Image 1,1,1,100000008,510000001375,
147.25,,Segment,2,3,Image 1,1,1,100000008,510000001384,
126.4,,Segment,2,3,Image 1,2,1,100000008,510000001387,
93.6111,,Segment,2,4,Image 1,2,1,100000008,510000001391,
131,,Segment,2,4,Image 1,3,1,100000008,510000001408,
150.938,,Segment,2,2,Image 1,2,1,100000008,510000001424,
146.444,,Segment,2,2,Image 1,1,1,100000009,510000001441,
159.05,,Segment,2,2,Image 1,2,1,100000009,510000001449,
158.318,,Segment,2,1,Image 1,1,1,100000009,510000001468,
74.6667,,Segment,2,1,Image 1,1,1,100000009,510000001489,
120,,Segment,2,2,Image 1,2,1,100000009,510000001491,
162.706,,Segment,2,3,Image 1,1,1,100000009,510000001494,
161.6,,Segment,2,3,Image 1,2,1,100000009,510000001510,
156.55,,Segment,2,1,Image 1,1,1,100000009,510000001514,
112.25,,Segment,2,1,Image 1,1,1,100000009,510000001533,
101.6,,Segment,2,1,Image 1,1,1,100000010,510000001537,
128.611,,Segment,2,2,Image 1,1,1,100000010,510000001541,
161.118,,Segment,2,2,Image 1,2,1,100000010,510000001558,
136,,Segment,2,2,Image 1,1,1,100000010,510000001575,
146.8,,Segment,2,2,Image 1,2,1,100000010,510000001584,
120.889,,Segment,2,2,Image 1,2,1,100000010,510000001609,
127.727,,Segment,2,1,Image 1,1,1,100000010,510000001626,
141,,Segment,2,2,Image 1,1,1,100000010,510000001636,
159.8,,Segment,2,2,Image 1,2,1,100000010,510000001640,
163.75,,Segment,2,3,Image 1,2,1,100000010,510000001649,
156.625,,Segment,2,3,Image 1,3,1,100000010,510000001652,
126,,Segment,2,2,Image 1,1,1,100000010,510000001659,
145.273,,Segment,2,3,Image 1,1,1,100000010,510000001662,
142.111,,Segment,2,3,Image 1,2,1,100000010,510000001672,
163,,Segment,2,2,Image 1,1,1,100000011,510000001682,
118,,Segment,2,2,Image 1,2,1,100000011,510000001692,
163.7,,Segment,2,3,Image 1,3,1,100000011,510000001695,
133.333,,Segment,2,2,Image 1,1,1,100000011,510000001716,
179,,Segment,2,3,Image 1,2,1,100000011,510000001718,
149,,Segment,2,3,Image 1,1,1,100000011,510000001719,
160,,Segment,2,1,Image 1,1,1,100000011,510000001726,
82,,Segment,2,1,Image 1,1,1,100000000,510000001736,
63,,Segment,2,1,Image 1,1,1,100000000,510000001737,
62,,Segment,2,1,Image 1,1,1,100000001,510000001738,
65.5,,Segment,2,1,Image 1,1,1,100000002,510000001739,
95.5,,Segment,2,2,Image 1,1,1,100000002,510000001740,
72,,Segment,2,1,Image 1,1,1,100000002,510000001741,
112.5,,Segment,2,2,Image 1,1,1,100000002,510000001742,
137,,Segment,2,3,Image 1,1,1,100000002,510000001743,
30,,Segment,2,0,Image 1,1,1,100000003,510000001744,
49.5,,Segment,2,1,Image 1,2,1,100000003,510000001745,
96,,Segment,2,0,Image 1,1,1,100000003,510000001746,
93,,Segment,2,1,Image 1,1,1,100000004,510000001747,
70,,Segment,2,1,Image 1,1,1,100000004,510000001748,
135.5,,Segment,2,4,Image 1,3,1,100000004,510000001749,
75,,Segment,2,1,Image 1,1,1,100000005,510000001750,
84,,Segment,2,1,Image 1,1,1,100000005,510000001751,
28,,Segment,2,1,Image 1,1,1,100000005,510000001752,
75,,Segment,2,1,Image 1,1,1,100000006,510000001753,
113.5,,Segment,2,2,Image 1,1,1,100000006,510000001754,
76,,Segment,2,1,Image 1,1,1,100000007,510000001755,
146,,Segment,2,1,Image 1,1,1,100000007,510000001756,
154.5,,Segment,2,2,Image 1,1,1,100000007,510000001757,
63.5,,Segment,2,1,Image 1,1,1,100000009,510000001758,
114,,Segment,2,2,Image 1,1,1,100000009,510000001759,
20.5,,Segment,2,1,Image 1,1,1,100000010,510000001760,
85,,Segment,2,1,Image 1,1,1,100000010,510000001761,
85.5,,Segment,2,1,Image 1,1,1,100000011,510000001762,
174,,Segment,2,3,Image 1,2,1,100000011,510000001763,
43.5,,Segment,2,1,Image 1,1,1,100000011,510000001764,
107,,Segment,2,2,Image 1,2,1,100000011,510000001765,
