
Segment Center Intensity Mean Ch=1 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
255,,Segment,1,1,Image 1,1,1,100000000,510000000001,
226.4,,Segment,1,2,Image 1,1,1,100000000,510000000003,
153.061,,Segment,1,3,Image 1,1,1,100000000,510000000007,
136.077,,Segment,1,3,Image 1,2,1,100000000,510000000039,
190.75,,Segment,1,2,Image 1,2,1,100000000,510000000051,
126,,Segment,1,3,Image 1,2,1,100000000,510000000054,
108.458,,Segment,1,3,Image 1,3,1,100000000,510000000060,
141.857,,Segment,1,1,Image 1,1,1,100000000,510000000083,
122.667,,Segment,1,2,Image 1,1,1,100000000,510000000098,
115.286,,Segment,1,3,Image 1,1,1,100000000,510000000103,
85.1429,,Segment,1,3,Image 1,2,1,100000000,510000000123,
236.333,,Segment,1,2,Image 1,1,1,100000000,510000000137,
111.682,,Segment,1,3,Image 1,1,1,100000000,510000000139,
129.818,,Segment,1,3,Image 1,2,1,100000000,510000000160,
138.5,,Segment,1,2,Image 1,2,1,100000000,510000000181,
131.421,,Segment,1,2,Image 1,2,1,100000000,510000000190,
132.222,,Segment,1,2,Image 1,2,1,100000000,510000000208,
215.375,,Segment,1,2,Image 1,1,1,100000001,510000000218,
220.667,,Segment,1,3,Image 1,1,1,100000001,510000000225,
207.9,,Segment,1,3,Image 1,2,1,100000001,510000000234,
158.3,,Segment,1,2,Image 1,2,1,100000001,510000000244,
249.5,,Segment,1,1,Image 1,1,1,100000001,510000000263,
198.231,,Segment,1,2,Image 1,1,1,100000001,510000000265,
212,,Segment,1,1,Image 1,1,1,100000001,510000000277,
164.833,,Segment,1,2,Image 1,1,1,100000001,510000000280,
137.714,,Segment,1,3,Image 1,1,1,100000001,510000000291,
160.227,,Segment,1,3,Image 1,2,1,100000001,510000000304,
167.455,,Segment,1,2,Image 1,2,1,100000001,510000000325,
135.923,,Segment,1,3,Image 1,2,1,100000001,510000000335,
