
Segment Center Intensity StdDev Ch=3 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
18.5,,Segment,3,1,Image 1,1,1,100000000,510000000001,
36.838,,Segment,3,2,Image 1,1,1,100000000,510000000003,
31.0286,,Segment,3,3,Image 1,1,1,100000000,510000000007,
45.5409,,Segment,3,3,Image 1,2,1,100000000,510000000039,
47.2354,,Segment,3,2,Image 1,2,1,100000000,510000000051,
20.7325,,Segment,3,3,Image 1,2,1,100000000,510000000054,
18.1463,,Segment,3,3,Image 1,3,1,100000000,510000000060,
36.7807,,Segment,3,1,Image 1,1,1,100000000,510000000083,
33.365,,Segment,3,2,Image 1,1,1,100000000,510000000098,
23.036,,Segment,3,3,Image 1,1,1,100000000,510000000103,
12.8716,,Segment,3,3,Image 1,2,1,100000000,510000000123,
10.0775,,Segment,3,2,Image 1,1,1,100000000,510000000137,
28.5974,,Segment,3,3,Image 1,1,1,100000000,510000000139,
33.6974,,Segment,3,3,Image 1,2,1,100000000,510000000160,
51.3039,,Segment,3,2,Image 1,2,1,100000000,510000000181,
38.0629,,Segment,3,2,Image 1,2,1,100000000,510000000190,
37.0568,,Segment,3,2,Image 1,2,1,100000000,510000000208,
29.4226,,Segment,3,2,Image 1,1,1,100000001,510000000218,
22.1008,,Segment,3,3,Image 1,1,1,100000001,510000000225,
40.9751,,Segment,3,3,Image 1,2,1,100000001,510000000234,
37.1016,,Segment,3,2,Image 1,2,1,100000001,510000000244,
13,,Segment,3,1,Image 1,1,1,100000001,510000000263,
40.3968,,Segment,3,2,Image 1,1,1,100000001,510000000265,
14.3372,,Segment,3,1,Image 1,1,1,100000001,510000000277,
33.9521,,Segment,3,2,Image 1,1,1,100000001,510000000280,
32.0924,,Segment,3,3,Image 1,1,1,100000001,510000000291,
26.6277,,Segment,3,3,Image 1,2,1,100000001,510000000304,
22.2562,,Segment,3,2,Image 1,2,1,100000001,510000000325,
25.1441,,Segment,3,3,Image 1,2,1,100000001,510000000335,
13.9801,,Segment,3,3,Image 1,3,1,100000001,510000000360,
33.16,,Segment,3,1,Image 1,1,1,100000001,510000000372,
32.0784,,Segment,3,2,Image 1,2,1,100000001,510000000378,
41.2474,,Segment,3,3,Image 1,1,1,100000002,510000000392,
35.7017,,Segment,3,2,Image 1,2,1,100000002,510000000405,
24.8328,,Segment,3,1,Image 1,1,1,100000002,510000000415,
37.7587,,Segment,3,2,Image 1,1,1,100000002,510000000417,
40.9405,,Segment,3,4,Image 1,2,1,100000002,510000000430,
37.9737,,Segment,3,4,Image 1,1,1,100000002,510000000449,
31.7522,,Segment,3,5,Image 1,1,1,100000002,510000000451,
12.7628,,Segment,3,2,Image 1,2,1,100000002,510000000457,
36.1746,,Segment,3,3,Image 1,2,1,100000002,510000000459,
35.0365,,Segment,3,2,Image 1,2,1,100000002,510000000468,
35.0674,,Segment,3,3,Image 1,2,1,100000002,510000000470,
27.0156,,Segment,3,3,Image 1,3,1,100000002,510000000481,
29.8589,,Segment,3,3,Image 1,2,1,100000002,510000000485,
41.0572,,Segment,3,5,Image 1,2,1,100000002,510000000490,
44.0098,,Segment,3,1,Image 1,1,1,100000002,510000000503,
52.8089,,Segment,3,1,Image 1,1,1,100000003,510000000517,
23.3524,,Segment,3,1,Image 1,1,1,100000003,510000000532,
29.5027,,Segment,3,2,Image 1,1,1,100000003,510000000537,
31.3319,,Segment,3,2,Image 1,2,1,100000003,510000000547,
6.42045,,Segment,3,3,Image 1,2,1,100000003,510000000550,
