
Segment Center Intensity StdDev Ch=2 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
43.8433,,Segment,2,4,Image 1,3,1,100000005,510000000964,
51.7078,,Segment,2,3,Image 1,1,1,100000006,510000000982,
40.5547,,Segment,2,2,Image 1,2,1,100000006,510000001003,
41.5297,,Segment,2,1,Image 1,1,1,100000006,510000001027,
41.8646,,Segment,2,3,Image 1,2,1,100000006,510000001041,
9.809,,Segment,2,3,Image 1,2,1,100000006,510000001060,
30.6991,,Segment,2,1,Image 1,1,1,100000006,510000001090,
4.38035,,Segment,2,2,Image 1,1,1,100000007,510000001100,
20.2623,,Segment,2,3,Image 1,1,1,100000007,510000001103,
34.5218,,Segment,2,4,Image 1,1,1,100000007,510000001107,
5.76194,,Segment,2,5,Image 1,1,1,100000007,510000001119,
6.7738,,Segment,2,5,Image 1,2,1,100000007,510000001123,
35.2801,,Segment,2,3,Image 1,2,1,100000007,510000001133,
8.12532,,Segment,2,4,Image 1,2,1,100000007,510000001136,
14.089,,Segment,2,4,Image 1,3,1,100000007,510000001147,
24.2824,,Segment,2,3,Image 1,1,1,100000007,510000001157,
37.7632,,Segment,2,3,Image 1,2,1,100000007,510000001178,
21.2093,,Segment,2,4,Image 1,2,1,100000007,510000001191,
33.0656,,Segment,2,4,Image 1,3,1,100000007,510000001202,
17.4045,,Segment,2,2,Image 1,2,1,100000007,510000001210,
14,,Segment,2,1,Image 1,1,1,100000007,510000001236,
28.7635,,Segment,2,2,Image 1,1,1,100000007,510000001238,
23.7203,,Segment,2,2,Image 1,2,1,100000007,510000001254,
42.3603,,Segment,2,2,Image 1,2,1,100000007,510000001270,
19.4705,,Segment,2,4,Image 1,2,1,100000007,510000001294,
40.8389,,Segment,2,1,Image 1,1,1,100000008,510000001301,
46.3592,,Segment,2,1,Image 1,1,1,100000008,510000001322,
48.4225,,Segment,2,1,Image 1,1,1,100000008,510000001349,
59.761,,Segment,2,1,Image 1,1,1,100000008,510000001360,
43.492,,Segment,2,1,Image 1,1,1,100000008,510000001373,
52.2211,,Segment,2,2,Image 1,1,1,100000008,510000001375,
10.2804,,Segment,2,3,Image 1,1,1,100000008,510000001384,
12.9089,,Segment,2,3,Image 1,2,1,100000008,510000001387,
31.2074,,Segment,2,4,Image 1,2,1,100000008,510000001391,
31.4699,,Segment,2,4,Image 1,3,1,100000008,510000001408,
9.93396,,Segment,2,2,Image 1,2,1,100000008,510000001424,
25.6,,Segment,2,2,Image 1,1,1,100000009,510000001441,
25.2853,,Segment,2,2,Image 1,2,1,100000009,510000001449,
43.8047,,Segment,2,1,Image 1,1,1,100000009,510000001468,
32.2628,,Segment,2,1,Image 1,1,1,100000009,510000001489,
8.60233,,Segment,2,2,Image 1,2,1,100000009,510000001491,
50.5648,,Segment,2,3,Image 1,1,1,100000009,510000001494,
25.2792,,Segment,2,3,Image 1,2,1,100000009,510000001510,
42.3385,,Segment,2,1,Image 1,1,1,100000009,510000001514,
51.7222,,Segment,2,1,Image 1,1,1,100000009,510000001533,
69.8587,,Segment,2,1,Image 1,1,1,100000010,510000001537,
44.4511,,Segment,2,2,Image 1,1,1,100000010,510000001541,
28.0522,,Segment,2,2,Image 1,2,1,100000010,510000001558,
50.9372,,Segment,2,2,Image 1,1,1,100000010,510000001575,
47.305,,Segment,2,2,Image 1,2,1,100000010,510000001584,
20.7201,,Segment,2,2,Image 1,2,1,100000010,510000001609,
68.231,,Segment,2,1,Image 1,1,1,100000010,510000001626,
26.7283,,Segment,2,2,Image 1,1,1,100000010,510000001636,
20.6097,,Segment,2,2,Image 1,2,1,100000010,510000001640,
10.963,,Segment,2,3,Image 1,2,1,100000010,510000001649,
25.578,,Segment,2,3,Image 1,3,1,100000010,510000001652,
17.3638,,Segment,2,2,Image 1,1,1,100000010,510000001659,
22.5231,,Segment,2,3,Image 1,1,1,100000010,510000001662,
24.6732,,Segment,2,3,Image 1,2,1,100000010,510000001672,
22.2466,,Segment,2,2,Image 1,1,1,100000011,510000001682,
33.2791,,Segment,2,2,Image 1,2,1,100000011,510000001692,
25.1498,,Segment,2,3,Image 1,3,1,100000011,510000001695,
62.5104,,Segment,2,2,Image 1,1,1,100000011,510000001716,
12.3693,,Segment,2,3,Image 1,2,1,100000011,510000001718,
41.3314,,Segment,2,3,Image 1,1,1,100000011,510000001719,
60.6927,,Segment,2,1,Image 1,1,1,100000011,510000001726,
0,,Segment,2,1,Image 1,1,1,100000000,510000001736,
0,,Segment,2,1,Image 1,1,1,100000000,510000001737,
0,,Segment,2,1,Image 1,1,1,100000001,510000001738,
22.5,,Segment,2,1,Image 1,1,1,100000002,510000001739,
7.5,,Segment,2,2,Image 1,1,1,100000002,510000001740,
29,,Segment,2,1,Image 1,1,1,100000002,510000001741,
11.5,,Segment,2,2,Image 1,1,1,100000002,510000001742,
13,,Segment,2,3,Image 1,1,1,100000002,510000001743,
0,,Segment,2,0,Image 1,1,1,100000003,510000001744,
19.5,,Segment,2,1,Image 1,2,1,100000003,510000001745,
0,,Segment,2,0,Image 1,1,1,100000003,510000001746,
62,,Segment,2,1,Image 1,1,1,100000004,510000001747,
39,,Segment,2,1,Image 1,1,1,100000004,510000001748,
1.5,,Segment,2,4,Image 1,3,1,100000004,510000001749,
0,,Segment,2,1,Image 1,1,1,100000005,510000001750,
0,,Segment,2,1,Image 1,1,1,100000005,510000001751,
0,,Segment,2,1,Image 1,1,1,100000005,510000001752,
0,,Segment,2,1,Image 1,1,1,100000006,510000001753,
38.5,,Segment,2,2,Image 1,1,1,100000006,510000001754,
0,,Segment,2,1,Image 1,1,1,100000007,510000001755,
0,,Segment,2,1,Image 1,1,1,100000007,510000001756,
8.5,,Segment,2,2,Image 1,1,1,100000007,510000001757,
31.5,,Segment,2,1,Image 1,1,1,100000009,510000001758,
4,,Segment,2,2,Image 1,1,1,100000009,510000001759,
1.5,,Segment,2,1,Image 1,1,1,100000010,510000001760,
63,,Segment,2,1,Image 1,1,1,100000010,510000001761,
46.5,,Segment,2,1,Image 1,1,1,100000011,510000001762,
13,,Segment,2,3,Image 1,2,1,100000011,510000001763,
4.5,,Segment,2,1,Image 1,1,1,100000011,510000001764,
59,,Segment,2,2,Image 1,2,1,100000011,510000001765,
