
Segment Center Intensity Max Ch=2 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
44,,Segment,2,1,Image 1,1,1,100000000,510000000001,
135,,Segment,2,2,Image 1,1,1,100000000,510000000003,
194,,Segment,2,3,Image 1,1,1,100000000,510000000007,
192,,Segment,2,3,Image 1,2,1,100000000,510000000039,
167,,Segment,2,2,Image 1,2,1,100000000,510000000051,
189,,Segment,2,3,Image 1,2,1,100000000,510000000054,
188,,Segment,2,3,Image 1,3,1,100000000,510000000060,
195,,Segment,2,1,Image 1,1,1,100000000,510000000083,
184,,Segment,2,2,Image 1,1,1,100000000,510000000098,
190,,Segment,2,3,Image 1,1,1,100000000,510000000103,
189,,Segment,2,3,Image 1,2,1,100000000,510000000123,
65,,Segment,2,2,Image 1,1,1,100000000,510000000137,
188,,Segment,2,3,Image 1,1,1,100000000,510000000139,
185,,Segment,2,3,Image 1,2,1,100000000,510000000160,
196,,Segment,2,2,Image 1,2,1,100000000,510000000181,
199,,Segment,2,2,Image 1,2,1,100000000,510000000190,
192,,Segment,2,2,Image 1,2,1,100000000,510000000208,
152,,Segment,2,2,Image 1,1,1,100000001,510000000218,
152,,Segment,2,3,Image 1,1,1,100000001,510000000225,
194,,Segment,2,3,Image 1,2,1,100000001,510000000234,
174,,Segment,2,2,Image 1,2,1,100000001,510000000244,
66,,Segment,2,1,Image 1,1,1,100000001,510000000263,
185,,Segment,2,2,Image 1,1,1,100000001,510000000265,
102,,Segment,2,1,Image 1,1,1,100000001,510000000277,
173,,Segment,2,2,Image 1,1,1,100000001,510000000280,
192,,Segment,2,3,Image 1,1,1,100000001,510000000291,
188,,Segment,2,3,Image 1,2,1,100000001,510000000304,
168,,Segment,2,2,Image 1,2,1,100000001,510000000325,
198,,Segment,2,3,Image 1,2,1,100000001,510000000335,
196,,Segment,2,3,Image 1,3,1,100000001,510000000360,
166,,Segment,2,1,Image 1,1,1,100000001,510000000372,
170,,Segment,2,2,Image 1,2,1,100000001,510000000378,
197,,Segment,2,3,Image 1,1,1,100000002,510000000392,
205,,Segment,2,2,Image 1,2,1,100000002,510000000405,
99,,Segment,2,1,Image 1,1,1,100000002,510000000415,
187,,Segment,2,2,Image 1,1,1,100000002,510000000417,
159,,Segment,2,4,Image 1,2,1,100000002,510000000430,
191,,Segment,2,4,Image 1,1,1,100000002,510000000449,
199,,Segment,2,5,Image 1,1,1,100000002,510000000451,
101,,Segment,2,2,Image 1,2,1,100000002,510000000457,
194,,Segment,2,3,Image 1,2,1,100000002,510000000459,
179,,Segment,2,2,Image 1,2,1,100000002,510000000468,
186,,Segment,2,3,Image 1,2,1,100000002,510000000470,
177,,Segment,2,3,Image 1,3,1,100000002,510000000481,
171,,Segment,2,3,Image 1,2,1,100000002,510000000485,
191,,Segment,2,5,Image 1,2,1,100000002,510000000490,
197,,Segment,2,1,Image 1,1,1,100000002,510000000503,
202,,Segment,2,1,Image 1,1,1,100000003,510000000517,
96,,Segment,2,1,Image 1,1,1,100000003,510000000532,
187,,Segment,2,2,Image 1,1,1,100000003,510000000537,
167,,Segment,2,2,Image 1,2,1,100000003,510000000547,
163,,Segment,2,3,Image 1,2,1,100000003,510000000550,
181,,Segment,2,4,Image 1,2,1,100000003,510000000555,
195,,Segment,2,5,Image 1,2,1,100000003,510000000558,
196,,Segment,2,4,Image 1,3,1,100000003,510000000575,
180,,Segment,2,3,Image 1,3,1,100000003,510000000585,
202,,Segment,2,4,Image 1,3,1,100000003,510000000591,
200,,Segment,2,4,Image 1,4,1,100000003,510000000611,
196,,Segment,2,2,Image 1,3,1,100000003,510000000625,
204,,Segment,2,5,Image 1,3,1,100000003,510000000650,
