
Segment Position Y
 ==================== 
Segment Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
9206.1,µm,Segment,Segment Position,3,2,1,100000005,510000000942,
9210.01,µm,Segment,Segment Position,4,2,1,100000005,510000000947,
9207.25,µm,Segment,Segment Position,4,3,1,100000005,510000000964,
9339.03,µm,Segment,Segment Position,3,1,1,100000006,510000000982,
9364.36,µm,Segment,Segment Position,2,2,1,100000006,510000001003,
9282.62,µm,Segment,Segment Position,1,1,1,100000006,510000001027,
9302.47,µm,Segment,Segment Position,3,2,1,100000006,510000001041,
9300.32,µm,Segment,Segment Position,3,2,1,100000006,510000001060,
9314.93,µm,Segment,Segment Position,1,1,1,100000006,510000001090,
10040.3,µm,Segment,Segment Position,2,1,1,100000007,510000001100,
10032.1,µm,Segment,Segment Position,3,1,1,100000007,510000001103,
10028.3,µm,Segment,Segment Position,4,1,1,100000007,510000001107,
10002.4,µm,Segment,Segment Position,5,1,1,100000007,510000001119,
9989.8,µm,Segment,Segment Position,5,2,1,100000007,510000001123,
10027.4,µm,Segment,Segment Position,3,2,1,100000007,510000001133,
9992.09,µm,Segment,Segment Position,4,2,1,100000007,510000001136,
10002.6,µm,Segment,Segment Position,4,3,1,100000007,510000001147,
10003.2,µm,Segment,Segment Position,3,1,1,100000007,510000001157,
10031.6,µm,Segment,Segment Position,3,2,1,100000007,510000001178,
10007.5,µm,Segment,Segment Position,4,2,1,100000007,510000001191,
10018.9,µm,Segment,Segment Position,4,3,1,100000007,510000001202,
10057.6,µm,Segment,Segment Position,2,2,1,100000007,510000001210,
10053.8,µm,Segment,Segment Position,1,1,1,100000007,510000001236,
10078,µm,Segment,Segment Position,2,1,1,100000007,510000001238,
10093.6,µm,Segment,Segment Position,2,2,1,100000007,510000001254,
10105.5,µm,Segment,Segment Position,2,2,1,100000007,510000001270,
10047.6,µm,Segment,Segment Position,4,2,1,100000007,510000001294,
9393.42,µm,Segment,Segment Position,1,1,1,100000008,510000001301,
9452.9,µm,Segment,Segment Position,1,1,1,100000008,510000001322,
9394.51,µm,Segment,Segment Position,1,1,1,100000008,510000001349,
9376.77,µm,Segment,Segment Position,1,1,1,100000008,510000001360,
9404.96,µm,Segment,Segment Position,1,1,1,100000008,510000001373,
9419.83,µm,Segment,Segment Position,2,1,1,100000008,510000001375,
9426.05,µm,Segment,Segment Position,3,1,1,100000008,510000001384,
9431.23,µm,Segment,Segment Position,3,2,1,100000008,510000001387,
9449.97,µm,Segment,Segment Position,4,2,1,100000008,510000001391,
9478.77,µm,Segment,Segment Position,4,3,1,100000008,510000001408,
9439.48,µm,Segment,Segment Position,2,2,1,100000008,510000001424,
9679.52,µm,Segment,Segment Position,2,1,1,100000009,510000001441,
9670.42,µm,Segment,Segment Position,2,2,1,100000009,510000001449,
9626.3,µm,Segment,Segment Position,1,1,1,100000009,510000001468,
9667.45,µm,Segment,Segment Position,1,1,1,100000009,510000001489,
9657.5,µm,Segment,Segment Position,2,2,1,100000009,510000001491,
9663.62,µm,Segment,Segment Position,3,1,1,100000009,510000001494,
9673.43,µm,Segment,Segment Position,3,2,1,100000009,510000001510,
9712.29,µm,Segment,Segment Position,1,1,1,100000009,510000001514,
9676.89,µm,Segment,Segment Position,1,1,1,100000009,510000001533,
9458.92,µm,Segment,Segment Position,1,1,1,100000010,510000001537,
9408.12,µm,Segment,Segment Position,2,1,1,100000010,510000001541,
9409.33,µm,Segment,Segment Position,2,2,1,100000010,510000001558,
9456.42,µm,Segment,Segment Position,2,1,1,100000010,510000001575,
9499.43,µm,Segment,Segment Position,2,2,1,100000010,510000001584,
9492.7,µm,Segment,Segment Position,2,2,1,100000010,510000001609,
9488.69,µm,Segment,Segment Position,1,1,1,100000010,510000001626,
9520.64,µm,Segment,Segment Position,2,1,1,100000010,510000001636,
9533.31,µm,Segment,Segment Position,2,2,1,100000010,510000001640,
9561.87,µm,Segment,Segment Position,3,2,1,100000010,510000001649,
9561.17,µm,Segment,Segment Position,3,3,1,100000010,510000001652,
9469.93,µm,Segment,Segment Position,2,1,1,100000010,510000001659,
9446.68,µm,Segment,Segment Position,3,1,1,100000010,510000001662,
9438.1,µm,Segment,Segment Position,3,2,1,100000010,510000001672,
9332.48,µm,Segment,Segment Position,2,1,1,100000011,510000001682,
9355.64,µm,Segment,Segment Position,2,2,1,100000011,510000001692,
9425.55,µm,Segment,Segment Position,3,3,1,100000011,510000001695,
9330.86,µm,Segment,Segment Position,2,1,1,100000011,510000001716,
9299.83,µm,Segment,Segment Position,3,2,1,100000011,510000001718,
9280.36,µm,Segment,Segment Position,3,1,1,100000011,510000001719,
9364.75,µm,Segment,Segment Position,1,1,1,100000011,510000001726,
9647.48,µm,Segment,Segment Position,1,1,1,100000000,510000001736,
9647.48,µm,Segment,Segment Position,1,1,1,100000000,510000001737,
9961.8,µm,Segment,Segment Position,1,1,1,100000001,510000001738,
10268.2,µm,Segment,Segment Position,1,1,1,100000002,510000001739,
10279.2,µm,Segment,Segment Position,2,1,1,100000002,510000001740,
10268.2,µm,Segment,Segment Position,1,1,1,100000002,510000001741,
