
Filament No. Segment Segments
 ==================== 
Filament No. Segment Segments,Unit,Category,Time,ID,
19,,Filament,1,100000000,
16,,Filament,1,100000001,
20,,Filament,1,100000002,
18,,Filament,1,100000003,
22,,Filament,1,100000004,
17,,Filament,1,100000005,
8,,Filament,1,100000006,
21,,Filament,1,100000007,
11,,Filament,1,100000008,
11,,Filament,1,100000009,
16,,Filament,1,100000010,
11,,Filament,1,100000011,
