
Segment Branching Angle
 ==================== 
Segment Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
27.7781,°,Segment,4,2,1,100000007,510000001294,
0,°,Segment,1,1,1,100000008,510000001301,
0,°,Segment,1,1,1,100000008,510000001322,
0,°,Segment,1,1,1,100000008,510000001349,
0,°,Segment,1,1,1,100000008,510000001360,
0,°,Segment,1,1,1,100000008,510000001373,
9.17984,°,Segment,2,1,1,100000008,510000001375,
6.30845,°,Segment,3,1,1,100000008,510000001384,
102.772,°,Segment,3,2,1,100000008,510000001387,
9.54956,°,Segment,4,2,1,100000008,510000001391,
65.2311,°,Segment,4,3,1,100000008,510000001408,
11.2558,°,Segment,2,2,1,100000008,510000001424,
8.52263,°,Segment,2,1,1,100000009,510000001441,
44.0367,°,Segment,2,2,1,100000009,510000001449,
0,°,Segment,1,1,1,100000009,510000001468,
0,°,Segment,1,1,1,100000009,510000001489,
2.23581,°,Segment,2,2,1,100000009,510000001491,
18.7541,°,Segment,3,1,1,100000009,510000001494,
23.592,°,Segment,3,2,1,100000009,510000001510,
0,°,Segment,1,1,1,100000009,510000001514,
0,°,Segment,1,1,1,100000009,510000001533,
0,°,Segment,1,1,1,100000010,510000001537,
12.5445,°,Segment,2,1,1,100000010,510000001541,
80.2202,°,Segment,2,2,1,100000010,510000001558,
2.5342,°,Segment,2,1,1,100000010,510000001575,
91.5626,°,Segment,2,2,1,100000010,510000001584,
12.0739,°,Segment,2,2,1,100000010,510000001609,
0,°,Segment,1,1,1,100000010,510000001626,
10.3579,°,Segment,2,1,1,100000010,510000001636,
48.5799,°,Segment,2,2,1,100000010,510000001640,
5.55697,°,Segment,3,2,1,100000010,510000001649,
82.2085,°,Segment,3,3,1,100000010,510000001652,
97.2274,°,Segment,2,1,1,100000010,510000001659,
1.09985,°,Segment,3,1,1,100000010,510000001662,
26.7838,°,Segment,3,2,1,100000010,510000001672,
8.51666,°,Segment,2,1,1,100000011,510000001682,
60.3559,°,Segment,2,2,1,100000011,510000001692,
8.70795,°,Segment,3,3,1,100000011,510000001695,
4.25961,°,Segment,2,1,1,100000011,510000001716,
2.84648,°,Segment,3,2,1,100000011,510000001718,
52.0236,°,Segment,3,1,1,100000011,510000001719,
0,°,Segment,1,1,1,100000011,510000001726,
0,°,Segment,1,1,1,100000000,510000001736,
0,°,Segment,1,1,1,100000000,510000001737,
0,°,Segment,1,1,1,100000001,510000001738,
0,°,Segment,1,1,1,100000002,510000001739,
0.912359,°,Segment,2,1,1,100000002,510000001740,
0,°,Segment,1,1,1,100000002,510000001741,
0.131221,°,Segment,2,1,1,100000002,510000001742,
4.64642,°,Segment,3,1,1,100000002,510000001743,
0,°,Segment,0,1,1,100000003,510000001744,
122.924,°,Segment,1,2,1,100000003,510000001745,
0,°,Segment,0,1,1,100000003,510000001746,
0,°,Segment,1,1,1,100000004,510000001747,
0,°,Segment,1,1,1,100000004,510000001748,
53.6177,°,Segment,4,3,1,100000004,510000001749,
0,°,Segment,1,1,1,100000005,510000001750,
0,°,Segment,1,1,1,100000005,510000001751,
0,°,Segment,1,1,1,100000005,510000001752,
0,°,Segment,1,1,1,100000006,510000001753,
3.57971,°,Segment,2,1,1,100000006,510000001754,
0,°,Segment,1,1,1,100000007,510000001755,
0,°,Segment,1,1,1,100000007,510000001756,
9.53077,°,Segment,2,1,1,100000007,510000001757,
0,°,Segment,1,1,1,100000009,510000001758,
86.4997,°,Segment,2,1,1,100000009,510000001759,
0,°,Segment,1,1,1,100000010,510000001760,
0,°,Segment,1,1,1,100000010,510000001761,
0,°,Segment,1,1,1,100000011,510000001762,
57.1565,°,Segment,3,2,1,100000011,510000001763,
0,°,Segment,1,1,1,100000011,510000001764,
71.3145,°,Segment,2,2,1,100000011,510000001765,
