
Segment Intensity Mean Ch=2 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
80.2344,,Segment,2,1,Image 1,1,1,100000006,510000001027,
158.246,,Segment,2,3,Image 1,2,1,100000006,510000001041,
169.762,,Segment,2,3,Image 1,2,1,100000006,510000001060,
71.3866,,Segment,2,1,Image 1,1,1,100000006,510000001090,
93.8721,,Segment,2,2,Image 1,1,1,100000007,510000001100,
119.943,,Segment,2,3,Image 1,1,1,100000007,510000001103,
151.132,,Segment,2,4,Image 1,1,1,100000007,510000001107,
192.266,,Segment,2,5,Image 1,1,1,100000007,510000001119,
185.268,,Segment,2,5,Image 1,2,1,100000007,510000001123,
133.221,,Segment,2,3,Image 1,2,1,100000007,510000001133,
185.284,,Segment,2,4,Image 1,2,1,100000007,510000001136,
185.219,,Segment,2,4,Image 1,3,1,100000007,510000001147,
167.363,,Segment,2,3,Image 1,1,1,100000007,510000001157,
148.195,,Segment,2,3,Image 1,2,1,100000007,510000001178,
169.306,,Segment,2,4,Image 1,2,1,100000007,510000001191,
159.542,,Segment,2,4,Image 1,3,1,100000007,510000001202,
164.33,,Segment,2,2,Image 1,2,1,100000007,510000001210,
74.6446,,Segment,2,1,Image 1,1,1,100000007,510000001236,
135.809,,Segment,2,2,Image 1,1,1,100000007,510000001238,
145.051,,Segment,2,2,Image 1,2,1,100000007,510000001254,
134.664,,Segment,2,2,Image 1,2,1,100000007,510000001270,
147.215,,Segment,2,4,Image 1,2,1,100000007,510000001294,
108.458,,Segment,2,1,Image 1,1,1,100000008,510000001301,
129.594,,Segment,2,1,Image 1,1,1,100000008,510000001322,
110.186,,Segment,2,1,Image 1,1,1,100000008,510000001349,
105.632,,Segment,2,1,Image 1,1,1,100000008,510000001360,
77.56,,Segment,2,1,Image 1,1,1,100000008,510000001373,
116.753,,Segment,2,2,Image 1,1,1,100000008,510000001375,
154.914,,Segment,2,3,Image 1,1,1,100000008,510000001384,
128.756,,Segment,2,3,Image 1,2,1,100000008,510000001387,
94.6006,,Segment,2,4,Image 1,2,1,100000008,510000001391,
131.847,,Segment,2,4,Image 1,3,1,100000008,510000001408,
151.353,,Segment,2,2,Image 1,2,1,100000008,510000001424,
140.731,,Segment,2,2,Image 1,1,1,100000009,510000001441,
152.276,,Segment,2,2,Image 1,2,1,100000009,510000001449,
